address,agencyId,agencyName,apartmentSaleType,cityId,createdAt,description,details,developmentId,developmentName,developmentParentId,developmentParentName,districtId,floor,floorArea,floorAreaCalculated,floorInt,galleryImagesCount,id,itemType,itemUrl,metroId,price,pricePerArea,pricePerAreaValue,priceValue,propertyType,publishDate,regionId,resultType,roadId,rooms,roomsOrdinal,sourceFinishTime,sourceId,sourceStartTime,sourceUpdateTime,station_distance,station_id,station_lineColors,station_name,title,updatedAt
"Новосибирская область, Чановский район, рабочий посёлок Чаны, улица Ленина, 258",186218370,Аркадий,Resale,3247,2020-07-23T04:21:58.399242Z,срочно либо сдам,64 м²,,,,,,1/2,64 м²,64.0,1,0,2734144483,Sale,/3-komnatnaya-kvartira-na-prodazhu-chany-2734144483,,1 300 000 ₽,20 313 ₽ за м²,20313,1300000,Apartment,2020-07-23T04:21:58.399242Z,78,Listing,,3,3.0,2020-12-21T03:53:52.673814+03:00,1952407464,2020-07-23T05:12:35.600347+03:00,2020-11-21T03:53:52.673814+03:00,,,,,"3-комн. квартира, 64 м², 1/2 эт.",2020-11-21T01:02:56.31222Z
"Новосибирск, Первомайский район, микрорайон Весенний, Заречная улица, 9",167401681,"АН ""Скай Сити""",Resale,3285,2020-10-08T08:36:19.245732Z,"В продаже уютная однокомнатная квартира в первой очереди Весеннего микрорайона. Живописное место на берегу реки, где уже в 2021 году начнется строительство новой набережной, которая протянется вдоль всего микрорайона и, безусловно, станет любимым местом отдыха для его жителей! <br>Квартира расположена на комфортном втором этаже. Очень теплая, светлая. Будущим хозяевам оставляем кухонный гарнитур и шкаф-купе в прихожей. <br>Один взрослый собственник, квартира в собственности более 5 лет.<br>Приглашаем на просмотры! Поможем с получением ипотечного решения.",42 м²,,,,,657.0,2/19,42 м²,42.0,2,18,2915720316,Sale,/1-komnatnaya-kvartira-na-prodazhu-novosibirsk-2915720316,,3 550 000 ₽,84 524 ₽ за м²,84524,3550000,Apartment,2020-10-08T08:36:19.245732Z,78,Listing,,1,1.0,2020-12-10T10:45:11.356934+03:00,1999642637,2020-10-08T11:25:17.312109+03:00,2020-11-10T10:45:11.356934+03:00,,,,,"1-комн. квартира, 42 м², 2/19 эт.",2020-11-10T07:54:15.257053Z
"Новосибирская область, Маслянинский район, рабочий посёлок Маслянино, улица 60 лет Октября, 28",173701179,Макромир,Resale,3284,2020-11-14T06:02:58.467264Z,"Продам квартиру-студию в новом кирпичном доме. Квартира теплая, светлая, ухоженная, французский балкон. Мебель остается. <br>Маслянино - крупный рабочий поселок в Новосибирской области, расположенный на реке Бердь, в 111 километрах от Новосибирска.",28 м²,,,,,,1/3,28 м²,28.0,1,3,3004855374,Sale,/kvartira-na-prodazhu-maslyanino-3004855374,,998 000 ₽,35 643 ₽ за м²,35643,998000,Apartment,2020-11-14T06:02:58.467264Z,78,Listing,,Студия,,2020-12-14T08:55:33.346799+03:00,2041031542,2020-11-14T08:49:15.110244+03:00,2020-11-14T08:55:33.346799+03:00,,,,,"Квартира-студия, 28 м², 1/3 эт.",2020-11-14T06:04:37.283379Z
"Новосибирск, улица Римского-Корсакова, 3/2",182871535,Анастасия,Resale,3285,2020-09-27T08:11:32.182293Z,"Просторная Трехкомнатная квартира с большой кухней (30,1 м2) и тремя отдельными спальнями в доме классической кирпичной кладки. В доме всего 30 квартир. Площадь квартиры 103,9 м2 + две застекленные лоджии 5,2м2 и 4,2 м2.<br>Две (!!!) квартиры на этаже.<br>Это крайний жилой этаж, но есть еще два технических этажа.<br>Есть Гостевой сан. Узел, гардеробная.<br>Квартира с нестандартной отличной перепланировкой (узаконена) . Окна на две стороны . Обе Лоджии застеклены, одна утеплена.<br>Дом стоит на второй линии, нет шума и пыли от дороги.<br>В стоимость квартиры входит:<br>· Кухонный гарнитур<br>· Обеденный стол<br>· Встроенный (очень вместительный) шкаф- купе в прихожей<br>Остальную мебель можем оставить по договоренности.<br>Есть Подземный гараж с отдельными боксами под домом . Эксплуатируемая крыша.<br>В доме ТСЖ, очень низкая стоимость содержания жилья.<br>Развитая инфраструктура : в шаговой доступности два детских сада, Французская гимназия, школа, одна из ведущих музыкальных школ г. Новосибирска, 34 больница, детская поликлиника, ВУЗы, остановка транспорта, Метро «Карла Маркса» в пяти минутах ходьбы. А так же ТЦ «Версаль», ТЦ «Гранит», ТРЦ «Сан Сити», парикмахерские , рестораны, сквер «Сибиряков-Гвардейцев, мемориал Славы и т.д.<br>На первом этаже Есть место для хранения колясок и велосипедов.<br>Подходят все формы расчетов. Один взрослый собственник, без обременений.<br>Звоните, приходите на просмотр!",109.6 м²,,,,,654.0,5/5,109.6 м²,109.6,5,39,2891845701,Sale,/3-komnatnaya-kvartira-na-prodazhu-novosibirsk-2891845701,267.0,9 300 000 ₽,84 854 ₽ за м²,84854,9300000,Apartment,2020-09-27T08:11:32.182293Z,78,Listing,,3,3.0,2020-12-13T07:45:31.016085+03:00,1997039629,2020-09-27T11:01:58.843609+03:00,2020-11-13T07:48:55.22583+03:00,0.517,267.0,#FF0000,Площадь Маркса,"3-комн. квартира, 109.6 м², 5/5 эт.",2020-11-13T04:58:22.233623Z
"ул. Адриена Лежена, 1 этап",182504330,Милый Дом,New,3285,2020-11-13T04:58:36.029486Z,"В продаже 2х-комнатная квартира в строящихся домах ЖК «Акация на Лежена».<br>ЖК «Акация на Лежена» состоит из трёх 17-этажных крупнопанельных домов с яркими цветными фасадами, благоустроенной территорией, детскими и спортивными площадками.<br>Отличная планировка: функциональная прихожая, просторная кухня 14,7 м2, гостиная с двумя окнами, две лоджии!<br>Дома расположены в Октябрьском районе, в 5 минутах от ст. метро «Золотая Нива– одном из самых развитых районов города, а поэтому обеспечен богатой инфраструктурой и хорошей транспортной доступностью: В 8 минутах – ТРЦ «Сибирский Молл»; В 15 минутах на автомобиле – центр города; В 20 минутах пешком – ПкиО «Березовая роща». Школы, детские сады и центры развития, поликлиника, аптеки, магазины, спортивные комплексы, банки и кинотеатры.<br>Практичные планировочные решения:<br>— Однокомнатные студии от 24,4 м²<br> — Однокомнатные квартиры от 36,5 м²<br> — Двухкомнатные квартиры от 54,4 м²<br>На просторной придомовой огороженной территории имеются детские и спортивные площадки с безопасным покрытием. Благоустройство двора включает пешеходные дорожки, озеленение участка кустарниками, деревьями и цветниками, отделяющие площадку от гостевых стоянок и проездов. В целях обеспечения безопасности проживания, территория внутреннего двора огорожена и находится под видеонаблюдением. Доступ на территорию и в подъезды осуществляется с применением домофонов. В местах общего пользования в доме предусмотрена система автоматического пожаротушения, а 1 на этаже - колясочная.<br>Квартира полностью готова для ремонта. Помещение сдается с чистовой самоотделкой и остекленным балконом: оштукатуренными стенами, фиброцементной стяжкой пола, установленными розетками, счётчиками водоснабжения, качественной стальной входной дверью с пыле- и шумоизоляцией, а также радиаторами с погодозависимым регулированием системы отопления.<br>Успейте приобрести жилье по сниженной ставке – от 6,1%!<br>Поможем получить ипотечное решение в ведущих банках-партнёрах.<br>Услуги по покупке квартир в новостройках АБСОЛЮТНО БЕСПЛАТНЫ‼️",62.8 м²,1029441554.0,ЖК «Акация на Лежена»,1029441554.0,ЖК «Акация на Лежена»,650.0,7/17,62.8 м²,62.8,7,11,3002220326,Sale,/2-komnatnaya-kvartira-na-prodazhu-novosibirsk-3002220326,272.0,4 180 000 ₽,66 561 ₽ за м²,66561,4180000,Apartment,2020-11-13T04:58:36.029486Z,78,Listing,,2,2.0,2020-12-13T07:49:33.862135+03:00,2024775083,2020-11-13T07:49:11.558195+03:00,2020-11-13T07:49:33.862135+03:00,0.868,272.0,#008000,Золотая Нива,"2-комн. квартира, 62.8 м², 7/17 эт.",2020-11-13T04:58:38.575432Z
"Новосибирск, улица Мясниковой, 4/1",161139180,Агентство недвижимости «ЖИЛФОНД»,Resale,3285,2020-10-08T08:24:06.876174Z,"Отличное предложение – квартира в новостройке от надежного застройщика ""Энергомонтаж»! ДОМ СДАН!<br>Удобная планировка, с окнами на две стороны дома. Отделка «под ключ»: линолеум, стяжка пола, натяжные потолки в комнатах, обои под покраску, кафель от пола до потолка в санузлах, фартук из кафеля на кухне, сантехника, межкомнатные двери, хорошая входная дверь. Большая лоджия с выходами из кухни и из комнаты.<br>На придомовой территории детские и спортивные площадки, оборудованные игровыми и спортивными комплексами, малыми формами, уголками отдыха, урнами. Озеленение предусмотрено газонными травами, посадкой кустарников и лиственных деревьев.<br>Удобно семьям с детьми !<br>Развитая социальная и коммерческая инфраструктура: в шаговой доступности 3 школы, 7 детсадов, спортивные сооружения - Региональный спортивный центр фехтования, ледовая арена ""Родники"", фехтовальный центр, банкоматы, продуктовые магазины, аптеки, медицинские центры, медицинская лаборатория, городская поликлиника N 29, кафе, гипермаркеты ""Ашан», «Лента"" и ""Леруа Мерлен"", ТРК ""Голден-Парк"", ДРЦ Озеро Спартак и другие места отдыха.<br>Рядом остановки общественного транспорта.<br>Благоприятная роза ветров, близость зеленой зоны, отсутствие крупных предприятий и ТЭЦ.<br>Торг.",60.2 м²,,,,,648.0,2/17,60.2 м²,60.2,2,13,2915691986,Sale,/2-komnatnaya-kvartira-na-prodazhu-novosibirsk-2915691986,,4 400 000 ₽,73 090 ₽ за м²,73090,4400000,Apartment,2020-10-08T08:24:06.876174Z,78,Listing,,2,2.0,2020-12-10T11:07:49.417608+03:00,2025949498,2020-10-08T11:10:48.13983+03:00,2020-12-08T05:30:44.625515+03:00,,,,,"2-комн. квартира, 60.2 м², 2/17 эт.",2020-12-08T02:39:45.812026Z
"Новосибирск, улица Петухова, 103/2, подъезд 2",75617003,"ООО ""РУСРИЭЛТ""",Resale,3285,2020-07-24T03:56:26.251382Z,"В продаже полноценная однокомнатная квартира с удачной планировкой на две стороны и большим коридором 4,5 метра. Лоджия - застеклена. Ремонт от застройщика. Бонус покупателю по желанию остается кухонный гарнитур. Дом удачно расположен - за домом школа №217, рядом детский сад, конечная остановка транспорта, магазины на любой вкус. В доме установлена система видеонаблюдения, что обеспечивает дополнительный порядок и спокойствие. Рассматриваем варианты обмена на частный дом с нашей доплатой.",37 м²,,,,,655.0,1/10,37 м²,37.0,1,8,2736737258,Sale,/1-komnatnaya-kvartira-na-prodazhu-novosibirsk-2736737258,,2 250 000 ₽,60 811 ₽ за м²,60811,2250000,Apartment,2020-07-24T03:56:26.251382Z,78,Listing,,1,1.0,2020-12-12T07:59:20.58123+03:00,1961065122,2020-07-24T06:46:58.323352+03:00,2020-12-05T13:45:09.793689+03:00,,,,,"1-комн. квартира, 37 м², 1/10 эт.",2020-12-05T10:54:14.446001Z
"Новосибирск, Барьерная улица, 17",75617003,"ООО ""РУСРИЭЛТ""",Resale,3285,2020-08-27T07:21:55.406248Z,"В продаже трехкомнатная квартира с хорошей планировкой. Большой квадратный коридор, все комнаты изолированные, две комнаты 17 кв.м. и одна 11кв.м. Окна пластиковые, хорошая входная дверь. Квартира подготовлена к ремонту, заходи и воплощай свои дизайнерские мечты, цены с учетом ремонта. Ждем на показ в удобное для вас время. Специалист агентства поможет оформить ипотечное решение для покупки квартиры.",61.6 м²,,,,,656.0,5/5,61.6 м²,61.6,5,11,2819622405,Sale,/3-komnatnaya-kvartira-na-prodazhu-novosibirsk-2819622405,,2 400 000 ₽,38 961 ₽ за м²,38961,2400000,Apartment,2020-08-27T07:21:55.406248Z,78,Listing,,3,3.0,2020-12-12T08:00:18.626999+03:00,1993001918,2020-08-27T10:11:02.137177+03:00,2020-12-05T13:45:17.05056+03:00,,,,,"3-комн. квартира, 61.6 м², 5/5 эт.",2020-12-05T10:54:40.053192Z
"ул. Ленина, д. 126",112940236,Veronika Safonova,New,3279,2019-11-10T10:00:35.30757Z,Продам просторную двухкомнатную квартиру в новом доме,58 м²,69287.0,"Дом по ул. Ленина, 126",69287.0,"Дом по ул. Ленина, 126",,4/10,58 м²,58.0,4,13,1998662516,Sale,/2-komnatnaya-kvartira-na-prodazhu-berdsk-1998662516,,3 400 000 ₽,58 621 ₽ за м²,58621,3400000,Apartment,2019-11-10T10:00:35.30757Z,78,Listing,,2,2.0,2020-12-12T08:05:04.145201+03:00,1834168924,2019-11-10T12:27:36.894852+03:00,2020-11-12T08:05:04.145201+03:00,,,,,"2-комн. квартира, 58 м², 4/10 эт.",2020-11-12T05:14:08.334489Z
"Новосибирск, улица Римского-Корсакова, 3/2",10451978,Частное лицо,Resale,3285,2020-06-15T00:21:03.105151Z,"Отличный вариант для большой дружной семьи, планировка на 2 стороны, квадратные просторные комнаты. Солнце с утра в спальне, вечером в кухне и гостиной. Высокий первый этаж, подвал чистый, сухой, ухоженный- есть возможность пройти и посмотреть. Так же наличие граничащего санузла с гостиной дает возможность организовать кухню-гостиную в комнате 27 кв.м. и освободить кухню под дополнительную спальню. В доме всего 30 квартир, по 2 квартиры на этаже. Дом из чистого кирпича-никаких монолитов, сибита, и пазогребневой плиты. В квартире выполнен капитальный ремонт, при желании достаточно просто освежить косметику без существенных затрат. Документы в полном порядке, быстрый выход на сделку. рассмотрим Вашу недвижимость в зачет.",101 м²,,,,,654.0,1/5,101 м²,101.0,1,36,2638567591,Sale,/3-komnatnaya-kvartira-na-prodazhu-novosibirsk-2638567591,267.0,8 500 000 ₽,84 158 ₽ за м²,84158,8500000,Apartment,2020-06-15T00:21:03.105151Z,78,Listing,,3,3.0,2020-12-09T14:25:14.061959+03:00,1928522641,2020-06-14T12:26:30.795239+03:00,2020-11-09T14:25:14.061959+03:00,0.517,267.0,#FF0000,Площадь Маркса,"3-комн. квартира, 101 м², 1/5 эт.",2020-11-09T11:34:17.519892Z
