address,agencyId,agencyName,apartmentSaleType,cityId,createdAt,description,details,districtId,floor,floorArea,floorAreaCalculated,floorInt,galleryImagesCount,id,itemType,itemUrl,metroId,price,pricePerArea,pricePerAreaValue,priceValue,propertyType,publishDate,regionId,resultType,rooms,roomsOrdinal,sourceFinishTime,sourceId,sourceStartTime,sourceUpdateTime,station_distance,station_id,station_lineColors,station_name,title,updatedAt
"Новосибирск, улица 1905 года, 73",122713432,Пользователь,Resale,3285,2020-09-21T05:41:20.931871Z,"Продается теплая, солнечная, очень светлая 3-комнатная квартира в центре города. <br>Квартира с ремонтом в стиле контемпорари, который идеально подойдет тем, кто превыше всего ценит простоту, уют и комфорт.<br>В квартире много встроенных шкафов. На кухне изготовленный по индивидуальному проекту кухонный гарнитур со встроенной варочной поверхностью, духовым шкафом и микроволновой печью. Вся техника фирмы BOSCH. <br>Санузел раздельный. Мебель в ванной комнате и каменная раковина так же изготовлены по индивидуальному заказу, установлена стиральная машина BOSCH. Уютная застекленная лоджия, отделанная керамогранитом. Приятный вид из окна на тихий двор с большой и красивой детской площадкой и Эйфелевой башней. Имеется подземная двухуровневая парковка.<br>Квартира находится в благоустроенном районе. Удобное расположение позволит вам как новому владельцу использовать все преимущества развитой инфраструктуры.<br>В шаговой доступности метро «Красный проспект». Рядом находится Нарымский сквер, где можно прогуливаться с детьми и домашними питомцами.",82.5 м²,652.0,3/26,82.5 м²,82.5,3,24,2877805802,Sale,/3-komnatnaya-kvartira-na-prodazhu-novosibirsk-2877805802,262.0,14 550 000 ₽,176 364 ₽ за м²,176364,14550000,Apartment,2020-09-21T05:41:20.931871Z,78,Listing,3,3.0,2020-12-20T09:40:30.680985+03:00,2006914477,2020-09-21T08:31:52.443497+03:00,2020-11-20T09:40:30.680985+03:00,0.701,262.0,#FF0000,Красный проспект,"3-комн. квартира, 82.5 м², 3/26 эт.",2020-11-20T06:50:19.888173Z
"Новосибирск, Железнодорожный район, Железнодорожная улица, 8/2",34770364,"Агентство недвижимости ""ВЫСОТА""",Resale,3285,2020-11-20T06:50:02.273915Z,"Арт. 43846387 В продаже отличная однокомнатная квартира в прекрасном месте. В шаговой доступности находятся метро, остановки общественного транспорта, множество магазинов, поликлиника, школа, детский сад. Подойдет как для проживания так и сдачи в аренду. В квартире выполнен косметический ремонт, есть просторная лоджия. В подъездах всегда чисто, нет неприятных запахов. В подарок покупателю остается кухонный гарнитур, 2 шкафа купэ, диван, остальное будем обсуждать на месте. Приглашаем на просмотр, квартира ждет своего хозяина.<br> - ПОМОЩЬ В ПОЛУЧЕНИИ ИПОТЕКИ<br> - ЮРИДИЧЕСКОЕ СОПРОВОЖДЕНИЕ СДЕЛКИ",31 м²,652.0,4/9,31 м²,31.0,4,12,3019584557,Sale,/1-komnatnaya-kvartira-na-prodazhu-novosibirsk-3019584557,268.0,3 400 000 ₽,109 677 ₽ за м²,109677,3400000,Apartment,2020-11-20T06:50:02.273915Z,78,Listing,1,1.0,2020-12-20T09:40:58.918416+03:00,2042256976,2020-11-20T09:40:21.232849+03:00,2020-11-20T09:40:58.918416+03:00,0.893,268.0,#008000,Площадь Гарина-Михайловского,"1-комн. квартира, 31 м², 4/9 эт.",2020-11-20T06:50:10.189969Z
"Новосибирск, Ленинский район, жилой комплекс Ясный Берег",173701179,Макромир,New,3285,2020-08-11T08:26:07.707249Z,"ЖК VESNA — это современный жилой комплекс с живописным видом из окон и развитой инфраструктурой.<br>Лёгкий и современный образ комплекса поддерживают архитектурная концепция и индивидуальный дизайн-проект. ЖК VESNA создан для тех, кто начинает яркую и самостоятельную жизнь в собственной квартире недалеко от центра.<br>Всё нужное под окнами<br>Закрытый двор -обеспечивает спокойствие и комфорт<br>Безопасная игровая зона-Оснащена ограждением, оживляет двор и скрашивает досуг<br>Удобная и просторная парковка-Парковка для вас и ваших гостей располагается на прилегающей к дому территории<br>Архитектура и конструктив:<br>Толщина стеновых панелей составляет 160см<br>Стены подготовлены под отделку с нанесением шпатлевки<br>Наружная отделка стен с облицовкой фиброцементной плитой<br>Входные двери прочные стальные<br>Полы подготовлены под отделку, подложка — 5 мм.<br>Домой вам всегда будет приятно возвращаться потому-что :<br>1. В каждой квартире очень тепло<br>В качестве стен и перекрытий используются полнотелые плиты. Толщина плит — 160 мм вместе с технологией наружного утепления и облицовки фасадов решает проблему промерзания панельных домов и внешнего шума. Толщина теплоизоляции по периметру дома — 150 мм.<br>2. Тихо и приватно<br>Забудьте о сквозняках и промерзании межпанельных швов. В домах жилого комплекса тепло будет круглый год. Утеплитель монтируется в строгом соответствии со специально разработанной картой утепления.<br>3. Яркий дизайн домов выполненый со смыслом<br>Для обшивки вентилируемого фасада используется окрашенная специальным способом фиброцементная плита. Такая технология обшивки позволяет сохранить тепло квартир в зимний сезон и комфортную температуру в жаркий летний.<br>Планировки<br>От комфортных однокомнатных до просторных двухкомнатных позволяет приобрести квартиру как молодой семье, так и молодому человеку или девушке. Выбирать между удобством и доступной стоимостью не придётся.<br>В квартирах всё продумано:<br>Зонирование пространств, материалы отделки, будущее расположение техники, мебели и освещения.<br>Транспортная доступность<br>Расположение жилого комплекса VESNA позволяет всегда оставаться в центре городских событий. В шаговой доступности находятся остановки общественного транспорта. Удобный выезд на магистраль помогает добраться до любой точки города за комфортное время. Дорога до центра на автомобиле займёт 10 минут<br>Инфраструктура<br>ЖК VESNA — комплекс с развитой инфраструктурой. Рядом расположены два гипермаркета, множество супермаркетов, детских садов и школ. В пешей доступности с комплексом находится самый большой крытый аквапарк в России — комфортное место для активного отдыха с семьёй и друзьями.<br>-Больницы и поликлиники<br>-Школы<br>-Детские сады<br>-Высшие учебные заведения<br>-Продовольственные магазины (Лента, Гигант итд)<br>Собственная квартира в 10 минутах от центра города — легко, убедитесь сами!<br>Звоните и запишитесь на бесплатную экскурсию<br>Способы покупки:<br>-Ипотека от 5%<br>-Материнский капитал<br>-Наличный расчет<br>Цена от 2 640 000р и она меняется в зависимости от этажа.<br>Приобретая данную квартиру вы экономите на комиссионных ( т.е. услуга для вас полностью бесплатна)",34.9 м²,654.0,2/17,34.9 м²,34.9,2,15,2779850563,Sale,/1-komnatnaya-kvartira-na-prodazhu-novosibirsk-2779850563,263.0,2 719 000 ₽,77 908 ₽ за м²,77908,2719000,Apartment,2020-08-11T08:26:07.707249Z,78,Listing,1,1.0,2020-12-25T04:43:40.027032+03:00,1977439449,2020-08-10T18:31:37.084212+03:00,2020-11-25T04:43:40.027032+03:00,2.26,263.0,#FF0000,Площадь Ленина,"1-комн. квартира, 34.9 м², 2/17 эт.",2020-11-25T01:52:46.12088Z
"Новосибирск, Октябрьский район, жилмассив Плющихинский, 143/5",24905040,Ирина,Resale,3285,2020-10-23T02:38:20.579505Z,"Полноценная 2-х комнатная квартира с балконом, в доме 143/5. Ключи обещают весной 2021 года. Квартира под с/о. Продаю лично. Обмен не интересует! Ипотеки нет (к сожалению).<br>Приобретение объекта возможно путем вступления в жилищно-строительный кооператив и уплаты взносов (паевой, вступительный и др.). Целью ПЖСК является улучшение жилищных условий граждан. Члены ПЖСК своими средствами участвуют в строительстве, реконструкции и последующем содержании многоквартирного дома. С уставом и положениями ПЖСК можно ознакомиться на сайте застройщика.<br>Уважаемые менеджеры продаж агентств недвижимости!<br>Договоры с агентствами я не заключаю, звонить по этому поводу мне не нужно)))",58.8 м²,650.0,1/10,58.8 м²,58.8,1,1,2950158098,Sale,/2-komnatnaya-kvartira-na-prodazhu-novosibirsk-2950158098,272.0,2 300 000 ₽,39 116 ₽ за м²,39116,2300000,Apartment,2020-10-23T02:38:20.579505Z,78,Listing,2,2.0,2020-12-25T04:47:08.710443+03:00,2029962646,2020-10-23T05:28:55.035682+03:00,2020-11-26T04:58:14.472921+03:00,3.547,272.0,#008000,Золотая Нива,"2-комн. квартира, 58.8 м², 1/10 эт.",2020-11-26T03:07:20.724787Z
"Новосибирская область, Бердск, Морская улица, 44к2",169250,"АН ""Азимут""",Resale,3279,2020-05-19T02:11:21.20651Z,"Микрорайон ""Морской"": новые дома, своя котельная, чистый воздух, море в  семи минутах, магазины, места для отдыха, оздоровления и развлечений в пешей доступности, остановка автобуса в трех минутах пешком. <br>В доме просторные подъезды, предусмотрено место для велосипедов и колясок, оборудован откидной пандус, есть возможность сделать тамбур на две квартиры.  <br>    Квартира с бюджетным ремонтом, окна  и остекление лоджии  многокамерные из ПВХ,  входная дверь металлическая, в санузле и над раковиной на кухне выложен кафель, потолки покрашены, на полу в комнате, кухне и коридоре - линолеум, в санузле  -  керамогранит, радиаторы пластинчатые.   <br>    Возможна продажа или обмен с доплатой на двух-трехкомнатную квартиру, желательно в районе  школ  №10, №2, №3 и №6, кроме верхнего этажа.<br>     Детали сделки: нотариальная, несовершеннолетний собственник.",36.8 м²,,2/4,36.8 м²,36.8,2,17,2570844773,Sale,/1-komnatnaya-kvartira-na-prodazhu-berdsk-2570844773,,2 150 000 ₽,58 424 ₽ за м²,58424,2150000,Apartment,2020-05-19T02:11:21.20651Z,78,Listing,1,1.0,2020-12-20T09:48:08.799427+03:00,1920742699,2020-05-18T05:27:52.78167+03:00,2020-11-20T09:48:08.799427+03:00,,,,,"1-комн. квартира, 36.8 м², 2/4 эт.",2020-11-20T06:57:13.866225Z
"Новосибирск, улица Ивана Севастьянова, 5",8891630,Жилфонд,Resale,3285,2020-11-20T07:06:16.400327Z,"ОБРАТИТЕ ВНИМАНИЕ!!!! адекватная ЦЕНА <br>Дом сдан, ключи на руках.<br>В ПРОДАЖЕ 2к. КВАРТИРА в ЖК ЛЕТО, в новом доме ПЛОЩАДЬЮ 61,5 м2 Комнаты 19,6 м2 и 14,2 м2, Кухня 10,8 м2. <br>ВАЖНО!!! Лоджия 8,2 м2. с ЗАВОРАЖИВАЮЩИМ ВИДОМ на ГОРОД! <br>О квартире: Межкомнатные и входные двери, не требующие замены. Балконное остекление. Установлены приборы учета воды, стоит качественная входная дверь,новая чугунная ванная.<br>ЖК «Лето» вырастет в одном из самых живописных уголков Юго-Западного жилмассива: три жилых дома переменной этажности расположатся на берегу озера на улице Ивана Севастьянова. <br>Район ЮГО-ЗАПАДНЫЙ, с давно сложившейся инфраструктурой: Торговый центр, магазины, школы, гимназии, детские сады. <br>Удобная транспортная развязка: до метро Карла Маркса, 15 мин.на общественном транспорте, выезд на Толмачевское шоссе и Ордынскую трассу! ",61.4 м²,654.0,3/10,61.4 м²,61.4,3,14,3019629669,Sale,/2-komnatnaya-kvartira-na-prodazhu-novosibirsk-3019629669,267.0,4 450 000 ₽,72 476 ₽ за м²,72476,4450000,Apartment,2020-11-20T07:06:16.400327Z,78,Listing,2,2.0,2020-12-20T09:57:55.361839+03:00,2028630729,2020-11-20T08:31:07.170495+03:00,2020-12-03T13:31:28.667802+03:00,4.34,267.0,#FF0000,Площадь Маркса,"2-комн. квартира, 61.4 м², 3/10 эт.",2020-12-03T10:40:30.022903Z
"Новосибирск, 2-я Обская улица, 154",23367994,Компания «ЭТАЖИ»,Resale,3285,2020-11-25T02:15:29.073746Z,"СТУДИЯ ПРОДАЁТСЯ БЕЗ МЕБЕЛИ.ЧИСТАЯ ПРОДАЖА.<br>В продаже студия. На 6 этаже. <br>Лоджия с видом на реку Обь. Чистая продажа. <br>С ремонтом. Вариант ""заходи и живи"".<br>Пол из пробкового дерева.<br>Стены под покраску. <br>В ванне кафель.<br>Закрытый двор. Охрана. Подземная и надземная парковка.<br>Звоните, договоримсмя о просмотре. <br>Помощь в оформлении ипотеки,в выдаче кредита.. Номер в базе: 4997834. Район: Октябрьский.",30 м²,650.0,6/20,30 м²,30.0,6,8,3030414540,Sale,/kvartira-na-prodazhu-novosibirsk-3030414540,265.0,3 350 000 ₽,111 667 ₽ за м²,111667,3350000,Apartment,2020-11-25T02:15:29.073746Z,78,Listing,Студия,,2020-12-25T05:06:27.810805+03:00,2040735077,2020-11-25T05:06:04.913446+03:00,2020-12-08T19:07:41.227044+03:00,1.774,265.0,#FF0000,Речной вокзал,"Квартира-студия, 30 м², 6/20 эт.",2020-12-08T16:17:23.245051Z
"Новосибирск, Советский район, микрорайон Правые Чёмы, Балтийская улица, 31",192909717,Агентство недвижимости Жилфонд,Resale,3285,2020-11-25T11:03:20.913883Z,"Советский район, г.Новосибирск, ул. Балтийская.  Продается 3-х комнатная квартира с отличным видом на лес.<br>Сделан отличный качественный ремонт из дорогих материалов.<br>Вся мебель и бытовая техника остается.<br>Возможен обмен на вашу недвижимость.<br>	<br>	При звонке, пожалуйста, сообщите номер варианта - <br>       JV000030090160",71.9 м²,656.0,9/18,71.9 м²,71.9,9,11,3031552802,Sale,/3-komnatnaya-kvartira-na-prodazhu-novosibirsk-3031552802,,6 000 000 ₽,83 449 ₽ за м²,83449,6000000,Apartment,2020-11-25T11:03:20.913883Z,78,Listing,3,3.0,2020-12-25T13:54:19.196714+03:00,2035823273,2020-11-25T13:53:49.080943+03:00,2020-11-25T13:54:19.196714+03:00,,,,,"3-комн. квартира, 71.9 м², 9/18 эт.",2020-11-25T11:03:21.291076Z
"Новосибирск, Сибирская улица, 35/1",61734665,Агентство недвижимости «НИАН»,Resale,3285,2020-02-28T01:10:19.386688Z,"Срочно!!! Продам просторную двухуровневую квартиру свободной планировки на две стороны в самом центре г. Новосибирска. Дом расположен в тихом спокойном месте. Рядом детские сады, лучшие школы города, в шаговой доступности две станции метро, цирк, ЦУМ, ДКЖ. Дом выполнен классической кирпичной кладкой (толщина стен 60 см). Большая огороженная придомовая территория обеспечит возможность парковки автомобиля. На  площадке всего две квартиры. Все стены в квартире подготовлены к чистовой отделке, выполнена стяжка, горизантальная  разводка горячей и холодной воды, разведена электропроводка, застеклены лоджии.",199.4 м²,652.0,8/9,199.4 м²,199.4,8,24,2349056056,Sale,/4-komnatnaya-kvartira-na-prodazhu-novosibirsk-2349056056,268.0,15 000 000 ₽,75 226 ₽ за м²,75226,15000000,Apartment,2020-02-28T01:10:19.386688Z,78,Listing,4,4.0,2020-12-21T07:10:32.165259+03:00,1863350561,2020-02-27T05:44:17.795877+03:00,2020-11-21T07:10:32.165259+03:00,0.567,268.0,#008000,Площадь Гарина-Михайловского,"4-комн. квартира, 199.4 м², 8/9 эт.",2020-11-21T04:19:36.687733Z
"Новосибирская область, Искитимский район, станция Евсино, Рабочая улица, 3",120700415,Ирина,Resale,3252,2020-10-23T08:40:23.062827Z,"Продается квартира в самом центре ст.Евсино .В шаговой доступности школа, детский сад, остановка транспорта и жд вокзал, магазины, парк в 3 минутах ходьбы. Расположение дома очень удачное - под окнами нет проездных дорог. Квартира теплая, чистая, светлая. В стоимость квартиры включен новый ещё в плёнке кухонный гарнитур. Собственник 2, взрослых, квартира в собственности более 5 лет.",29 м²,,3/5,29 м²,29.0,3,11,2950826245,Sale,/1-komnatnaya-kvartira-na-prodazhu-iskitim-2950826245,,1 030 000 ₽,35 517 ₽ за м²,35517,1030000,Apartment,2020-10-23T08:40:23.062827Z,78,Listing,1,1.0,2020-12-22T12:37:17.046722+03:00,2045033196,2020-10-23T11:30:55.520178+03:00,2020-11-22T12:37:17.046722+03:00,,,,,"1-комн. квартира, 29 м², 3/5 эт.",2020-11-22T09:46:20.889435Z
