address,agencyId,agencyName,apartmentSaleType,cityId,createdAt,description,details,developmentId,developmentName,developmentParentId,developmentParentName,districtId,floor,floorArea,floorAreaCalculated,floorInt,galleryImagesCount,id,itemType,itemUrl,metroId,price,pricePerArea,pricePerAreaValue,priceValue,propertyType,publishDate,regionId,resultType,rooms,roomsOrdinal,sourceFinishTime,sourceId,sourceStartTime,sourceUpdateTime,station_distance,station_id,station_lineColors,station_name,title,updatedAt
"Новосибирск, улица Гоголя, 32",61734665,Агентство недвижимости «НИАН»,Resale,3285,2020-05-23T01:34:04.940662Z,"В продаже 2-х комнатная квартира ,в хорошем состоянии, в самом центре города. Идеальная транспортная развязка между станциями метро: ""Сибирская"" и "" Маршала Покрышкина"". Рядом есть все:ТРЦ Галерея, ТЦ Юпитер, центральный рынок. Окна в тихий двор.В  квартире остается мебель и техника. Один собственник! Без обременений! Чистая продажа!!! Приглашаем на просмотр",43 м²,,,,,649.0,4/5,43 м²,43.0,4,5,2580292196,Sale,/2-komnatnaya-kvartira-na-prodazhu-novosibirsk-2580292196,270.0,3 670 000 ₽,85 349 ₽ за м²,85349,3670000,Apartment,2020-05-23T01:34:04.940662Z,78,Listing,2,2.0,2020-12-21T08:20:37.870898+03:00,1927159804,2020-05-22T05:00:39.570563+03:00,2020-11-21T08:20:37.870898+03:00,0.492,270.0,#008000,Маршала Покрышкина,"2-комн. квартира, 43 м², 4/5 эт.",2020-11-21T05:30:21.70633Z
"Новосибирск, улица Плахотного, 72/1",23367994,Компания «ЭТАЖИ»,Resale,3285,2020-09-21T19:56:28.728146Z,"В продаже просторная 3-х комнатная квартира в новом кирпичном доме. В квартире 1 застекленная лоджия. Огороженная территория, видео-наблюдение в подъезде и на территории. Прекрасное расположение дома, хорошая транспортная развязка, 10-15 мин до ближайшей станции метро Карла Маркса. Все необходимое рядом с домом, в двух минутах гимназия и 2 детских сада. Помощь в получении ипотеки с низкой процентной ставкой. Торг присутствует!. Номер в базе: 4149188. Район: Ленинский.",80 м²,,,,,654.0,3/9,80 м²,80.0,3,13,2879741824,Sale,/3-komnatnaya-kvartira-na-prodazhu-novosibirsk-2879741824,267.0,6 150 000 ₽,76 875 ₽ за м²,76875,6150000,Apartment,2020-09-21T19:56:28.728146Z,78,Listing,3,3.0,2020-12-21T16:19:51.503942+03:00,2008052026,2020-09-21T22:07:44.765169+03:00,2020-11-26T10:06:03.115383+03:00,2.741,267.0,#FF0000,Площадь Маркса,"3-комн. квартира, 80 м², 3/9 эт.",2020-11-26T07:34:14.98901Z
"Новосибирская область, Барабинск, улица Ермака, 15",169249756,Оксана,Resale,3266,2019-11-30T02:56:02.43938Z,"Продам 3-х комнатную квартиру в центре Барабинска, большая кухня, просторная комната, не малых размеров спальня и детская. Рядом магазины (Пятерочка, Светофор, Магнит, Низкоцен, Старт, Торнадо), шиномонтаж, детская поликлиника, в шаговой доступности 2 детских сада, школа, через дорогу баня, Барабинская пивоварня, профилакторий Бараба, Дом культуры (кинотеатр, парк), библиотека. Во дворе новая детская площадка. В подвале просторная ячейка. В шаговой доступности остановки маршрутов автобусов 1, 2, 4, 5. Косметический ремонт. Заменены водопровод и отопление. Горячая вода круглый год (водонагреватель). Квартира теплая. Окна пластиковые, на полу линолеум, потолки 3,2 снижены до 2,7 панели. Просторный санузел (совмещен). В прихожей встроенные ниши для хранения полезных вещей (новогодние игрушки, зимняя обувь, инструменты и пр.). Заходи и живи (квартира пустая).  Бонус - замечательные соседи. Продажа в связи с переездом в другой регион. Торг реальному покупателю.",64 м²,,,,,,2/3,64 м²,64.0,2,16,2065503147,Sale,/3-komnatnaya-kvartira-na-prodazhu-barabinsk-2065503147,,1 750 000 ₽,27 344 ₽ за м²,27344,1750000,Apartment,2019-11-30T02:56:02.43938Z,78,Listing,3,3.0,2020-12-19T11:51:46.802247+03:00,1850023739,2019-11-29T23:18:16.90841+03:00,2020-11-19T11:51:46.802247+03:00,,,,,"3-комн. квартира, 64 м², 2/3 эт.",2020-11-19T09:00:51.244998Z
"Новосибирская область, Сузунский район, село Шигаево",174666896,Victoria,Resale,3265,2020-04-22T02:38:54.729346Z,"Продам квартиру,3 комнаты ,есть баня,летняя кухня,сарай ,двор для ведения хозяйства . В доме паровое отопление ,вода , туалет . Имеется земельный участок для садоводства . В доме сделан ремонт , натяжные потолки.",45 м²,,,,,,1/1,45 м²,45.0,1,10,2505388688,Sale,/3-komnatnaya-kvartira-na-prodazhu-ordynskoe-2505388688,,400 000 ₽,8 889 ₽ за м²,8889,400000,Apartment,2020-04-22T02:38:54.729346Z,78,Listing,3,3.0,2020-12-22T16:59:40.910538+03:00,1902170321,2020-04-21T16:23:28.379359+03:00,2020-11-22T16:59:40.910538+03:00,,,,,"3-комн. квартира, 45 м², 1/1 эт.",2020-11-22T14:08:47.183736Z
"Новосибирск, улица Кирова, 338",152810530,Центральное агентство недвижимости,Resale,3285,2020-11-18T12:13:31.667853Z,"Красавица квартира, без вредных привычек, с отличным ремонтом в ЖК Ключевой.<br>Преимущества покупки квартиры: <br>• Благоустроенная охраняемая территория.<br>• Экологическая безопасность местности.<br>• Низкая плотность застройки.<br>• Наличие собственной инфраструктуры.<br>• Высокая обеспеченность бесплатными парковочными местами<br> На территории работает частный детский сад и центр дошкольного развития детей, сделаны превосходные площадки для прогулок с детьми разных возрастов, спортивная площадка, площадка с тренажерами, дорожки для прогулок.<br>• Торговый центр в непосредственной близости к ЖК, где можно купить все необходимое.<br>Квартира теплая и уютная. Выполнен качественный ремонт из дорогих материалов.<br>Теплые полы  в ванной комнате. Один собственник. Без обременений и задолженностей. Чистая, быстрая продажа.<br>При звонке, пожалуйста, назовите номер объявления - 0<br>Консультируем подробно по телефону.",41.7 м²,,,,,650.0,1/4,41.7 м²,41.7,1,17,3015421261,Sale,/2-komnatnaya-kvartira-na-prodazhu-novosibirsk-3015421261,,3 570 000 ₽,85 612 ₽ за м²,85612,3570000,Apartment,2020-11-18T12:13:31.667853Z,78,Listing,2,2.0,2020-12-18T15:04:30.349782+03:00,2016616168,2020-11-18T15:03:38.058643+03:00,2020-12-07T05:23:30.778486+03:00,4.799,265.0,#FF0000,Речной вокзал,"2-комн. квартира, 41.7 м², 1/4 эт.",2020-12-07T02:33:30.657809Z
"ул. Дуси Ковальчук, д. 242/1, секция 3-5",137774465,Владимир,New,3285,2020-09-21T13:15:23.339652Z,"Собственник!!!<br>Продажа не срочная.<br>Отличная планировка квартиры.<br>Все комнаты изолированные, светлые и просторные.<br>Самое лучшее расположение дома (находится на второй линии от дороги). Нет шума, пыли и раздражающих факторов.  <br>В тоже время вся инфроструктура.<br>В шаговой доступности школы, гимназии, садики, зоопарк, дендропарк, метро, торговые центры и т.д.<br>Дополнительно возможно приобрести семейную подземную парковку на два автомобиля (находится под домом) + кладовая/овощехранилище 3,4 кв.м. (находится под домом).<br>Также находится в моей собственности!!!<br>Стоимость парковки на два автомобиля = 1 100 000 рублей.<br>Стоимость кладовкой = 200 000 руб<br>Торг возможен!<br>Дом сдается по очередям.<br>Квартира находится в 1-ой очереди (5,4,3 подъезды). <br>Сдача первой очереди начало 2021 года.<br>Продажа в связи с покупкой дома!",96.2 м²,39510.0,ЖК «Покровский»,39510.0,ЖК «Покровский»,653.0,6/24,96.2 м²,96.2,6,0,2879026860,Sale,/3-komnatnaya-kvartira-na-prodazhu-novosibirsk-2879026860,261.0,6 400 000 ₽,66 528 ₽ за м²,66528,6400000,Apartment,2020-09-21T13:15:23.339652Z,78,Listing,3,3.0,2020-12-21T16:42:45.251963+03:00,1983266221,2020-09-21T16:05:53.665109+03:00,2020-11-21T16:42:45.251963+03:00,0.894,261.0,#FF0000,Гагаринская,"3-комн. квартира, 96.2 м², 6/24 эт.",2020-11-21T13:51:49.583654Z
"Новосибирская область, Бердск, улица Ленина, 126",163831226,Компания Елка МФЦ Недвижимость,Resale,3279,2020-11-20T07:05:08.34598Z,"Арт. 43742299 Продаётся студия. Светлая и теплая квартира. Общая площадь 29.1 кв.м. Лоджия в эту площадь не входит, застеклена, утеплена -обшита деревом. Квартира расположена на 2 этаже 10 этажного  нового кирпичного дома, здание построено в 2017 году. Сделан ремонт. По всей квартире натяжной потолок, на подъезде установлено круглосуточное онлайн видео-наблюдение. В квартире остается кухонный гарнитур. Рядом много садов и школ, экономический лицей, магазины, общественный транспорт все в шаговой доступности. Ждем  к просмотру.",29.1 м²,,,,,,2/10,29.1 м²,29.1,2,19,3019626810,Sale,/kvartira-na-prodazhu-berdsk-3019626810,,2 100 000 ₽,72 165 ₽ за м²,72165,2100000,Apartment,2020-11-20T07:05:08.34598Z,78,Listing,Студия,,2020-12-20T09:56:05.443135+03:00,2040750178,2020-11-20T09:55:42.262704+03:00,2020-12-07T13:16:44.196115+03:00,,,,,"Квартира-студия, 29.1 м², 2/10 эт.",2020-12-07T10:25:48.882999Z
"Новосибирская область, Искитимский район, посёлок Керамкомбинат, Центральная улица, 41",80840510,Дарья,Resale,3260,2020-03-01T01:53:17.454063Z,"Продается 2-х комнатная квартира,в хорошем состоянии,продажа от собственника, подходит под любой вид сделки.",42 м²,,,,,,3/3,42 м²,42.0,3,20,2356172413,Sale,/2-komnatnaya-kvartira-na-prodazhu-linevo-2356172413,,1 200 000 ₽,28 571 ₽ за м²,28571,1200000,Apartment,2020-03-01T01:53:17.454063Z,78,Listing,2,2.0,2020-12-21T08:50:48.390903+03:00,1884390191,2020-02-29T12:15:55.65131+03:00,2020-11-21T08:50:48.390903+03:00,,,,,"2-комн. квартира, 42 м², 3/3 эт.",2020-11-21T05:59:53.047642Z
"Новосибирская область, Искитим, микрорайон Индустриальный, 45, подъезд 2",71618207,"АН ""Фора""",Resale,3252,2020-07-11T05:26:10.262953Z,Квартира с хорошим ремонтом. Продается почти со всей мебелью и бытовой техникой. Один собственник. Подходит под все виды расчёта.,53 м²,,,,,,9/9,53 м²,53.0,9,19,2711002477,Sale,/2-komnatnaya-kvartira-na-prodazhu-iskitim-2711002477,,2 450 000 ₽,46 226 ₽ за м²,46226,2450000,Apartment,2020-07-11T05:26:10.262953Z,78,Listing,2,2.0,2020-12-22T08:53:51.348893+03:00,1981308870,2020-07-11T08:03:48.969493+03:00,2020-11-22T08:53:51.348893+03:00,,,,,"2-комн. квартира, 53 м², 9/9 эт.",2020-11-22T06:02:55.289672Z
"Новосибирск, улица Добролюбова, 162/1",152810530,Центральное агентство недвижимости,Resale,3285,2020-11-18T12:23:36.616601Z,"Предлагается к продаже полноценная однокомнатная квартира без балкона. Выполнен современный ремонт в светлых тонах. Данный вариант отлично подходит для проживания, инфраструктура района развита - школы, детсады, магазины, поликлиники, так и для выгодной сдачи в аренду - близость метро, университет НГАУ. В доме есть парикмахерская, пекарня, аптека. Во дворе детская площадка.<br>Подходит любая форма расчёта.<br>Приглашаем на просмотр.<br>При звонке, пожалуйста, назовите номер объявления - 92 017<br>Консультируем подробно по телефону.",33.2 м²,,,,,650.0,2/17,33.2 м²,33.2,2,14,3015442398,Sale,/1-komnatnaya-kvartira-na-prodazhu-novosibirsk-3015442398,272.0,3 150 000 ₽,94 880 ₽ за м²,94880,3150000,Apartment,2020-11-18T12:23:36.616601Z,78,Listing,1,1.0,2020-12-18T15:14:34.464086+03:00,2016875662,2020-11-18T15:14:07.52228+03:00,2020-12-09T05:19:41.507812+03:00,0.981,272.0,#008000,Золотая Нива,"1-комн. квартира, 33.2 м², 2/17 эт.",2020-12-09T02:29:12.318178Z
