address,agencyId,agencyName,apartmentSaleType,cityId,createdAt,description,details,districtId,floor,floorArea,floorAreaCalculated,floorInt,galleryImagesCount,id,itemType,itemUrl,metroId,price,pricePerArea,pricePerAreaValue,priceValue,propertyType,publishDate,regionId,resultType,rooms,roomsOrdinal,sourceFinishTime,sourceId,sourceStartTime,sourceUpdateTime,station_distance,station_id,station_lineColors,station_name,title,updatedAt
"Новосибирск, Промышленная улица, 13",83629702,Никита,Resale,3285,2020-07-16T17:37:42.784653Z,"В продаже квартира с мебелью! Квартира в хорошем состоянии, окна пластиковые, потолок отшпаклеван, на полу линолеум. Бонус покупателю будет парковка рядом с домом!<br>Тихий, просторный двор. Хорошая транспортная развязка. В 10 мин. ходьбы метро 'Березовая роща'. Развитая инфраструктура. Рядом детские садики, школы и Аэрокосмический лицей им. Ю.В. Кондратюка 300 м., Спорткомплекс, магазины 'Лента', ' Магнит', 'Пятерочка', ' Мария-Ра', ДК им.'Чкалова', поликлиника в 2-х остановках, Парк 'Березовая роща'.<br>Приглашаем на просмотр!<br>Чистая продажа, Собственник. Торг уместен",50 м²,651.0,1/5,50 м²,50.0,1,22,2720784738,Sale,/3-komnatnaya-kvartira-na-prodazhu-novosibirsk-2720784738,271.0,3 600 000 ₽,72 000 ₽ за м²,72000,3600000,Apartment,2020-07-16T17:37:42.784653Z,78,Listing,3,3.0,2020-12-18T15:30:31.892062+03:00,1956742696,2020-07-16T20:28:18.329653+03:00,2020-11-18T15:30:31.892062+03:00,2.2,271.0,#008000,Берёзовая роща,"3-комн. квартира, 50 м², 1/5 эт.",2020-11-18T12:39:34.883855Z
"Новосибирск, улица Татьяны Снежиной, 45/3, подъезд 1",178825960,"2ПН, покупка-продажа недвижимости",Resale,3285,2020-11-26T10:08:48.491624Z,"В продаже полноценная 3-квартира с чистовой отделкой! Оштукатурены все стены, залита стяжка пола, установлена новая входная дверь!",87 м²,650.0,1/10,87 м²,87.0,1,2,3033746354,Sale,/3-komnatnaya-kvartira-na-prodazhu-novosibirsk-3033746354,272.0,4 430 000 ₽,50 920 ₽ за м²,50920,4430000,Apartment,2020-11-26T10:08:48.491624Z,78,Listing,3,3.0,2020-12-26T12:59:45.838105+03:00,2022164810,2020-11-26T12:59:21.854812+03:00,2020-12-01T18:34:12.34327+03:00,3.074,272.0,#008000,Золотая Нива,"3-комн. квартира, 87 м², 1/10 эт.",2020-12-01T15:43:15.378115Z
"Новосибирская область, Барабинск, улица Карла Маркса, 116",172026651,Елена Владимировна,Resale,3266,2019-11-02T17:02:18.202978Z,"Продам 3-х ком. кв. в ""сталинке"" 1957 г.п. в центре города, 2/2 этаж, 81 м2 общая, 55 м2 жилая, 10 м2 кухня, 1,5 м2 балкон (на плане не обозначен). Окна на две стороны (запад-восток), потолки 3 м, перекрытия ж/б, не угловая, очень теплая, балкон застеклён, окна – новые деревянные стеклопакеты, новая сантехническая разводка на кухне и в санузле. Состояние обычное, требует косметического ремонта. В прошлом году был кап. ремонт крыши, подъезда. Отличные соседи, перспектива использования под офис (под квартирой магазины). Покупателю оставляем всю обстановку. К квартире прилагается 3 сарая во дворе дома.",81 м²,,2/2,81 м²,81.0,2,2,1972686139,Sale,/3-komnatnaya-kvartira-na-prodazhu-barabinsk-1972686139,,2 500 000 ₽,30 864 ₽ за м²,30864,2500000,Apartment,2019-11-02T17:02:18.202978Z,78,Listing,3,3.0,2020-12-22T22:22:49.73666+03:00,1849603492,2019-11-02T19:08:30.736198+03:00,2020-11-22T22:22:49.73666+03:00,,,,,"3-комн. квартира, 81 м², 2/2 эт.",2020-11-22T19:31:52.864811Z
"Новосибирск, улица Сакко и Ванцетти, 77",173953568,Apartments FreeDom,Resale,3285,2020-08-18T11:43:31.185411Z,"Квартира от собственника!!! <br>Продам апартаменты с качественным ремонтом, расположенные в новом, современном комплексе Парк Резиденс. Квартира оснащена всем необходимым. ЖК телевизор, оборудованная мини-кухня с микроволновой печью, холодильником, варочной плитой, двуспальный диван, вместительный шкаф - гардеробная, стиральная машина.<br>Бизнес-центр Парк Резиденс представляет собой идеально сбалансированное пространство для комфортного проживания и отдыха. Помимо комфортабельных апартаментов в центре есть все, что вам может понадобиться: фитнес клуб с 25-метровым бассейном, салоны красоты, кафе-столовая, магазины, кофейня, многопрофильный медицинский центр MedPark, стоматологическая клиника, клиника терапевтической косметологии и пластической хирургии и другие организации бытового обслуживания. Территория комплекса оснащена видеонаблюдением, детской игровой площадкой и бесплатной наземной парковкой. Также имеется подземный паркинг. <br>Апартаменты можно сдавать в посуточную аренду и на длительный срок, очень удачная локация для данного вида бизнеса. <br>Удобная транспортная развязка позволит Вам быстро добраться в любую часть города. Апартаменты находятся в пешей доступности (5 минут) от станции метро Октябрьская и главных магистралей города, не смотря на это, Парк Резиденс достаточно удален от шумных дорог, что обеспечивает спокойное пребывание и отсутствие дискомфорта, создаваемого движением транспорта.",23.4 м²,650.0,21/22,23.4 м²,23.4,21,15,2797450571,Sale,/kvartira-na-prodazhu-novosibirsk-2797450571,264.0,3 350 000 ₽,143 162 ₽ за м²,143162,3350000,Apartment,2020-08-18T11:43:31.185411Z,78,Listing,Студия,,2020-12-20T12:22:47.155592+03:00,1950879169,2020-08-18T14:26:43.254514+03:00,2020-12-06T16:22:59.172481+03:00,0.552,264.0,#FF0000,Октябрьская,"Квартира-студия, 23.4 м², 21/22 эт.",2020-12-06T13:32:22.553822Z
"Новосибирск, Советский район, микрорайон Академгородок, проспект Академика Коптюга, 9",84247383,Агентство недвижимости Ривьера,Resale,3285,2020-03-05T01:06:53.908233Z,"В продаже эксклюзивная квартира в верхней зоне Академгородка . Квартире выполнен дизайнерский ремонт все детали продуманы до мелочей . В подарок новому собственнику остается вся мебель и техника (выполнена по индивидуальному заказу иностранных производителей ) Дом бизнес класса ,отличное местоположение в шаговой доступности НГУ, торговые центры, Дома ученых, школы ,сады. Внутри комплекса есть медицинский центр ,аптека, банк,салон красоты, минимаркет,фитнес клуб, детский центр . Квартира подходит под любой вид расчета ,быстрый выход на сделку . Звоните просмотр возможен 7 дней в неделю в любое удобное для вас время ! Ждем вас на просмотр .",155.1 м²,656.0,8/16,155.1 м²,155.1,8,20,2368201589,Sale,/3-komnatnaya-kvartira-na-prodazhu-novosibirsk-2368201589,,28 000 000 ₽,180 529 ₽ за м²,180529,28000000,Apartment,2020-03-05T01:06:53.908233Z,78,Listing,3,3.0,2020-12-19T13:33:23.379599+03:00,1909847750,2020-03-04T09:31:28.896836+03:00,2020-11-19T13:33:23.379599+03:00,,,,,"3-комн. квартира, 155.1 м², 8/16 эт.",2020-11-19T10:42:30.308695Z
"Новосибирская область, Искитим, улица Карбышева, 34",76386837,Владимир,Resale,3252,2020-09-18T05:25:18.234223Z,"Если Вы читаете это объявление,значит у Вас наконец-то появилась возможность реализовать мечту о приобретении квартиры с участком на котором есть всё чего так не хватает в многоквартирных домах:гараж,баня и возможность что-то вырастить для себя и своей семьи.Квартира очень уютная,светлая в доме на двух хозяев.Дом из добротного бревна,обшит.Отопление,водоснабжение центральное,улица газифицирована и тупиковая,коммунальные платежи небольшие можно уложиться в 2-3 тысячи.Тихое спокойное место в чистом районе города,без шума и пыли,при этом всё рядом(магазины,школы,д/сады,остановки транспорта)Показ в удобное время по договорённости.Собственник один,документы к продаже готовы,рассмотрим вариант обмена на ликвидное жильё(Искитим,Бердск,Новосибирск)",57 м²,,1/1,57 м²,57.0,1,32,2871441187,Sale,/3-komnatnaya-kvartira-na-prodazhu-iskitim-2871441187,,2 450 000 ₽,42 982 ₽ за м²,42982,2450000,Apartment,2020-09-18T05:25:18.234223Z,78,Listing,3,3.0,2020-12-17T18:45:59.456094+03:00,2003369184,2020-09-18T08:15:55.430836+03:00,2020-11-17T18:45:59.456094+03:00,,,,,"3-комн. квартира, 57 м², 1/1 эт.",2020-11-17T15:55:04.153139Z
"Новосибирск, Красный проспект, 179/1",170121642,VDOME недвижимость,Resale,3285,2020-11-18T12:52:32.652454Z,"Срочно продадим отличную двухкомнатную квартиру ! Все что вы видите на фото мы оставим ,квартира полностью укомплектована . Помимо свежего и качественного ремонта мы вам прилагаем отличных соседей и хорошую УК от застройщика, поэтому коммунальные услуги не дорогие !) Квартира светлая ,с очень хорошей энергетикой .Лоджия остеклена кстати!) С парковочными местами проблем нет и никогда не будет! В подъезде консьерж и видеонаблюдение, сам дом 2014 года постройки ,что не мало важно! К тому же , вы покупаете не просто квартиру , а один из самых экологичных районов города , огромные озеленения и парки повсюду. Отличная транспортная развязка ,т.к дом находится не далеко от метро ,ну и что касаемо инфраструктуры, то рядом все магазины, поликлиники, детские сады и школы, что не мало важно для ваших детей ,либо будущих малышей!) Ждем на просмотры наших покупателей, если есть какие-то вопросы ,то задайте мне их по телефону в любое время! ",70 м²,653.0,7/22,70 м²,70.0,7,20,3015528327,Sale,/2-komnatnaya-kvartira-na-prodazhu-novosibirsk-3015528327,260.0,6 100 000 ₽,87 143 ₽ за м²,87143,6100000,Apartment,2020-11-18T12:52:32.652454Z,78,Listing,2,2.0,2020-12-18T15:43:31.721257+03:00,2024042929,2020-11-18T15:40:39.589443+03:00,2020-11-18T15:43:31.721257+03:00,1.3,260.0,#FF0000,Заельцовская,"2-комн. квартира, 70 м², 7/22 эт.",2020-11-18T12:52:34.527728Z
"Новосибирск, улица Кирова, 25",170121642,VDOME недвижимость,Resale,3285,2020-11-18T12:52:33.231883Z,"В продаже шикарная 2ка студия , если вы спросите ,почему такая большая 2ка студия ? То да, однозначно это бывшая полноценная двушка , перепланировки все узаконены! Дом находится в суперском месте да и цена самая лучшая ,рядом метро октябрьская ,буквально в 2 минутах, рядом все продуктовые магазины, парки, торговые центры, школы ,детские сады и поликлиники . В самой квартире сделан хороший свежий ремонт , вид ночью из окна ошеломительный , хочется открыть бутылочку вина , включить фильм и вечер удался !) Квартира очень теплая зимой ,т.к. установлена система теплого пола и летом не жарко, т.к есть кондиционер.  В общем ждем своих покупателей на просмотр, порадуйте себя и своих близких на Новый Год!) <br>Звоните в любое время! Отвечу вам на все вопросы ",88 м²,650.0,10/21,88 м²,88.0,10,18,3015528363,Sale,/2-komnatnaya-kvartira-na-prodazhu-novosibirsk-3015528363,264.0,9 700 000 ₽,110 227 ₽ за м²,110227,9700000,Apartment,2020-11-18T12:52:33.231883Z,78,Listing,2,2.0,2020-12-18T15:43:32.358116+03:00,2024092287,2020-11-18T15:40:40.414269+03:00,2020-11-18T15:43:32.358116+03:00,0.212,264.0,#FF0000,Октябрьская,"2-комн. квартира, 88 м², 10/21 эт.",2020-11-18T12:52:35.559582Z
"Новосибирск, улица Олеко Дундича, 1",8149884,Ольга,Resale,3285,2020-10-21T00:36:16.089951Z,"Планировка квартиры прекрасная! Все комнаты изолированные, в каждой комнате либо балкон , либо лоджия! Есть гардеробная, предусмотрена планировкой! Сделан свежий косметический ремонт. Приятно зайти в квартиру. Дом во дворах, рядом детский садик и школа! Магазины, остановки, всё в шаговой доступности. Подходит под любые расчеты, нет обременений, нет несовершеннолетних собственников.",64.3 м²,648.0,3/9,64.3 м²,64.3,3,9,2944893203,Sale,/3-komnatnaya-kvartira-na-prodazhu-novosibirsk-2944893203,271.0,3 880 000 ₽,60 342 ₽ за м²,60342,3880000,Apartment,2020-10-21T00:36:16.089951Z,78,Listing,3,3.0,2020-12-20T12:32:54.137419+03:00,2042743341,2020-10-21T03:26:48.568282+03:00,2020-11-20T12:32:54.137419+03:00,3.156,271.0,#008000,Берёзовая роща,"3-комн. квартира, 64.3 м², 3/9 эт.",2020-11-20T09:41:57.597452Z
"Новосибирск, улица Дуси Ковальчук, 274",1697670,Собственник,Resale,3285,2020-03-23T00:53:57.585038Z,"Метро Заельцовская, 5 мин. пешком<br>Квартира продается с мебелью. <br>Окна выходят на две стороны. Стены кирпичные. Высота потолков 3м<br>Придомовая территория дома огорожена.  Bидеонаблюдение,охрана. Детская площадка. <br>Две наземные парковки, есть подземные гаражи. Метро в двух минутах. Квартира после ремонта.<br>Рядом сквер Лучистый и торговые центры «Калина», «Роял Парк», «Европа»,  лицей № 159, лицей № 9, д/сад «Родничок»",101.7 м²,653.0,5/9,101.7 м²,101.7,5,40,2426911775,Sale,/3-komnatnaya-kvartira-na-prodazhu-novosibirsk-2426911775,260.0,13 000 000 ₽,127 827 ₽ за м²,127827,13000000,Apartment,2020-03-23T00:53:57.585038Z,78,Listing,3,3.0,2020-12-10T11:11:41.304437+03:00,1892374054,2020-03-22T17:50:15.353448+03:00,2020-11-17T12:22:00.811297+03:00,0.238,260.0,#FF0000,Заельцовская,"3-комн. квартира, 101.7 м², 5/9 эт.",2020-11-17T09:31:02.393344Z
"Новосибирская область, Искитим, микрорайон Центральный, 20",25465508,Капитал,Resale,3252,2020-10-22T09:19:53.164175Z,"Квартира в отличном месте, рядом сады, школа буквально в 100 метрах от дома. Окна ПВХ. требуется ремонт",45 м²,,1/5,45 м²,45.0,1,5,2948356938,Sale,/2-komnatnaya-kvartira-na-prodazhu-iskitim-2948356938,,1 530 000 ₽,34 000 ₽ за м²,34000,1530000,Apartment,2020-10-22T09:19:53.164175Z,78,Listing,2,2.0,2020-12-22T05:37:41.633056+03:00,2018837240,2020-10-22T12:09:25.666644+03:00,2020-11-22T05:37:41.633056+03:00,,,,,"2-комн. квартира, 45 м², 1/5 эт.",2020-11-22T02:46:47.524655Z
