address,agencyId,agencyName,apartmentSaleType,cityId,createdAt,description,details,developmentId,developmentName,developmentParentId,developmentParentName,districtId,floor,floorArea,floorAreaCalculated,floorInt,galleryImagesCount,id,itemType,itemUrl,metroId,price,pricePerArea,pricePerAreaValue,priceValue,propertyType,publishDate,regionId,resultType,rooms,roomsOrdinal,sourceFinishTime,sourceId,sourceStartTime,sourceUpdateTime,station_distance,station_id,station_lineColors,station_name,title,updatedAt
"ул. Аэропорт, стр. 1, блок-секция 6",188663210,"Квартал «Авиатор», застройщик Брусника",New,3285,2020-09-11T11:37:35.819777Z,"Квартира с объединенной кухней-гостиной и тремя спальнями в квартале «Авиатор». <br>                  ОБЪЯВЛЕНИЕ ОТ ЗАСТРОЙЩИКА. Покупка квартиры защищена банком.<br>Квартиру можно купить онлайн.<br>Трёхкомнатная квартира в ЖК «Авиатор» — это квартира с объединенной кухней-гостиной, тремя спальнями, просторной ванной комнатой и гостевым санузлом. Предусмотрены дополнительные ниши под хранение вещей, гардеробные или постирочные комнаты. Есть варианты планировок с французским балконом, протяжённым открытым балконом, глубокой или прогулочной террасой. Во всех квартирах сделаны большие окна, благодаря которым все помещения наполнены светом. Купить трёхкомнатную квартиру выгодно напрямую от застройщика Брусника. <br>На сдаче в 3-комнатных квартирах ЖК «Авиатор» выполнена отделка под чистовую. Стены выровнены и оштукатурены, на полу ー цементно-песчаная стяжка. В квартирах установлены розетки, выключатели, приборы учёта. Сделаны выводы под сантехнику и разводка электрики. Радиаторы установлены в каждой комнате и оборудованы терморегулятором. Нет стояков и вертикальных коммуникаций. В межкомнатных стенах и полу проложена шумоизоляция. В квартирах установлены пластиковые окна и надёжная сейф-дверь с замком. Отделка под чистовую экономит время и затраты на ремонт. Она включена в стоимость квартиры и не требует замены. <br>ЖК «Авиатор» расположен на пересечении улицы Аэропорт и Мочищенского шоссе, рядом с остановками «Байкальская», «Жуковского» и «Городской аэропорт», в 7 минутах ходьбы от сквера им. Чаплыгина и 10 минутах от крупной транспортной магистрали – Красного проспекта. До станции метро «Заельцовская» и площади «Калинина» – около 10 минут на автомобиле. Сформированная инфраструктура локации – школы, детские сады, магазины, спортивный стадион – делают жизнь в квартале комфортной. Первые новостройки в районе Аэропорта Северного сдаются в 3 квартале 2023 года. <br>«Авиатор» в Новосибирске строит компания Брусника. ЖК состоит из 11 домов. В центре квартала расположены 6-8-этажные урбан-виллы и 9-этажные парные дома с общим холлом. По периметру они отделены от городских улиц двумя секционными домами от 6 до 18 этажей со стилобатом и паркингом. Расположенная рядом школа будет интегрирована в проект при помощи элементов благоустройства и общественных пространств. Первая очередь строительства ЖК «Авиатор» включает возведение двух одноподъездных урбан-вилл и двух подъездов секционного дома, расположенного по улице Аэропорт. <br>Купить 3-комнатную квартиру в Новосибирске выгодно с использованием программ покупки и сервисов от застройщика Брусника: <br>— ипотека 5,85% по госпрограмме от ПАО Промсвязьбанк;<br>— ипотека с отсрочкой платежей на год от ПАО Сбербанк;<br>— беспроцентная рассрочка на квартиру;<br>— обмен своей квартиры на новую.<br>Получить одобрение ипотеки или рассрочку, а также осуществить обмен квартиры можно онлайн. Запишитесь на онлайн презентацию по телефону или на сайте.<br>            № квартиры в нашей базе: НСК17456.",191.5 м²,1027376811.0,Квартал «Авиатор»,1027376811.0,Квартал «Авиатор»,653.0,6/8,191.5 м²,191.5,6,11,2855408518,Sale,/3-komnatnaya-kvartira-na-prodazhu-novosibirsk-2855408518,260.0,13 500 000 ₽,70 496 ₽ за м²,70496,13500000,Apartment,2020-09-11T11:37:35.819777Z,78,Listing,3,3.0,2020-12-12T14:30:25.976256+03:00,1992323173,2020-09-11T14:28:02.728342+03:00,2020-12-01T10:49:13.543994+03:00,2.449,260.0,#FF0000,Заельцовская,"3-комн. квартира, 191.5 м², 6/8 эт.",2020-12-01T08:00:15.187603Z
"Новосибирская область, Бердск, Ключевая улица, 59",82190183,дмитрий,New,3279,2020-11-10T10:17:31.627748Z,"Качественный ремонт натяжные потолки, кафель, ламинат, хорошие обои, утепленная лоджия, распашонка. Рядом садик и школа.",38 м²,,,,,,1/9,38 м²,38.0,1,15,2995076831,Sale,/1-komnatnaya-kvartira-na-prodazhu-berdsk-2995076831,,2 250 000 ₽,59 211 ₽ за м²,59211,2250000,Apartment,2020-11-10T10:17:31.627748Z,78,Listing,1,1.0,2020-12-10T13:10:12.719077+03:00,2021611868,2020-11-10T12:43:36.519462+03:00,2020-11-15T08:28:18.343838+03:00,,,,,"1-комн. квартира, 38 м², 1/9 эт.",2020-11-15T05:37:40.701894Z
"Новосибирск, Красный проспект, 309",111821583,Купидом Агентство хороших квартир,Resale,3285,2020-11-09T04:24:05.207069Z,"К продаже предлагается замечательная однокомнатная квартира в ЖК Северная Корона по очень привлекательной цене! Выполнена чистовая отделка, стены отшпатлеваны, произведена стяжка пола, установлена качественная входная дверь. Дом сдан, ключи на руках!<br>Технология строительства комплекса - классическая кирпичная кладка, собственная газовая котельная, наличие технического этажа. Придомовая территория - изолированный двор, уникальный ландшафтный дизайн, игровая и спортивная зоны, видеонаблюдение и пункт охраны, огороженная территория комплекса.<br>Удобное расположение дома. Рядом есть все необходимое для комфортного проживания.<br>Звоните по просмотру, всегда на связи.<br>Поможем получить ипотечное решение.",32.4 м²,,,,,648.0,3/12,32.4 м²,32.4,3,3,2991894329,Sale,/1-komnatnaya-kvartira-na-prodazhu-novosibirsk-2991894329,,2 550 000 ₽,78 704 ₽ за м²,78704,2550000,Apartment,2020-11-09T04:24:05.207069Z,78,Listing,1,1.0,2020-12-09T07:15:03.55019+03:00,2029674837,2020-11-09T07:14:43.174796+03:00,2020-11-09T07:15:03.55019+03:00,,,,,"1-комн. квартира, 32.4 м², 3/12 эт.",2020-11-09T04:24:08.06222Z
"Новосибирская область, Бердск, Изумрудный городок, 13",157717201,Нелли,Resale,3279,2020-10-11T10:41:32.759118Z,"Квартира находится в элитном месте, свой пляж, детская площадка, охраняемая территория. Вся мебель и бытовая техника остается, продажа лично. Все интересующие вопросы по указанному тел. Коммунальные платежи минимальные, своя ТСЖ.",55 м²,,,,,,6/6,55 м²,55.0,6,6,2922230083,Sale,/2-komnatnaya-kvartira-na-prodazhu-berdsk-2922230083,,3 600 000 ₽,65 455 ₽ за м²,65455,3600000,Apartment,2020-10-11T10:41:32.759118Z,78,Listing,2,2.0,2020-12-11T13:40:42.350881+03:00,1998975569,2020-10-11T12:30:30.757304+03:00,2020-11-11T13:40:42.350881+03:00,,,,,"2-комн. квартира, 55 м², 6/6 эт.",2020-11-11T10:50:00.646726Z
"Новосибирская область, Черепановский район, рабочий посёлок Посевная, Рабочий переулок, 9",145276144,Ольга,Resale,3273,2020-10-13T03:37:05.24553Z,"есть ремонт ,квартира очень теплая,меняю на однакомнатную с вашей доплатой все вопросы по телефону, желательно предложения в рп Посевной",48.5 м²,,,,,,4/4,48.5 м²,48.5,4,8,2925703308,Sale,/2-komnatnaya-kvartira-na-prodazhu-posevnaya-2925703308,,750 000 ₽,15 464 ₽ за м²,15464,750000,Apartment,2020-10-13T03:37:05.24553Z,78,Listing,2,2.0,2020-12-12T06:29:24.835098+03:00,1998007458,2020-10-13T06:27:42.144474+03:00,2020-11-12T06:29:24.835098+03:00,,,,,"2-комн. квартира, 48.5 м², 4/4 эт.",2020-11-12T03:38:33.51998Z
"ул. 1-я Чулымская, д. 9",61734665,Агентство недвижимости «НИАН»,New,3285,2020-11-09T04:40:02.319742Z,"Комфортная 2-комнатная квартира в ЖК Венеция. Жилой комплекс Венеция расположен на берегу Оби, в левобережной части Новосибирска. При этом центральная часть правого берега города находится всего в 10-минутной доступности.  В непосредственной близости находятся школа, детский сад, поликлиника. Совсем рядом гипермаркеты Лента, Гигант, Forma и Леруа Мерлен. Через дорогу находится самый большой в России аквапарк. На огороженной территории жилого комплекса высажены хвойные и лиственные деревья, цветы и кустарники, газонные насаждения. Для детей от 3 до 6 лет и от 7 до 12 лет оборудованы два детских игровых комплекса, спортивная площадка. Внутри микрорайона запланировано создание большого парка, где можно будет отдохнуть от суеты.  4 автомобильных въезда на территорию, парковка на 952 машиноместа. Варианты отделок квартир: черновая, стандартная, улучшенная, улучшенная плюс. Дома комфорт-класса: удобные планировки, видовые квартиры, панорамное остекление лоджий, надежные скоростные лифты ОТIS. Более 10 видов отделки квартир (стоимость отделки может быть включена в ипотеку). Вы не будете платить комиссию. Все услуги по подбору и оформлению квартиры в новостройке для вас будут совершенно бесплатны.",52.4 м²,1009192613.0,ЖК «Венеция-3»,1009192613.0,ЖК «Венеция-3»,654.0,14/17,52.4 м²,52.4,14,10,2991924444,Sale,/2-komnatnaya-kvartira-na-prodazhu-novosibirsk-2991924444,263.0,3 811 000 ₽,72 729 ₽ за м²,72729,3811000,Apartment,2020-11-09T04:40:02.319742Z,78,Listing,2,2.0,2020-12-09T07:30:58.964142+03:00,2023013587,2020-11-09T07:30:36.068132+03:00,2020-11-10T10:50:17.558953+03:00,1.987,268.0,#008000,Площадь Гарина-Михайловского,"2-комн. квартира, 52.4 м², 14/17 эт.",2020-11-10T07:59:45.154188Z
"Новосибирск, улица Бурденко, 33",19120337,Новосибирский проспект,Resale,3285,2020-07-31T08:43:56.711924Z,"По объекту принят задаток.<br>Полноценная однокомнатная квартира в тихом спокойном месте, в пешей доступности 2 школы, 3 детских сада, промышленный колледж, дом детского творчества, детская школа искусств, центры танцевальной, вокальной и спортивной подготовки для детей и взрослых, магазины и супермаркеты, аптеки и поликлиника. Также в пешей доступности Семейный торговый центр ""МЕГА"", магазин IKEA. Несколько прямых маршрутов общественного транспорта до станции метро ""площадь Маркса"" и в разные районы левобережья. Дом кирпичный, очень теплый, без проблем с коммуникациями. Тихий зеленый дворик, детская площадка, всегда есть свободные парковочные места. Квартира в жилом состоянии, окна на запад, удобная планировка, есть просторная кладовая. Документы готовы к сделке, один взрослый собственник, без обременений, без занижений, без долгов. Возможна покупка как для проживания, так и для сдачи в аренду (хороший спрос). Любые формы расчетов. Торг после осмотра.",32.4 м²,,,,,655.0,2/4,32.4 м²,32.4,2,13,2754964929,Sale,/1-komnatnaya-kvartira-na-prodazhu-novosibirsk-2754964929,267.0,1 650 000 ₽,50 926 ₽ за м²,50926,1650000,Apartment,2020-07-31T08:43:56.711924Z,78,Listing,1,1.0,2020-12-09T07:37:36.633914+03:00,1967885470,2020-07-31T11:29:24.011525+03:00,2020-11-20T05:56:58.952401+03:00,2.367,267.0,#FF0000,Площадь Маркса,"1-комн. квартира, 32.4 м², 2/4 эт.",2020-11-20T03:06:27.745679Z
"Новосибирск, Спортивная улица, 23",80979479,"АН ""ФОРУМ""",Resale,3285,2020-10-09T11:38:22.704598Z,"Современный жилой комплекс,хорошая детская площадка,облогороженная зеленая территория,квартира светлая,теплая.",41 м²,,,,,654.0,5/10,41 м²,41.0,5,2,2918453731,Sale,/1-komnatnaya-kvartira-na-prodazhu-novosibirsk-2918453731,,2 490 000 ₽,60 732 ₽ за м²,60732,2490000,Apartment,2020-10-09T11:38:22.704598Z,78,Listing,1,1.0,2020-12-16T14:39:52.847871+03:00,2005729958,2020-10-09T14:28:59.648834+03:00,2020-11-16T14:45:06.556121+03:00,,,,,"1-комн. квартира, 41 м², 5/10 эт.",2020-11-16T11:55:51.606431Z
"Новосибирск, улица Владимира Высоцкого, 62",177962451,lxlxlxlx,Resale,3285,2020-10-10T12:28:14.09217Z,"Собственник, свидетельство на руках.<br>Продам большую, теплую и уютную 2-х комнатную квартиру с отличным ремонтом, из дорогих импортных материалов! Все делалось для себя:<br>- дорогая качественная входная дверь<br>- межкомнатные двери - эко шпон<br>- импортный дорогой кафель в коридоре, на кухне, в сан узлах (смотреть на фото)<br>- удобная, большая гардеробная<br>- импортные моющиеся обои<br>- немецкий ламинат (33 класс, толщина 12мм)<br>- натяжные потолки, потолочные светильники<br>- чистый, ухоженный подъезд, хорошие соседи<br>- на этаже стоит отсечка на три квартиры<br>Уютный двор:<br>- детские площадки<br>- большое количество парковочных мест<br>Дом находиться в дали от шума дороги, окна выходят на зеленую зону.<br>Очень развитая инфраструктура, рядом остановка, в шаговой доступности:<br>- детские сады<br>- школы<br>- поликлиника<br>- магазины.",76 м²,,,,,650.0,9/10,76 м²,76.0,9,14,2920646130,Sale,/2-komnatnaya-kvartira-na-prodazhu-novosibirsk-2920646130,272.0,3 980 000 ₽,52 368 ₽ за м²,52368,3980000,Apartment,2020-10-10T12:28:14.09217Z,78,Listing,2,2.0,2020-12-09T15:23:55.644857+03:00,2033062182,2020-10-10T15:18:27.011721+03:00,2020-11-09T15:23:55.644857+03:00,3.544,272.0,#008000,Золотая Нива,"2-комн. квартира, 76 м², 9/10 эт.",2020-11-09T12:33:32.627905Z
"1-я Чулымская улица, стр. 15",17367072,"Агентство недвижимости ""Аванта""",New,3285,2020-11-09T05:10:05.294681Z,"Предлагается к продаже квартира от надежного застройщика в ЖК «Vesna»<br>ЖК «Vesna» Новосибирск-жилой комплекс из трех 17-этажных панельных домов в Ленинском районе Новосибирска. Расположение жилого комплекса Vesna позволяет всегда оставаться в центре городских событий. В шаговой доступности находятся остановки общественного транспорта Мост и Лесоперевалка. Вы с легкостью доберетесь до правого берега за 10 минут, также без труда можно добраться до пл. Маркса. Жилой комплекс Vesna -это огороженная территория, детские площадки, наземная парковка. Высота потолков в квартирах-2,74 м. Планировки-от однокомнатных студий до просторных двухкомнатных.<br>ЖК «Vesna» Новосибирск— комплекс с развитой инфраструктурой. Рядом расположены два гипермаркета, множество супермаркетов, детских садов и школ. В пешей доступности с комплексом находится самый большой крытый аквапарк в России — комфортное место для активного отдыха с семьёй и друзьями.<br>Срок строительства первой очереди займет не более 1,5 лет. Материал дома панель плиты с современного завода на немецком оборудовании. Фасад дома будет выполнен из фиброцементной плиты. Фасад вентилируемый.<br>О квартире:<br>Представляем вашему вниманию просторную 1-комнатную квартиру 40,4 м2.<br>В коридоре 4,1 м2.<br>Просторный раздельный санузел.<br>Одна светлая спальня 17,8 м2 с выходом на застекленную лоджию.<br>Эргономичная кухня 12,8 м2, мечта каждой хозяйки и идеальное место для сбора всей семьей.<br>Агентство недвижимости «Аванта» находится по адресу: г. Новосибирск ул. Станиславского, 2/3, офис 201, и открыто для Вас пн-пт с 9.00 до 18.00,<br>Звоните и пишите по объекту с 8.00 до 22.00<br>Почему именно наше агентство:<br>· Мы БЕСПЛАТНО подберем и покажем Вам объект недвижимости в удобное для Вас время.<br>Скидки на ипотеку от банков-партнеров (Сбербанк, ВТБ, Газпромбанк, АИЖК, Россельхозбанк, Открытие, Банк Левобережный, Совкомбанк, Росбанк, Райффайзенбанк, Уральский банк Реконструкции и Развития, Промсвязьбанк и другие), при необходимости, поможем с одобрением, получим кредитное решение, ВОЗМОЖНО БЕЗ ПЕРВОНАЧАЛЬНОГО ВЗНОСА и без подтверждения дохода.<br>· Поможем грамотно воспользоваться средствами федерального материнского капитала, областного материнского капитала (на третьего и последующих детей).<br>Поможем распорядиться средствами материнского(семейного) капитала не дожидаясь исполнения ребенка 3х лет.<br>· Поможем воспользоваться субсидией многодетным семьям на погашение ипотеки (до 450 тыс. рублей — дополнительно к материнскому капиталу, на третьего и последующих детей, родившихся после 01.01.2019 года — до 31.12.2022 года)<br>· Юридическое сопровождение сделки любой сложности<br>· КОНСУЛЬТАЦИИ БЕСПЛАТНО<br>Выбор этажей уточняйте по наличию.<br>Звоните, записывайтесь на экскурсию. А для просмотра всех актуальных объявлений нажмите на синюю кнопку Агентства недвижимости ""Аванта""",40.4 м²,1027595815.0,ЖК VESNA,1027595815.0,ЖК VESNA,654.0,6/17,40.4 м²,40.4,6,4,2991946844,Sale,/1-komnatnaya-kvartira-na-prodazhu-novosibirsk-2991946844,268.0,3 440 000 ₽,85 149 ₽ за м²,85149,3440000,Apartment,2020-11-09T05:10:05.294681Z,78,Listing,1,1.0,2020-12-09T08:01:02.14987+03:00,2013991716,2020-11-09T08:00:36.358532+03:00,2020-11-09T08:01:02.14987+03:00,2.32,263.0,#FF0000,Площадь Ленина,"1-комн. квартира, 40.4 м², 6/17 эт.",2020-11-09T05:10:06.383583Z
