address,agencyId,agencyName,apartmentSaleType,cityId,createdAt,description,details,districtId,floor,floorArea,floorAreaCalculated,floorInt,galleryImagesCount,id,itemType,itemUrl,metroId,price,pricePerArea,pricePerAreaValue,priceValue,propertyType,publishDate,regionId,resultType,rooms,roomsOrdinal,sourceFinishTime,sourceId,sourceStartTime,sourceUpdateTime,station_distance,station_id,station_lineColors,station_name,title,updatedAt
"Новосибирск, Петропавловская улица, 10А",190805468,Агентство недвижимости Жилфонд,Resale,3285,2020-10-22T13:47:49.532804Z,"Ленинский район, г.Новосибирск, ул. Петропавловская.  Отличная  квартира  с хорошим ремонтом, с прекрасной планировкой на две стороны, две лоджии застеклены, окна пластиковые , заменены стояки в квартире, есть счетчики воды. <br>Дом кирпичный, спецпроект. Свое ТСЖ. Летом 2016 года выполнен капитальный ремонт придомовой территории. Оборудована детская площадка. Установлено видеонаблюдение. Вокруг дома уложили свежий асфальт и облагородили парковочные места. <br>Отличное местоположение, до метро всего три остановки. До площади Станиславского 5 минут пешком. Отличная транспортная развязка. По соседству новый микрорайон Чеховской, Геодезическая Академия, Ленинский рынок.прекрасное местоположение, кирпичный дом.<br>Возможен обмен на вашу недвижимость.<br>	<br>	При звонке, пожалуйста, сообщите номер варианта - <br>       JV000200614462",50.7 м²,654.0,3/9,50.7 м²,50.7,3,15,2949071453,Sale,/2-komnatnaya-kvartira-na-prodazhu-novosibirsk-2949071453,267.0,4 150 000 ₽,81 854 ₽ за м²,81854,4150000,Apartment,2020-10-22T13:47:49.532804Z,78,Listing,2,2,2021-01-08T04:29:15.229554+03:00,2042732509,2020-10-22T16:38:23.145439+03:00,2020-12-09T04:29:15.229554+03:00,2.019,267.0,#FF0000,Площадь Маркса,"2-комн. квартира, 50.7 м², 3/9 эт.",2020-12-09T01:38:19.461233Z
"Новосибирск, улица Пермитина, 12",190805468,Агентство недвижимости Жилфонд,Resale,3285,2020-12-09T01:38:16.12761Z,"Ленинский район, г.Новосибирск, ул. Пермитина.  Теплая светлая двухкомнатная квартира возле метро Карла Маркса в кирпичном доме. Удачная планировка- две изолированные комнаты 17,6 кв.м и 11,6 кв.м. Пластиковые окна, балкон застеклен, в ванной кафель.  Дом не газифицирован. <br>Возле дома находится детский сад, рядом школы и торговые центры.<br>Подходит под Ипотеку и Материнский капитал.<br>Возможен обмен на вашу недвижимость.<br>	<br>	При звонке, пожалуйста, сообщите номер варианта - <br>       JV000200612653",43.8 м²,654.0,2/5,43.8 м²,43.8,2,11,3062439607,Sale,/2-komnatnaya-kvartira-na-prodazhu-novosibirsk-3062439607,267.0,3 100 000 ₽,70 776 ₽ за м²,70776,3100000,Apartment,2020-12-09T01:38:16.12761Z,78,Listing,2,2,2021-01-08T04:29:15.401761+03:00,2074460959,2020-12-09T04:28:51.378286+03:00,2020-12-09T04:29:15.401761+03:00,0.888,267.0,#FF0000,Площадь Маркса,"2-комн. квартира, 43.8 м², 2/5 эт.",2020-12-09T01:38:17.920603Z
"Новосибирская область, Новосибирский район, Барышевский сельсовет, садовое товарищество Строитель, Крайняя улица, 125А",190805468,Агентство недвижимости Жилфонд,Resale,3285,2020-10-22T13:47:53.918449Z,"Ленинский район, г.Новосибирск, ул. Горский микрорайон.  ЗАХОДИ и ЖИВИ!! В связи с переездом в другой город продается ТЕПЛАЯ, КРАСИВАЯ и ПРОСТОРНАЯ  2-х студия в кирпичном доме в ЧИСТОЙ ПРОДАЖЕ в ИДЕАЛЬНОМ состоянии! В квартире выполнен ДИЗАЙНЕРСКИЙ, ДОРОГОСТОЯЩИЙ ремонт. Остается МЕБЕЛЬ - встроенные шкафы, кровать, БЫТОВАЯ ТЕХНИКА Siеmеns.,  в ванной установлена джакузи, стиральная машина. Прекрасный вид из окна делает квартиру более привлекательной. Плюсом является наличие подземной парковки в доме, наличие консьержа. Рядом вся необходимая инфраструктура. За счет продуманной перепланировке увеличилась общая площадь квартиры (кухня-гостиная, лоджии утеплены). Быстрый выход на сделку. Никто не проживает. Показы по договоренности. Звоните сейчас! Торг!<br>Возможен обмен на вашу недвижимость.<br>	<br>	При звонке, пожалуйста, сообщите номер варианта - <br>       JV000020064439",70 м²,,13/16,70 м²,70.0,13,20,2949071566,Sale,/2-komnatnaya-kvartira-na-prodazhu-novosibirsk-2949071566,,6 500 000 ₽,92 857 ₽ за м²,92857,6500000,Apartment,2020-10-22T13:47:53.918449Z,78,Listing,2,2,2021-01-08T04:29:20.882752+03:00,2042818590,2020-10-22T16:38:29.110608+03:00,2020-12-09T04:29:20.882752+03:00,,,,,"2-комн. квартира, 70 м², 13/16 эт.",2020-12-09T01:38:25.256995Z
"Новосибирск, улица 9-й Гвардейской Дивизии, 17",128581768,АН СФЕРА,Resale,3285,2020-12-08T09:30:26.577272Z,"Продается  уютная трехкомнатная квартира.<br>Очень удачное расположение дома, школа и детский сад в соседнем дворе, остановки транспотра в 5 минутах ходьбы. ТРК Континент и бульвар Победы. Недалеко природное озеро и пляж, беседки для барбекю.<br>В квартире выполнен косметический ремонт, пластиковые окна и натяжные потолки во всех комнатах, новая кухня. <br>Документы готовы к продаже. Показ по договоренности.",60 м²,654.0,6/9,60 м²,60.0,6,25,3060914820,Sale,/3-komnatnaya-kvartira-na-prodazhu-novosibirsk-3060914820,267.0,3 800 000 ₽,63 333 ₽ за м²,63333,3800000,Apartment,2020-12-08T09:30:26.577272Z,78,Listing,3,3,2021-01-07T12:20:48.185085+03:00,2022453906,2020-12-08T12:20:14.999241+03:00,2020-12-08T12:20:48.185085+03:00,3.369,267.0,#FF0000,Площадь Маркса,"3-комн. квартира, 60 м², 6/9 эт.",2020-12-08T09:31:24.181387Z
"Новосибирск, улица Дуси Ковальчук, 414",21925462,Дмитрий,Resale,3285,2020-12-05T08:00:34.346994Z,"Уютная, светлая двухкомнатная квартира в центральной части города. В шаговой доступности от метро, отличная транспортная развязка в любую сторону. Школы, детские садики, университеты ( СГУПС, НГМУ),  продуктовые магазины, огромный ТЦ ( сдача конец 2021 года), участковая детская и взрослая поликлиника в соседнем доме. Окна квартиры выходят на две стороны и открывают шикарный вид на город.<br>Продаем с наполнением : зал ( комод, зеркало, диван, мебель под tv, кондиционер); кухня (кухонный гарнитур, варочная поверхность, вытяжка, холодильник); прихожая ( большой и очень вместительный шкаф).<br>Лоджия большая, при желании можно утеплить и пользоваться как ещё одним помещением.<br>Торг !!!",51.5 м²,653.0,12/12,51.5 м²,51.5,12,17,3053858809,Sale,/2-komnatnaya-kvartira-na-prodazhu-novosibirsk-3053858809,260.0,4 990 000 ₽,96 893 ₽ за м²,96893,4990000,Apartment,2020-12-05T08:00:34.346994Z,78,Listing,2,2,2021-01-04T10:51:33.32454+03:00,2068120150,2020-12-05T10:51:09.827414+03:00,2020-12-05T11:20:08.700848+03:00,1.362,260.0,#FF0000,Заельцовская,"2-комн. квартира, 51.5 м², 12/12 эт.",2020-12-05T08:29:40.809875Z
"Новосибирская область, Бердск, улица Герцена, 6",155046853,"агентство недвижимости ""Таурт""",Resale,3279,2020-12-06T04:56:19.379564Z,"Отличное месторасположение дома, в самом центре города Бердска, рядом школы №6 ( лицей) и № 7, площадь М.Горького, где проходят все массовые мероприятия города, ж/д вокзал, остановки маршрутного такси. Дом кирпичный, комнаты смежно-изолированные, но есть возможность сделать раздельными. Дверь входная металлическая, двойная. Окна пластиковые, на полу новый линолеум. Окна выходят на две стороны дома. Межкомнатные двери шпонированные.  Санузел раздельный, ванная в кафеле, туалет обшит стеновыми панелями.  В подъезде очень чисто, сделали косметический ремонт. Квартира в собственности более 5 лет. Один взрослый собственник. Можем рассмотреть обмен на Академгородок. Просмотр в удобное для Вас время.",42 м²,,5/5,42 м²,42.0,5,29,3055499055,Sale,/2-komnatnaya-kvartira-na-prodazhu-berdsk-3055499055,,2 300 000 ₽,54 762 ₽ за м²,54762,2300000,Apartment,2020-12-06T04:56:19.379564Z,78,Listing,2,2,2021-01-05T07:47:44.14091+03:00,2051819247,2020-12-06T07:45:58.028006+03:00,2020-12-06T07:47:44.14091+03:00,,,,,"2-комн. квартира, 42 м², 5/5 эт.",2020-12-06T04:56:50.279979Z
"Новосибирск, улица Селезнева, 26/1",173701179,Макромир,Resale,3285,2020-12-08T09:36:55.133057Z,"Продам 1-комнатную квартиру в трех минутах ходьбы от метро ""Березовая Роща"".<br>Квартира идеально подходит для сдачи в аренду.<br>Квартиру можно купить в ипотеку, первым трем позвонившим бесплатная консультация.<br>Запись на просмотр заранее.<br>Звоните!",28.7 м²,651.0,2/9,28.7 м²,28.7,2,14,3060929758,Sale,/1-komnatnaya-kvartira-na-prodazhu-novosibirsk-3060929758,271.0,2 600 000 ₽,90 592 ₽ за м²,90592,2600000,Apartment,2020-12-08T09:36:55.133057Z,78,Listing,1,1,2021-01-07T12:28:16.909865+03:00,2073206038,2020-12-08T11:35:14.12982+03:00,2020-12-08T12:28:16.909865+03:00,0.436,271.0,#008000,Берёзовая роща,"1-комн. квартира, 28.7 м², 2/9 эт.",2020-12-08T09:37:20.663305Z
"Новосибирск, Ленинский район, микрорайон Затон, 2-я Портовая улица, 1",190805468,Агентство недвижимости Жилфонд,Resale,3285,2020-10-22T13:47:58.803901Z,"Ленинский район, г.Новосибирск, ул. Портовая 2-я.  Для большой семьи трехкомнатная квартира в кирпичном доме на среднем этаже, с двумя застекленными лоджиями и с отдельным входом в каждую комнату. Комнаты большие,прямоугольной формы. В коридоре просторная гардеробная. Во всей квартире натяжные потолки. На кухне, в комнате и коридоре на полу положена плитка. В ванной установлена душевая кабина, в туалете дополнительный умывальник. Квартира чистая, аккуратная, полностью готова для проживания. В подарок покупателю остается кухонный гарнитур с встроенной техникой- варочная панель, духовой шкаф, вытяжка, посудомоечная машина, а также три парковочных места на огороженной территории.<br>Возможен обмен на вашу недвижимость.<br>	<br>	При звонке, пожалуйста, сообщите номер варианта - <br>       JV000300616594",76.3 м²,654.0,4/5,76.3 м²,76.3,4,10,2949071710,Sale,/3-komnatnaya-kvartira-na-prodazhu-novosibirsk-2949071710,268.0,4 600 000 ₽,60 288 ₽ за м²,60288,4600000,Apartment,2020-10-22T13:47:58.803901Z,78,Listing,3,3,2021-01-08T04:38:49.949139+03:00,2042403970,2020-10-22T16:38:34.499358+03:00,2020-12-09T04:38:49.949139+03:00,2.509,268.0,#008000,Площадь Гарина-Михайловского,"3-комн. квартира, 76.3 м², 4/5 эт.",2020-12-09T01:47:56.330156Z
"Новосибирск, Ленинский район, микрорайон Горский, 39",190805468,Агентство недвижимости Жилфонд,Resale,3285,2020-12-09T01:50:26.11885Z,"Ленинский район, г.Новосибирск, ул. Горский микрорайон.  В продаже трехкомнатная квартира на ЖМ Горский.  <br>Монолитный дом с просторными квартирами и удобными планировками.<br>Квартира расположена на десятом этаже. Три окна квартиры с видом на реку и правый берег, одно окно выходит во двор. Балкон остеклен вход из кухни. Все три комнаты квадратные с большими площадями. Квартира в отличном состоянии не требет вложений. Окна пластиковые, межкомнатные двери массив дерева, сантехника в полном порядке. Установлен водонагреватель. <br>В квартире остается встроенный кухонный гарнитур с бытовой техникой, шкафы в прихожей. Территория дома огорожена и поставлены шлахбаумы.<br>Уютный двор, парковочных мест достаточно для всех жильцов. Во дворе дома хоккейная коробка, ухоженный сквер с отлично оборудованным детским городком и сценой.<br>Рядом многочисленные супермаркеты и торговые центры, школы, детские сады, медицинские и спортивные учреждения. <br>До метро Студенческая неспешным шагом 15 минут, остановка транспорта Горская в 5-ти минутах.. <br>.<br>Возможен обмен на вашу недвижимость.<br>	<br>	При звонке, пожалуйста, сообщите номер варианта - <br>       JV000300614565",85.4 м²,654.0,10/11,85.4 м²,85.4,10,20,3062443204,Sale,/3-komnatnaya-kvartira-na-prodazhu-novosibirsk-3062443204,266.0,7 200 000 ₽,84 309 ₽ за м²,84309,7200000,Apartment,2020-12-09T01:50:26.11885Z,78,Listing,3,3,2021-01-08T04:41:24.025703+03:00,2074226663,2020-12-09T04:28:53.225778+03:00,2020-12-09T04:41:24.025703+03:00,0.944,266.0,#FF0000,Студенческая,"3-комн. квартира, 85.4 м², 10/11 эт.",2020-12-09T01:50:27.760479Z
"Новосибирск, Троллейная улица, 12",23367994,Компания «ЭТАЖИ»,Resale,3285,2020-08-20T03:30:38.231993Z,"Продается полноценная однокомнатная квартира. С момента сдачи дома, в 2014 году, в квартире никто не проживал. Без ремонта. Поможем оформить ипотеку в Новосибирске на выгодных для Вас условиях: самой низкой процентной ставкой, с лояльными правилами погашения, высоким шансом одобрения заявки. Звоните - проконсультирую по телефону, либо договоримся о личной встрече в офисе.. Номер в базе: 4322380. Район: Ленинский.",41.1 м²,654.0,10/10,41.1 м²,41.1,10,20,2801642521,Sale,/1-komnatnaya-kvartira-na-prodazhu-novosibirsk-2801642521,267.0,2 840 000 ₽,69 100 ₽ за м²,69100,2840000,Apartment,2020-08-20T03:30:38.231993Z,78,Listing,1,1,2021-01-06T13:17:15.223991+03:00,1976741595,2020-08-20T06:21:10.066752+03:00,2020-12-07T13:17:15.223991+03:00,2.511,267.0,#FF0000,Площадь Маркса,"1-комн. квартира, 41.1 м², 10/10 эт.",2020-12-07T10:26:54.06641Z
