address,agencyId,agencyName,apartmentSaleType,cityId,createdAt,description,details,developmentId,developmentName,developmentParentId,developmentParentName,districtId,floor,floorArea,floorAreaCalculated,floorInt,galleryImagesCount,id,itemType,itemUrl,metroId,price,pricePerArea,pricePerAreaValue,priceValue,propertyType,publishDate,regionId,resultType,rooms,roomsOrdinal,sourceFinishTime,sourceId,sourceStartTime,sourceUpdateTime,station_distance,station_id,station_lineColors,station_name,title,updatedAt
,61734665,Агентство недвижимости «НИАН»,New,3285,2020-11-20T09:06:37.329274Z,"СТАРТ ПРОДАЖ !!! Предлагается к продаже уютная 1-комн. квартира-студия, в жилом комплексе ЖК ""Матрешкин двор"". Сдача дома 2кв 2022 года. В квартире предусмотрен качественный ремонт от застройщика. На полу покрытие линолеум, стены - обои, санузел - кафель до потолка, установлена вся сантехника и санфаянс, межкомнатные и входная двери, не требующие замены. Балкон остеклён. На территории жилого комплекса: 2 детский сада, новая школа, поликлиника. Множество магазинов. Эту квартиру вы можете приобрести за наличный расчёт,в ипотеку с гос.поддержкой, с использованием средств материнского капитала. Помощь в получении ипотечного решения! Услуги 0%",22.6 м²,39193.0,ЖК «Матрешкин двор»,39193.0,ЖК «Матрешкин двор»,655.0,4/16,22.6 м²,22.6,4,8,3019852797,Sale,/1-komnatnaya-kvartira-na-prodazhu-novosibirsk-3019852797,,1 649 000 ₽,72 965 ₽ за м²,72965,1649000,Apartment,2020-11-20T09:06:37.329274Z,78,Listing,1,1.0,2020-12-20T11:57:36.524702+03:00,2023513490,2020-11-20T11:57:13.785471+03:00,2020-11-24T06:44:50.875262+03:00,,,,,"1-комн. квартира, 22.6 м², 4/16 эт.",2020-11-24T03:53:51.680097Z
"Новосибирск, Трудовая улица, 25",15299228,инна,Resale,3285,2020-11-18T11:58:59.080288Z,"Тихое место в комфортном удалении от загруженных дорог. Кирпичные стены. Бесшумные лифты. Внутренний двор без машин. Круглосуточная охрана и видеонаблюдение. Подземный двухуровневый паркинг. Кладовое место в подарок.<br>1 км. до метро площадь Ленина, Маршала Покрышкина. Быстрый выезд на Красный проспект, Ипподромскую магистраль, ул Фрунзе. 500 м. до Центрального парка, 250 м. до автобусной остановки ""Театральный институт""",55.5 м²,,,,,649.0,9/18,55.5 м²,55.5,9,19,3015368148,Sale,/2-komnatnaya-kvartira-na-prodazhu-novosibirsk-3015368148,263.0,6 650 000 ₽,119 820 ₽ за м²,119820,6650000,Apartment,2020-11-18T11:58:59.080288Z,78,Listing,2,2.0,2020-12-18T14:49:57.43897+03:00,2042742142,2020-11-18T14:27:18.229872+03:00,2020-11-18T14:49:57.43897+03:00,0.969,263.0,#FF0000,Площадь Ленина,"2-комн. квартира, 55.5 м², 9/18 эт.",2020-11-18T11:59:07.805271Z
"Новосибирск, улица Николая Сотникова, 16",19690459,Александр,Resale,3285,2020-10-22T04:27:21.054848Z,Ипотека подходит. Собственник. Новая квартира ремонт из качественных материалов.,59 м²,,,,,655.0,3/10,59 м²,59.0,3,22,2947685946,Sale,/3-komnatnaya-kvartira-na-prodazhu-novosibirsk-2947685946,,3 500 000 ₽,59 322 ₽ за м²,59322,3500000,Apartment,2020-10-22T04:27:21.054848Z,78,Listing,3,3.0,2020-12-22T05:51:17.136476+03:00,2040938129,2020-10-22T07:18:07.703759+03:00,2020-11-30T13:01:36.257891+03:00,,,,,"3-комн. квартира, 59 м², 3/10 эт.",2020-11-30T10:11:15.349582Z
"Новосибирск, улица Николая Сотникова, 16",261247,Роман Георгиевич,Resale,3285,2019-05-26T16:14:07.971849Z,Квартира со Свидетельством ! Без посредников  !!! <br>Под самоотделку.   Я Собственник квартиры (никаких комиссий и % нет).  Показываю квартиру только в субботу или воскресенье. Торга нет.,59 м²,,,,,655.0,4/10,59 м²,59.0,4,7,1440891581,Sale,/2-komnatnaya-kvartira-na-prodazhu-novosibirsk-1440891581,,3 000 000 ₽,50 847 ₽ за м²,50847,3000000,Apartment,2019-05-26T16:14:07.971849Z,78,Listing,2,2.0,2020-12-23T17:46:43.203689+03:00,1497793460,2019-05-26T19:03:38.459784+03:00,2020-12-08T16:30:43.522504+03:00,,,,,"2-комн. квартира, 59 м², 4/10 эт.",2020-12-08T13:40:12.689408Z
"Новосибирск, улица Краузе, 807",184063293,"Родники, Квартиры - Заходи и живи",New,3285,2020-11-24T10:00:17.688148Z,"Квартира находится в новом проекте ""INFINITY"" от ведущего застройщика города - ООО ""Энергомонтаж"".Квартиры сдаются с отделкой ""ПОД КЛЮЧ"".<br>Наши услуги - 0% !",65.3 м²,,,,,648.0,2/14,65.3 м²,65.3,2,10,3028954632,Sale,/3-komnatnaya-kvartira-na-prodazhu-novosibirsk-3028954632,,4 150 000 ₽,63 553 ₽ за м²,63553,4150000,Apartment,2020-11-24T10:00:17.688148Z,78,Listing,3,3.0,2020-12-24T12:51:10.183511+03:00,2043759534,2020-11-24T12:50:45.478278+03:00,2020-11-24T12:53:23.36825+03:00,,,,,"3-комн. квартира, 65.3 м², 2/14 эт.",2020-11-24T10:03:20.432586Z
"Новосибирск, Колхидская улица, 21",189104498,По дому,Resale,3285,2020-09-24T15:52:06.547881Z,"Большая однокомнатная квартира с выгодным местоположением и стоимостью. Школа, детсад, стадион ""Заря"". Нет проблем с парковкой, что немаловажно. <br>Никаких обременений, ограничений и т.п. Один собственник. Можно в ипотеку. Аргументированный торг.",31 м²,,,,,654.0,2/2,31 м²,31.0,2,4,2886603016,Sale,/1-komnatnaya-kvartira-na-prodazhu-novosibirsk-2886603016,267.0,1 830 000 ₽,59 032 ₽ за м²,59032,1830000,Apartment,2020-09-24T15:52:06.547881Z,78,Listing,1,1.0,2020-12-24T12:56:17.300992+03:00,2000484192,2020-09-24T18:39:27.03466+03:00,2020-12-05T05:34:45.142392+03:00,4.837,267.0,#FF0000,Площадь Маркса,"1-комн. квартира, 31 м², 2/2 эт.",2020-12-05T02:43:45.571961Z
"Новосибирск, улица Кропоткина, 273",152810530,Центральное агентство недвижимости,Resale,3285,2020-11-18T12:13:24.284005Z,"Полноценная однокомнатная квартира в ЖК  Звездный . Дом в рекламе не нуждается: близость к центру, консьерж, видеонаблюдение, подземная парковка. В квартире только что сделан ремонт. Один взрослый собственник. Право отрегистрировано.<br>При звонке, пожалуйста, назовите номер объявления - 65 398<br>Консультируем подробно по телефону.",40 м²,,,,,653.0,8/24,40 м²,40.0,8,13,3015421073,Sale,/1-komnatnaya-kvartira-na-prodazhu-novosibirsk-3015421073,260.0,4 130 000 ₽,103 250 ₽ за м²,103250,4130000,Apartment,2020-11-18T12:13:24.284005Z,78,Listing,1,1.0,2020-12-18T15:04:22.808291+03:00,2015935835,2020-11-18T15:03:36.92845+03:00,2020-12-07T05:23:29.860367+03:00,1.508,260.0,#FF0000,Заельцовская,"1-комн. квартира, 40 м², 8/24 эт.",2020-12-07T02:33:29.314729Z
"Новосибирск, улица Титова, 276",152810530,Центральное агентство недвижимости,Resale,3285,2020-11-18T12:13:33.960887Z,"В продаже двушка студия, планировка на две стороны. Ремонт от застройщика.  Чистая Слобода  - это семейный микрорайон.Рядом с домом вся инфраструктура. Школа, дет. сады, развивающие школы, спортивные секции, стадион  Заря .Наземный транспорт, магазины и ТЦ, планируют построить  Ленту . Приглашаем на просмотры.<br>При звонке, пожалуйста, назовите номер объявления - 71 167<br>Консультируем подробно по телефону.",34 м²,,,,,654.0,1/10,34 м²,34.0,1,12,3015421326,Sale,/kvartira-na-prodazhu-novosibirsk-3015421326,,2 310 000 ₽,67 941 ₽ за м²,67941,2310000,Apartment,2020-11-18T12:13:33.960887Z,78,Listing,Студия,,2020-12-18T15:04:31.753413+03:00,2016799380,2020-11-18T15:03:38.509301+03:00,2020-12-07T05:23:38.407247+03:00,,,,,"Квартира-студия, 34 м², 1/10 эт.",2020-12-07T02:33:45.813737Z
"Новосибирск, улица Татьяны Снежиной, 51",2118241,Алексей,Resale,3285,2020-07-07T01:19:50.195794Z,"В продаже 2-х комнатная квартира на Плющихинском жилмассиве. Балкона нет, требуется косметический ремонт и ремонт сан.узла.  Без обременений.",76 м²,,,,,650.0,9/10,76 м²,76.0,9,9,2699206518,Sale,/2-komnatnaya-kvartira-na-prodazhu-novosibirsk-2699206518,,3 800 000 ₽,50 000 ₽ за м²,50000,3800000,Apartment,2020-07-07T01:19:50.195794Z,78,Listing,2,2.0,2020-12-23T17:56:42.230576+03:00,1951893082,2020-07-06T11:39:18.463057+03:00,2020-11-23T17:56:42.230576+03:00,3.259,272.0,#008000,Золотая Нива,"2-комн. квартира, 76 м², 9/10 эт.",2020-11-23T15:05:45.919058Z
"Новосибирская область, город Болотное, Московская улица, 38",20415229,по обьявлению,Resale,3248,2020-11-23T15:13:31.676456Z,"Уютная, светлая квартира с хорошим новым ремонтом. Один из самых лучших вариантов в г.Болотное.<br>Пишите, пожалуйста, тут в чате приложения.",71.5 м²,,,,,,2/2,71.5 м²,71.5,2,1,3027233774,Sale,/3-komnatnaya-kvartira-na-prodazhu-bolotnoe-3027233774,,2 800 000 ₽,39 161 ₽ за м²,39161,2800000,Apartment,2020-11-23T15:13:31.676456Z,78,Listing,3,3.0,2020-12-23T18:04:29.374611+03:00,2043523832,2020-11-23T18:04:06.959845+03:00,2020-11-23T18:09:03.172328+03:00,,,,,"3-комн. квартира, 71.5 м², 2/2 эт.",2020-11-23T15:18:59.163433Z
