address,agencyId,agencyName,apartmentSaleType,cityId,createdAt,description,details,developmentId,developmentName,developmentParentId,developmentParentName,districtId,floor,floorArea,floorAreaCalculated,floorInt,galleryImagesCount,id,itemType,itemUrl,metroId,price,pricePerArea,pricePerAreaValue,priceValue,propertyType,publishDate,regionId,resultType,roadId,rooms,roomsOrdinal,sourceFinishTime,sourceId,sourceStartTime,sourceUpdateTime,station_distance,station_id,station_lineColors,station_name,title,updatedAt
"Новосибирск, Берёзовая улица, 3",18526757,"Агентство недвижимости ""ЖИЛФОНД""",Resale,3285,2020-06-24T02:07:03.679835Z,"В продаже 5-комн. квартира в первомайском районе по улице Березовая. ОТЛИЧНЫЙ ВАРИАНТ ДЛЯ БОЛЬШОЙ СЕМЬИ. Квартира на 3-ем этаже с удобной планировкой, с большими окнами и застекленным балконом. В квартире частичный ремонт, который требует продолжения по вашему дизайну. <br>Чистый подъезд, новый лифт, порядочные соседи, что не мало важно для проживания. Во дворе детская площадка, дет.сад. В шаговой доступности школы, магазины, аптеки и остановка общественного транспорта.<br>Квартира с хорошим торгом, поэтому ЗВОНИТЕ сейчас, завтра вам могут ответить, что КВАРТИРА ПРОДАНА!.",96.3 м²,,,,,657.0,3/9,96.3 м²,96.3,3,11,2664054219,Sale,/5-komnatnaya-kvartira-na-prodazhu-novosibirsk-2664054219,,4 800 000 ₽,49 844 ₽ за м²,49844,4800000,Apartment,2020-06-24T02:07:03.679835Z,78,Listing,,5,5.0,2020-12-25T11:57:38.122339+03:00,1922959757,2020-06-23T06:03:44.454001+03:00,2020-11-25T11:57:38.122339+03:00,,,,,"5-комн. квартира, 96.3 м², 3/9 эт.",2020-11-25T09:06:43.672204Z
"Новосибирск, улица Молодости, 6",18526757,"Агентство недвижимости ""ЖИЛФОНД""",Resale,3285,2020-08-21T09:27:18.24641Z,"Прекрасный бюджетный вариант 2-комнатной квартиры - ""заходи и живи""!<br>Особенно привлекателен для мамочек с колясками и пожилых людей, так как нет необходимости подниматься по лестницам.<br>Этаж высокий - окна расположены высоко.<br>Квартира чистенькая. Выполнен свежий ремонт. Стены идеально ровные. Новый линолеум. Новая сан.-техника. <br>В подъезде так же выполнен свежий ремонт. Никакой влажности и посторонних запахов нет. <br>Дом и двор ухоженные. Во дворе большая парковка, парковочных мест достаточно. Огромный зеленый двор! Современная большая детская площадка. Есть, специально отведенное, место для выгула собак.<br>Очень удобное расположение дома. В шаговой доступности поликлиника, отделение Сбербанка, аптеки, магазины (в том числе ""Лента"", ""Магнит"" и мн. др. супермаркеты), детские сады, школы, остановки транспорта. <br>В микрорайоне большое количество детских центров развития, спортивных секций. Новый современный спортивный комплекс ""Энергия"". Тренажерные залы. Несколько катков. Очень популярен ДК ""Приморский"" много детских секций, кружков для всех возрастов, различных культурных мероприятий. <br>Главная достопримечательность и любимое место отдыха жителей ОбьГЭСа - береговая зона Обского водохранилища и ПКиО ""У моря Обского"". <br>Пляж и парк так же в шаговой доступности. В парке работают детские карусели, прокат велосипедов летом, зимой прокат лыж и коньков. <br>Один взрослый собственник.",44 м²,,,,,656.0,1/5,44 м²,44.0,1,15,2804843848,Sale,/2-komnatnaya-kvartira-na-prodazhu-novosibirsk-2804843848,,2 150 000 ₽,48 864 ₽ за м²,48864,2150000,Apartment,2020-08-21T09:27:18.24641Z,78,Listing,,2,2.0,2020-12-25T12:05:10.825402+03:00,1987012550,2020-08-21T12:17:35.192689+03:00,2020-11-25T12:05:10.825402+03:00,,,,,"2-комн. квартира, 44 м², 1/5 эт.",2020-11-25T09:14:14.696137Z
"Новосибирская область, Бердск, Речкуновская зона отдыха, 5/2",178246614,Антон,Resale,3279,2020-10-27T15:32:25.223564Z,"Представляю Вашему вниманию просторную двухкомнатную квартиру в живописном месте!<br>Квартира теплая, светлая, с большой кухней и свежим ремонтом. Кабельное телевидение, Интернет. Мебель частично остается.<br>Рядом с домом обустроена зона отдыха: мангал, стол со скамейкой. Прекрасное место для семейного отдыха.<br>Прекрасное место для круглогодичного отдыха: 10 минут ходьбы до пляжа, поход за грибами и ягодой, прогулки на лыжах и т.д.<br>В шаговой доступности курортные отели: Сосновка; Былина и Спартанец.<br>10 минут до остановки общественного транспорта.<br>2 взрослых собственника, подойдет любая форма оплаты.<br>Агентства прошу не беспокоить! <br>Продажа от собственника! ТОРГ! Все вопросы по телефону.",57 м²,,,,,,2/2,57 м²,57.0,2,32,2961758358,Sale,/2-komnatnaya-kvartira-na-prodazhu-berdsk-2961758358,,2 600 000 ₽,45 614 ₽ за м²,45614,2600000,Apartment,2020-10-27T15:32:25.223564Z,78,Listing,,2,2.0,2020-12-26T18:24:31.964249+03:00,2036692407,2020-10-27T18:18:45.214883+03:00,2020-11-26T18:24:31.964249+03:00,,,,,"2-комн. квартира, 57 м², 2/2 эт.",2020-11-26T15:33:35.305982Z
,23367994,Компания «ЭТАЖИ»,New,3285,2020-11-27T07:30:41.657754Z,"СРОЧНО ! К продаже очень удобная по планировке не переразмеренная однокомнатная квартира-студия. В тихом месте, в комфортном удалении от загруженных дорог. Внутренний двор без машин. Круглосуточная охрана и видеонаблюдение. Подземный двухуровневый паркинг. Кладовое место в подарок. Очень развитая инфраструктура, Быстрый выезд на пр-д Энергетиков. Это лучший Вариант для удобного, комфортного и безопасного проживания! Из окна очень красивый вид на город.<br> Доп. описание: санузел раздельный, плита электрическая, пластиковые окна, в доме есть: закрытый двор, ворота, охрана, видеонаблюдение, наземный паркинг, подземный паркинг, гараж во дворе, лифт пассажирский, лифт грузовой, , улучшенная черновая отделка, также имеются: телефон, интернет, кабельное телевидение, счетчики холодной и горячей воды, домофон, железная дверь, , Номер в базе: 4646225. Район: Ленинский",36.5 м²,36449.0,ЖК «Ясный берег»,36449.0,ЖК «Ясный берег»,654.0,4/19,36.5 м²,36.5,4,11,3035669077,Sale,/kvartira-na-prodazhu-novosibirsk-3035669077,268.0,3 180 000 ₽,87 123 ₽ за м²,87123,3180000,Apartment,2020-11-27T07:30:41.657754Z,78,Listing,,Студия,,2020-12-27T10:21:33.787236+03:00,2072863095,2020-11-27T10:21:08.881211+03:00,2020-11-27T10:21:33.787236+03:00,2.37,268.0,#008000,Площадь Гарина-Михайловского,"Квартира-студия, 36.5 м², 4/19 эт.",2020-11-27T07:30:44.61825Z
"Новосибирская область, Карасук, улица Щорса, 158",179058168,Жилфонд Карасук,Resale,3256,2020-11-27T15:40:26.535682Z,"В продаже просторная, уютная, светлая 3-х комнатная квартира с хорошим ремонтом. Подходит для семьи с маленьктми детьми т.к. все комнаты изолированные, а большая (очень большая) прихожая позволит кататься вашим детям на велосипеде. Высокие потолки. Большая кухня 9,3 кв.м.с окнами на юг -  будет любимым местом вашей семьи.<br>Приятным бонусом будет небольшой земельный участок расположенный рядом с домом. Лоджия 6 м. застеклена ПВХ., подойдет для выращивания рассады или уединения главы семейства с ноутбуком. В шаговой доступности магазины, аптека, остановка общественного транспорта. Квартира ждёт своих новых хозяев. Документы готовы к сделке, подходит под ипотеку и материнский капитал. Ждем на просмотр в удобное для Вас время!<br>При звонке, пожалуйста, сообщите номер варианта - <br>       JV000030610015",61.9 м²,,,,,,2/2,61.9 м²,61.9,2,10,3036871747,Sale,/3-komnatnaya-kvartira-na-prodazhu-karasuk-3036871747,,1 550 000 ₽,25 040 ₽ за м²,25040,1550000,Apartment,2020-11-27T15:40:26.535682Z,78,Listing,,3,3.0,2020-12-27T18:31:24.372733+03:00,2038279345,2020-11-27T18:31:01.626083+03:00,2020-12-08T10:28:56.888292+03:00,,,,,"3-комн. квартира, 61.9 м², 2/2 эт.",2020-12-08T07:38:38.08839Z
"Новосибирская область, Бердск, улица Кутузова, 1",32229857,Отдел продаж,Resale,3279,2019-06-25T09:30:55.874328Z," Мы находимся по адресу. Бердск.Комсомольская 6 Б .<br>Квартира находится на 8 этаже.Квартира от застройщика!!! Услуги 0% Кутузовский-это дома в которых все продумано до мелочей для комфорта жителей жителей, начиная от планировки квартиры и заканчивая внешним окружением . С учетом пожелания современных семей спроектирован жилой комплекс. Возможно квартира Вашей мечты ждет Вас именно здесь!!! все квартиры будут готовы к отделке: Ровная стяжка пола,ровные стены,горизонтальная разводка. Лоджии застекленные. Кутузовский расположен в непосредственной близости к объектам инфраструктуры города Бердска..А самое необходимое в шаговой доступности.Рядом центральная улица Ленина Сейчас проходит Акция!!!! Новостройка в центре!!! Осталось ограниченное количество! Дом сдаётся под с/ отделку . купите сейчас???? Или подождёте когда поднимутся цены??? Мы всегда будем рады вам помочь в продаже вашей недвижимости и покупке нового современного жилья . ",31.5 м²,,,,,,8/16,31.5 м²,31.5,8,5,1550428472,Sale,/kvartira-na-prodazhu-berdsk-1550428472,,1 950 000 ₽,61 905 ₽ за м²,61905,1950000,Apartment,2019-06-25T09:30:55.874328Z,78,Listing,,Студия,,2020-12-27T10:27:53.064502+03:00,1759244096,2019-06-25T12:12:38.01071+03:00,2020-11-27T10:28:34.372442+03:00,,,,,"Квартира-студия, 31.5 м², 8/16 эт.",2020-11-27T07:39:52.250879Z
"Новосибирск, Советский район, микрорайон Правые Чёмы, Балтийская улица, 23",187516317,Руслан,Resale,3285,2020-10-28T10:28:34.240639Z,"В продаже светлая, уютная квартира в теплом кирпичном доме.  В экологически чистом районе, в окружении леса. Современный и качественный ремонт, функциональная планировка, высокий этаж и прекрасный вид, просторный подъезд и скоростные лифты, доступные парковочные места, видеонаблюдение и охрана – сделают проживание в этой квартире комфортным и безопасным. Развитая инфраструктура - школы, детсады, салоны красоты, фитнес клуб, сетевые супермаркеты, ТЦ «Балтийский», удобная транспортная развязка – сэкономят время и закроют основные потребности любой семьи.<br>Приобретая этот объект, Вы можете получить финансовые гарантии Центрального агентства недвижимости на полную стоимость объекта.",72.5 м²,,,,,656.0,15/16,72.5 м²,72.5,15,16,2963832903,Sale,/2-komnatnaya-kvartira-na-prodazhu-novosibirsk-2963832903,,6 150 000 ₽,84 828 ₽ за м²,84828,6150000,Apartment,2020-10-28T10:28:34.240639Z,78,Listing,,2,2.0,2020-12-27T18:37:34.78205+03:00,2043862106,2020-10-28T13:17:15.939697+03:00,2020-11-29T15:48:08.811344+03:00,,,,,"2-комн. квартира, 72.5 м², 15/16 эт.",2020-11-29T12:57:32.06595Z
"Новосибирская область, Бердск, улица Карла Маркса, 25",187516317,Руслан,Resale,3279,2020-10-28T12:04:38.448585Z,"В продаже уютная, комфортная и светлая квартира. Выполнен качественный ремонт. Новый линолеум, пластиковые окна, новые алюминивые радиаторы отопления с регулировкой. На кухне есть подпол для хранения запасов на зиму. Кладовка-гладильная. В 2017 г. в доме менялась крыша, трубы канализации, 2021 год- кап ремонт подъездов. Удобное расположение внутри жилого массива, в шаговой доступности остановки, школа, детская поликлиника, парк. Обременений нет. Взрослые собственники. <br>Приобретая этот объект, Вы можете получить финансовые гарантии Центрального агентства недвижимости на полную стоимость объекта.",31.6 м²,,,,,,1/4,31.6 м²,31.6,1,16,2964116193,Sale,/1-komnatnaya-kvartira-na-prodazhu-berdsk-2964116193,,1 600 000 ₽,50 633 ₽ за м²,50633,1600000,Apartment,2020-10-28T12:04:38.448585Z,78,Listing,,1,1.0,2020-12-27T18:39:27.946138+03:00,2043110027,2020-10-28T14:55:07.09816+03:00,2020-11-28T14:02:21.979647+03:00,,,,,"1-комн. квартира, 31.6 м², 1/4 эт.",2020-11-28T11:11:22.713928Z
"Новосибирская область, Черепановский район, рабочий посёлок Посевная, улица Фурманова, 5",118597129,Евгения Тропина[Новикова],Resale,3273,2020-03-15T11:30:36.151345Z,"Породам квартиру. Пластиковые окна , межкомнатные двери , входная дверь евро. Встроенные шкафы купе . участок в подарок. Рядом детский сад . магазины. Торг.",56 м²,,,,,,2/2,56 м²,56.0,2,26,2402975681,Sale,/3-komnatnaya-kvartira-na-prodazhu-posevnaya-2402975681,,1 000 000 ₽,17 857 ₽ за м²,17857,1000000,Apartment,2020-03-15T11:30:36.151345Z,78,Listing,,3,3.0,2020-12-26T18:38:04.190064+03:00,1110010260,2017-07-27T16:32:11+03:00,2020-11-26T18:38:04.190064+03:00,,,,,"3-комн. квартира, 56 м², 2/2 эт.",2020-11-26T15:47:08.218777Z
"Новосибирск, Софийская улица, 1/1",187516317,Руслан,Resale,3285,2020-10-28T11:37:11.518244Z,"Продается элитная квартира. Комфорт и безопасность по доступной цене. Самое выгодное предложение. Теплый кирпичный дом. Охраняемая территория, огражденная воротами с дистанционным управлением и контролируемым въездом/выездом, входом/выходом.  Средний этаж. Высокие потолки.  Огромная кухня-гостиная, три изолированные комнаты, две гардеробные, две лоджии. Современный, качественный ремонт. Экологичные материалы. В квартире просторно, уютно и светло; ощущение свежести, свободы и легкости.   <br>Удобная транспортная развязка. В шаговой доступности рынок, магазины, детский сад, школа, библиотека. Во дворе детская площадка.<br>Приглашаем Вас на просмотр.",124 м²,,,,,656.0,4/9,124 м²,124.0,4,29,2964047247,Sale,/3-komnatnaya-kvartira-na-prodazhu-novosibirsk-2964047247,,7 550 000 ₽,60 887 ₽ за м²,60887,7550000,Apartment,2020-10-28T11:37:11.518244Z,78,Listing,,3,3.0,2020-12-27T18:41:28.124659+03:00,2043590130,2020-10-28T14:26:54.232559+03:00,2020-11-27T18:41:28.124659+03:00,,,,,"3-комн. квартира, 124 м², 4/9 эт.",2020-11-27T15:50:42.994017Z
