address,agencyId,agencyName,apartmentSaleType,cityId,createdAt,description,details,developmentId,developmentName,developmentParentId,developmentParentName,districtId,floor,floorArea,floorAreaCalculated,floorInt,galleryImagesCount,id,itemType,itemUrl,metroId,price,pricePerArea,pricePerAreaValue,priceValue,propertyType,publishDate,regionId,resultType,rooms,roomsOrdinal,sourceFinishTime,sourceId,sourceStartTime,sourceUpdateTime,station_distance,station_id,station_lineColors,station_name,title,updatedAt
"Новосибирск, улица Виктора Шевелёва, 24",23408194,Сергей,New,3285,2020-07-03T00:23:36.156985Z,"Продам 3-комнатную квартиру<br>Новосибирск, Кировский район, ул. Виктора Шевелева, д. 24<br>Просторный ж/м<br>Ориентир — Жм Просторный<br>4 700 000 руб.54 023 руб. м2<br>чистая продажа, ипотека, торг, обмен<br>Площадь<br>Общая площадь:87 м2Жилая:56 м2Кухня:16 м2<br>Детали<br>Год постройки2019<br>ЗастройщикПросторный-Квартал 2, ПЖСК<br>Этаж4<br>Этажность10<br>Материал домаПанель<br>Тип квартирыУлучшенной планировки<br>ПланировкаСвободная<br>СанузелРаздельный<br>Балкон1 балкон<br>Комментарий<br>Продам полноценную 3-х комнатную квартиру с улучшенной планировкой, отличным ремонтом, в динамично развивающемся микрорайоне города. Квартира очень теплая, сделан качественный ремонт, окна выходят на обе стороны дома,изменена планировка квартиры - расширена кухня и сан узел. Ремонт делали для себя: заменена вся проводка , натяжные потолки , на полу в комнатах - ламинат , кухне и прихожей керамогранит, все углы в квартире пропенены, не промерзают, установлены качественные межкомнатные двери! Установлена дорогая сантехника! Проведен интернет, антена, домофон, лифт работает.<br>Местоположение дома очень выгодное в 2х минутах ходьбы от остановки общественного транспорта, рядом новый детский сад на 150 мест, школа, магазины.<br>В 5 минутах езды тц Мега и ЛеруаМерлен, Лента.<br>В микрорайоне планируется строительство больницы и школы.<br>Дом расположен в тихом спальном районе, рядом дендропарк , река Обь.<br>Дом СДАН, возможна продажа в ипотеку, мат капитал.",87 м²,,,,,655.0,4/10,87 м²,87.0,4,16,2685972989,Sale,/3-komnatnaya-kvartira-na-prodazhu-novosibirsk-2685972989,,4 700 000 ₽,54 023 ₽ за м²,54023,4700000,Apartment,2020-07-03T00:23:36.156985Z,78,Listing,3,3.0,2020-12-30T13:31:02.359705+03:00,1952340996,2020-07-02T20:53:03.783294+03:00,2020-11-30T13:31:02.359705+03:00,,,,,"3-комн. квартира, 87 м², 4/10 эт.",2020-11-30T10:45:54.424355Z
"ул. 1-я Чулымская, стр. 13",71368327,Открытый Город,New,3285,2019-02-05T20:41:36.659883Z,"Спешите купить  двухкомнатную студию в доме 13 Города-Парка ""Ясный Берег"" ! Дом сдается в 4 кв 2021 году. Комиссия агенства 0%!<br>Ясный берег это самодостаточный город в городе для комфортной жизни. Жители могут отвести ребенка в сад или к няне на пару часов и заняться творчеством, фитнесом, спортом. Школы, гипермаркеты, аптеки, поликлиники и все развлечения Новосибирска в доступности нескольких минут. Объективно, это отличное место для покупки квартиры, в том числе для всей семьи. Все квартиры от застройщика в городе-парке Ясный берег продаются с высококачественной базовой отделкой. Такая отделка мечта любого дизайнера и новосела, ведь на ее основе легко можно воплотить самые смелые идеи. Все грязные, пыльные и мокрые работы уже позади. Вам остается лишь решить: делать косметический ремонт самостоятельно или купить квартиру сразу с отделкой под ключ. Квартиру можно приобрести за наличный расчет, в ипотеку, в рассрочку, а так же по программе обмена.<br>Помощь в получении ипотечного решения! Звоните прямо сейчас!",41.3 м²,36449.0,ЖК «Ясный берег»,36449.0,ЖК «Ясный берег»,654.0,4/19,41.3 м²,41.3,4,22,259872881,Sale,/2-komnatnaya-kvartira-na-prodazhu-novosibirsk-259872881,268.0,3 860 000 ₽,93 462 ₽ за м²,93462,3860000,Apartment,2019-02-05T20:41:36.659883Z,78,Listing,2,2.0,2020-12-31T10:30:53.760583+03:00,1330580173,2018-11-14T09:40:53.064113+03:00,2020-12-01T10:30:53.760583+03:00,2.418,268.0,#008000,Площадь Гарина-Михайловского,"2-комн. квартира, 41.3 м², 4/19 эт.",2020-12-01T07:40:10.011431Z
"ул. Тульская, стр. 80",107238416,"Отдел продаж Застройщика ""Инвест-плюс""",New,3285,2020-12-03T04:32:10.396324Z,"В продаже отличная квартира по линии метро ( до метро 15 мин пешком)<br>Дом готовится к сдаче, зашла комиссия по приемке. Квартира реальная, к квартире в подарок кладовая. Ни каких дополнительных платежей не требуется, квартира от застройщика. Звоните если остались вопросы)",51 м²,39341.0,ЖК «Тульский»,39341.0,ЖК «Тульский»,655.0,5/12,51 м²,51.0,5,4,3048850134,Sale,/2-komnatnaya-kvartira-na-prodazhu-novosibirsk-3048850134,266.0,3 450 000 ₽,67 647 ₽ за м²,67647,3450000,Apartment,2020-12-03T04:32:10.396324Z,78,Listing,2,2.0,2021-01-02T07:23:09.042601+03:00,2062296992,2020-12-03T07:22:45.991473+03:00,2020-12-03T10:25:54.918759+03:00,1.361,266.0,#FF0000,Студенческая,"2-комн. квартира, 51 м², 5/12 эт.",2020-12-03T07:36:01.066134Z
"микрорайон Академгородок, Советский район, Новосибирск, Шатурская улица, 2/2",33586439,Сергей,Resale,3285,2019-02-05T20:10:29.054758Z,"Дом бизнес-класса Forest Line полностью кирпичный создан по индивидуальному проекту. <br>  Расположен у леса, на первой линии, сдан в 2014г.  <br>  Охраняемая огороженная территория со сторону двора. 2 санузла. Лоджия 6,7 кв.м. со стороны двора. Окна 3 - во двор , 1 окно- на улицу ( на детсад) .<br>  Квартира с черновой отделкой.<br>Развитая инфраструктура, всё в шаговой доступности. Оплата за тепло по индивидуальному счетчику.",104.4 м²,,,,,656.0,2/12,104.4 м²,104.4,2,14,260113680,Sale,/3-komnatnaya-kvartira-na-prodazhu-novosibirsk-260113680,267.0,10 000 000 ₽,95 785 ₽ за м²,95785,10000000,Apartment,2019-02-05T20:10:29.054758Z,78,Listing,3,3.0,2020-12-31T17:53:11.659586+03:00,1036048011,2018-11-21T11:48:15.628076+03:00,2020-12-01T17:53:11.659586+03:00,,,,,"3-комн. квартира, 104.4 м², 2/12 эт.",2020-12-01T15:02:14.814366Z
"Россия, Новосибирск, Рубежная улица, 18",6689745,частное лицо,Resale,3285,2020-10-05T04:42:02.814475Z,"Квартиры студии под самотделку!!! ,Именно студии, не помещения!!!!! Отличный тихий район, недалеко лес, Обь.. магазины, аптеки, школы, дет. сады  Отличная транспортная развязка.<br>Квартиры есть разные. Материал стен кирпич. Звоните, покажу в любое время.Без посредников!!!",27 м²,,,,,655.0,1/3,27 м²,27.0,1,11,2908248992,Sale,/kvartira-na-prodazhu-novosibirsk-2908248992,,1 450 000 ₽,53 704 ₽ за м²,53704,1450000,Apartment,2020-10-05T04:42:02.814475Z,78,Listing,Студия,,2021-01-03T07:35:26.002869+03:00,1999482871,2020-10-05T07:32:40.777234+03:00,2020-12-05T15:51:13.373881+03:00,,,,,"Квартира-студия, 27 м², 1/3 эт.",2020-12-05T13:00:37.454528Z
"ул. Коминтерна, д. 116, 118",17367072,"Агентство недвижимости ""Аванта""",New,3285,2020-10-27T06:12:41.335134Z,"Жилой комплекс «Редфокс» это новый проект, который состоит из семи 14-этажных монолитно-кирпичных домов класса комфорт. Располагается «Редфокс» на улице Коминтерна, в Дзержинском районе города Новосибирска.<br>Местоположение комплекса будет удобно как для автомобилистов, так и для пешеходов. Благодаря выездам через Гусинобродское шоссе, улицу Есенина и проспект Дзержинского, можно без труда выехать в любой район города, а через улицу Никитина быстро добраться до Левого берега через Октябрьский мост. Выбрав маршрут, в соответствии дорожной ситуации, получится легко избежать пробок.<br>В 250 метрах от дома находится остановки общественного наземного транспорта, через которые проходят 11 маршрутов, в числе которых три трамвайных. А всего за 10-15 минут можно доехать до станции метро «Золотая Нива».<br>Район обладает всеми необходимыми объектами инфраструктуры: в пределах одного километра работают детских садов, четыре общеобразовательные школы, через пять остановок находится Новосибирский государственный аграрный университет. Также неподалеку расположились взрослая и детская поликлиники.<br>Жители «Редфокс» смогут побаловать себя большим разнообразием продовольственных, бытовых, текстильных товаров и не только. Ведь в шаговой доступности функционируют такие торговые зоны, как: рынок «Регион», состоящий из 11 павильонов, оптово-розничный торговый центр «Дружба», ТЦ «Невский», ТЦ «Зима», гипермаркет «Лента», ТЦ «Восток», ТЦ «Радуга», супермаркет «Мария-Ра», и другие маленькие магазины.<br>Такое местоположение позволяет не только позволяет быстро делать покупки, не выезжая из своего района, но и становится привлекательным местом для аренды квартир студентам близ лежащего ВУЗа, и не только для них.<br>Облагороженная территория со своим неповторимым стилем, станет любимым местом прогулок и отдыха для всей семьи. Ведь застройщик не просто устанавливает интересные игровые зоны для детей, также во дворе предусмотрены разнообразные спортивные тренажеры для взрослых и подростков, которые будут интересны и эффективны для жителей. Все эти благоустройства будут находиться в гармоничном ландшафтном озеленении и интересных элементов, украшающих двор. И жители могут не беспокоиться за сохранность своего чудесного двора, так как территория огорожена, и находится под видеонаблюдением. А внутри каждого дома предусмотрена работа консьержей.<br>Конечно, комфорт-класс не мыслится без просторных квартир, с широким выбором планировочных решений. Планировки спроектированы таким образом, чтобы была возможность вносить небольшие коррективы для удобного использования пространства. Одним из плюсов являются большие кухни, некоторые из которых можно трансформировать в кухню-столовую или кухню-гостиную, для семейных или дружеских посиделок.<br>Все квартиры сдаются под чистовую отделку, что значительно экономит время и средства, и сократит дистанцию до желанного переезда в уютное семейное гнездышко.<br>Подходит любая форма расчета. Помощь в получении ипотечного решения – бесплатно. Профессиональное юридическое сопровождение сделки.",80.2 м²,86477.0,ЖК «RED FOX» (РЭД ФОКС),86477.0,ЖК «RED FOX» (РЭД ФОКС),651.0,12/14,80.2 м²,80.2,12,19,2960221346,Sale,/4-komnatnaya-kvartira-na-prodazhu-novosibirsk-2960221346,272.0,5 618 000 ₽,70 050 ₽ за м²,70050,5618000,Apartment,2020-10-27T06:12:41.335134Z,78,Listing,4,4.0,2021-01-02T07:35:40.732298+03:00,2014502529,2020-10-27T09:03:16.447265+03:00,2020-12-03T07:36:02.469334+03:00,3.063,272.0,#008000,Золотая Нива,"4-комн. квартира, 80.2 м², 12/14 эт.",2020-12-03T04:45:27.140153Z
"Новосибирск, улица Державина, 5",23367994,Компания «ЭТАЖИ»,Resale,3285,2020-12-02T13:22:21.017845Z,"К покупке предлагает полноценная 2-х комнатная квартира.<br>- Отличное месторасположение;<br>- Кирпичный дом;<br>- Высота потолков 3,3 м;<br>- Хорошая тепло/шумоизоляция. <br>Вся необходимая инфраструктура в шаговой доступности.<br>ТРЦ ""Галерея"", Стадион ""Спартак"", Центральный парк, Центральный рынок, Цирк. <br>Квартира прекрасно подходит для семейного проживания, так и для сдачи в аренду.. Номер в базе: 4879464. Район: Центральный.",60 м²,,,,,649.0,4/5,60 м²,60.0,4,20,3047757570,Sale,/2-komnatnaya-kvartira-na-prodazhu-novosibirsk-3047757570,262.0,4 700 000 ₽,78 333 ₽ за м²,78333,4700000,Apartment,2020-12-02T13:22:21.017845Z,78,Listing,2,2.0,2021-01-01T16:13:18.177564+03:00,2072279054,2020-12-02T16:12:52.385628+03:00,2020-12-02T16:13:18.177564+03:00,0.312,262.0,#FF0000,Красный проспект,"2-комн. квартира, 60 м², 4/5 эт.",2020-12-02T13:22:21.81363Z
"Новосибирская область, Чистоозёрный район, рабочий посёлок Чистоозёрное, Промышленная улица, 4",184332791,Светлана Солдатенко,Resale,3242,2020-11-06T08:46:56.062555Z,"Продаётся 3-комнатная квартира по адресу:ул. Промышленная 14 кв 3,напротив больницы. Капитальный ремонт квартиры-2019 г- натяжные потолки, линолеум, обои, отопление, окна стекло пакеты, лоджия, сантехника, электропроводка, входная дверь, всё новое. 2 земельных участка (водопровод) один под мелочь с яблоней и саженцами напротив квартиры, второй участок за гаражом под картофель и 2этажный гараж во дворе на 2 авто с зоной отдыха, и с двумя кладовыми + балкон, с документами, электричество подведено, построен в 2019 г., своя беседка-песочница для детей. В квартире зимой +25. Стоят счётчики. Продажа в связи с переездом в город. До Ж/Д вокзала и школы 5 мин. Хорошие соседи. Без торга, с продажей не торопимся.",59.8 м²,,,,,,1/2,59.8 м²,59.8,1,28,2985846469,Sale,/3-komnatnaya-kvartira-na-prodazhu-chistoozernoe-2985846469,,1 850 000 ₽,30 936 ₽ за м²,30936,1850000,Apartment,2020-11-06T08:46:56.062555Z,78,Listing,3,3.0,2021-01-05T11:38:43.380455+03:00,2037881098,2020-11-06T11:36:37.283868+03:00,2020-12-06T11:38:43.380455+03:00,,,,,"3-комн. квартира, 59.8 м², 1/2 эт.",2020-12-06T08:57:17.994196Z
"ул. Коминтерна, стр. 1",17367072,"Агентство недвижимости ""Аванта""",New,3285,2020-10-27T06:09:08.352366Z,"Жилой комплекс «Редфокс» это новый проект, который состоит из семи 14-этажных монолитно-кирпичных домов класса комфорт. Располагается «Редфокс» на улице Коминтерна, в Дзержинском районе города Новосибирска.<br>Местоположение комплекса будет удобно как для автомобилистов, так и для пешеходов. Благодаря выездам через Гусинобродское шоссе, улицу Есенина и проспект Дзержинского, можно без труда выехать в любой район города, а через улицу Никитина быстро добраться до Левого берега через Октябрьский мост. Выбрав маршрут, в соответствии дорожной ситуации, получится легко избежать пробок.<br>В 250 метрах от дома находится остановки общественного наземного транспорта, через которые проходят 11 маршрутов, в числе которых три трамвайных. А всего за 10-15 минут можно доехать до станции метро «Золотая Нива».<br>Район обладает всеми необходимыми объектами инфраструктуры: в пределах одного километра работают детских садов, четыре общеобразовательные школы, через пять остановок находится Новосибирский государственный аграрный университет. Также неподалеку расположились взрослая и детская поликлиники.<br>Жители «Редфокс» смогут побаловать себя большим разнообразием продовольственных, бытовых, текстильных товаров и не только. Ведь в шаговой доступности функционируют такие торговые зоны, как: рынок «Регион», состоящий из 11 павильонов, оптово-розничный торговый центр «Дружба», ТЦ «Невский», ТЦ «Зима», гипермаркет «Лента», ТЦ «Восток», ТЦ «Радуга», супермаркет «Мария-Ра», и другие маленькие магазины.<br>Такое местоположение позволяет не только позволяет быстро делать покупки, не выезжая из своего района, но и становится привлекательным местом для аренды квартир студентам близ лежащего ВУЗа, и не только для них.<br>Облагороженная территория со своим неповторимым стилем, станет любимым местом прогулок и отдыха для всей семьи. Ведь застройщик не просто устанавливает интересные игровые зоны для детей, также во дворе предусмотрены разнообразные спортивные тренажеры для взрослых и подростков, которые будут интересны и эффективны для жителей. Все эти благоустройства будут находиться в гармоничном ландшафтном озеленении и интересных элементов, украшающих двор. И жители могут не беспокоиться за сохранность своего чудесного двора, так как территория огорожена, и находится под видеонаблюдением. А внутри каждого дома предусмотрена работа консьержей.<br>Конечно, комфорт-класс не мыслится без просторных квартир, с широким выбором планировочных решений. Планировки спроектированы таким образом, чтобы была возможность вносить небольшие коррективы для удобного использования пространства. Одним из плюсов являются большие кухни, некоторые из которых можно трансформировать в кухню-столовую или кухню-гостиную, для семейных или дружеских посиделок.<br>Все квартиры сдаются под чистовую отделку, что значительно экономит время и средства, и сократит дистанцию до желанного переезда в уютное семейное гнездышко.<br>Подходит любая форма расчета. Помощь в получении ипотечного решения – бесплатно. Профессиональное юридическое сопровождение сделки.",65.5 м²,86477.0,ЖК «RED FOX» (РЭД ФОКС),86477.0,ЖК «RED FOX» (РЭД ФОКС),651.0,10/14,65.5 м²,65.5,10,19,2960217038,Sale,/3-komnatnaya-kvartira-na-prodazhu-novosibirsk-2960217038,272.0,4 144 000 ₽,63 267 ₽ за м²,63267,4144000,Apartment,2020-10-27T06:09:08.352366Z,78,Listing,3,3.0,2021-01-02T07:37:38.341205+03:00,2013955446,2020-10-27T08:59:43.598166+03:00,2020-12-03T07:37:38.341205+03:00,3.067,272.0,#008000,Золотая Нива,"3-комн. квартира, 65.5 м², 10/14 эт.",2020-12-03T04:46:44.31838Z
"ул. Коминтерна, стр. 1",17367072,"Агентство недвижимости ""Аванта""",New,3285,2020-10-27T06:05:54.432522Z,"Жилой комплекс «Редфокс» это новый проект, который состоит из семи 14-этажных монолитно-кирпичных домов класса комфорт. Располагается «Редфокс» на улице Коминтерна, в Дзержинском районе города Новосибирска.<br>Местоположение комплекса будет удобно как для автомобилистов, так и для пешеходов. Благодаря выездам через Гусинобродское шоссе, улицу Есенина и проспект Дзержинского, можно без труда выехать в любой район города, а через улицу Никитина быстро добраться до Левого берега через Октябрьский мост. Выбрав маршрут, в соответствии дорожной ситуации, получится легко избежать пробок.<br>В 250 метрах от дома находится остановки общественного наземного транспорта, через которые проходят 11 маршрутов, в числе которых три трамвайных. А всего за 10-15 минут можно доехать до станции метро «Золотая Нива».<br>Район обладает всеми необходимыми объектами инфраструктуры: в пределах одного километра работают детских садов, четыре общеобразовательные школы, через пять остановок находится Новосибирский государственный аграрный университет. Также неподалеку расположились взрослая и детская поликлиники.<br>Жители «Редфокс» смогут побаловать себя большим разнообразием продовольственных, бытовых, текстильных товаров и не только. Ведь в шаговой доступности функционируют такие торговые зоны, как: рынок «Регион», состоящий из 11 павильонов, оптово-розничный торговый центр «Дружба», ТЦ «Невский», ТЦ «Зима», гипермаркет «Лента», ТЦ «Восток», ТЦ «Радуга», супермаркет «Мария-Ра», и другие маленькие магазины.<br>Такое местоположение позволяет не только позволяет быстро делать покупки, не выезжая из своего района, но и становится привлекательным местом для аренды квартир студентам близ лежащего ВУЗа, и не только для них.<br>Облагороженная территория со своим неповторимым стилем, станет любимым местом прогулок и отдыха для всей семьи. Ведь застройщик не просто устанавливает интересные игровые зоны для детей, также во дворе предусмотрены разнообразные спортивные тренажеры для взрослых и подростков, которые будут интересны и эффективны для жителей. Все эти благоустройства будут находиться в гармоничном ландшафтном озеленении и интересных элементов, украшающих двор. И жители могут не беспокоиться за сохранность своего чудесного двора, так как территория огорожена, и находится под видеонаблюдением. А внутри каждого дома предусмотрена работа консьержей.<br>Конечно, комфорт-класс не мыслится без просторных квартир, с широким выбором планировочных решений. Планировки спроектированы таким образом, чтобы была возможность вносить небольшие коррективы для удобного использования пространства. Одним из плюсов являются большие кухни, некоторые из которых можно трансформировать в кухню-столовую или кухню-гостиную, для семейных или дружеских посиделок.<br>Все квартиры сдаются под чистовую отделку, что значительно экономит время и средства, и сократит дистанцию до желанного переезда в уютное семейное гнездышко.<br>Подходит любая форма расчета. Помощь в получении ипотечного решения – бесплатно. Профессиональное юридическое сопровождение сделки.",45 м²,86477.0,ЖК «RED FOX» (РЭД ФОКС),86477.0,ЖК «RED FOX» (РЭД ФОКС),651.0,10/18,45 м²,45.0,10,19,2960213241,Sale,/2-komnatnaya-kvartira-na-prodazhu-novosibirsk-2960213241,272.0,3 100 000 ₽,68 889 ₽ за м²,68889,3100000,Apartment,2020-10-27T06:05:54.432522Z,78,Listing,2,2.0,2021-01-02T07:38:48.308548+03:00,2014376349,2020-10-27T08:56:27.593412+03:00,2020-12-03T07:38:48.308548+03:00,3.067,272.0,#008000,Золотая Нива,"2-комн. квартира, 45 м², 10/18 эт.",2020-12-03T04:47:53.954982Z
