address,agencyId,agencyName,apartmentSaleType,cityId,createdAt,description,details,developmentId,developmentName,developmentParentId,developmentParentName,districtId,floor,floorArea,floorAreaCalculated,floorInt,galleryImagesCount,id,itemType,itemUrl,metroId,price,pricePerArea,pricePerAreaValue,priceValue,propertyType,publishDate,regionId,resultType,rooms,roomsOrdinal,sourceFinishTime,sourceId,sourceStartTime,sourceUpdateTime,station_distance,station_id,station_lineColors,station_name,title,updatedAt
"Новосибирская область, Искитим, Центральная улица, 20",22560407,ЗЕЛЕНЫЙ КЛИН,Resale,3252,2020-10-23T06:27:50.725837Z,Окна пластиковые,29 м²,,,,,,3/5,29 м²,29.0,3,6,2950479788,Sale,/1-komnatnaya-kvartira-na-prodazhu-iskitim-2950479788,,835 000 ₽,28 793 ₽ за м²,28793,835000,Apartment,2020-10-23T06:27:50.725837Z,78,Listing,1,1.0,2020-12-22T10:29:26.418233+03:00,2037058455,2020-10-23T09:15:36.470235+03:00,2020-11-22T10:29:26.418233+03:00,,,,,"1-комн. квартира, 29 м², 3/5 эт.",2020-11-22T07:38:29.869688Z
"Новосибирск, Владимировская улица, 9",111463081,Марина,Resale,3285,2020-11-17T04:52:50.06757Z,"!  Хорошая квартира, с удачной планировкой !<br>Состояние отличное  - заходи и живи !<br>- качественные натяжные потолки<br>-  пластиковые окна <br>- на стенах декоративная штукатурка <br>- пол утеплён, постелен ламинат<br>- новые батареи, сантехника, электрика<br>Соседи приличные, подъезд чистый.<br>С парковками проблем нет - большая придомовая территория.<br>Рядом с домом остановка общественного транспорта, в семи минутах ходьбы метро Гарина Михайловского.<br>Звоните ! Покажем в удобное для вас время.",56.6 м²,,,,,652.0,1/5,56.6 м²,56.6,1,14,3011659653,Sale,/3-komnatnaya-kvartira-na-prodazhu-novosibirsk-3011659653,268.0,3 650 000 ₽,64 488 ₽ за м²,64488,3650000,Apartment,2020-11-17T04:52:50.06757Z,78,Listing,3,3.0,2020-12-17T07:44:13.00594+03:00,2022945691,2020-11-17T07:40:21.145194+03:00,2020-12-08T09:50:29.240802+03:00,0.503,268.0,#008000,Площадь Гарина-Михайловского,"3-комн. квартира, 56.6 м², 1/5 эт.",2020-12-08T06:59:52.098275Z
"ул. Грибоедова, стр. 1",35388588,"Федерация Недвижимости. Квартира, новостройка",New,3285,2020-11-19T10:26:24.975036Z," Предлагается к продаже трехкомнатная  квартира  с объединенной кухней-гостиной в квартале с урбан-виллами на Никитина.Квартиры в два этажа имеют увеличенную площадь комнат и отличаются разнообразием функций. Можно спланировать пространство для себя и гостей.<br>Квартал расположен на пересечении центральных улиц Декабристов и Никитина. До станции метро «Речной вокзал» — около 20 минут пешком, до улицы Кирова — 5 минут пешком. Невысокая застройка из восьми урбан-вилл с одной доминантой в виде башни окружена парковым пространством. Рядом с кварталом находится школа, университет, детские сады, магазины и отделения банков, остановки общественного транспорта.<br>Особенности квартиры — второй свет в кухне-гостиной и выход на террасу.<br>Данная квартира отличается высокими видовыми характеристиками. Планировочные решения включают дополнительные пространственные особенности: например, собственные гардеробная и душевая в спальне.<br>Успей купить сейчас и сэкономь до 480000 р. Акция действует до 30.11.2020<br>Приглашаем на экскурсию. возможен обмен вашего жилья на новое, даже если оно в ипотеке<br>Полное сопровождение сделки без комиссии<br>Помощь в получении положительного ипотечного решения",207 м²,1004982330.0,Урбан-виллы на «Никитина»,1004982330.0,Урбан-виллы на «Никитина»,650.0,9/9,207 м²,207.0,9,4,3017680764,Sale,/3-komnatnaya-kvartira-na-prodazhu-novosibirsk-3017680764,265.0,15 520 000 ₽,74 976 ₽ за м²,74976,15520000,Apartment,2020-11-19T10:26:24.975036Z,78,Listing,3,3.0,2020-12-19T13:17:23.518469+03:00,2058534276,2020-11-19T13:17:00.906683+03:00,2020-11-19T13:17:23.518469+03:00,1.162,265.0,#FF0000,Речной вокзал,"3-комн. квартира, 207 м², 9/9 эт.",2020-11-19T10:26:27.683492Z
"Новосибирск, улица Кропоткина, 130/6",163831226,Компания Елка МФЦ Недвижимость,Resale,3285,2020-09-22T11:54:18.994376Z,"Арт. 42720803 Дом комфорт класса, сдается под чистовую отделку, установлена качественная входная дверь. Шестой этаж. Отличная планировка, несколько сан. узлов и ванная комната. Дом сдаётся в конце 2020 года. Отличное место детские сады, школы, университеты, медицинские учреждения, магазины, остановка все в шаговой доступности, не далеко станция метро Гагаринская, хорошая транспортная развязка. Ипотека: подходит под ипотеку с государственной поддержкой, 6%. Возможен торг.",104.4 м²,,,,,648.0,6/19,104.4 м²,104.4,6,3,2881183939,Sale,/3-komnatnaya-kvartira-na-prodazhu-novosibirsk-2881183939,270.0,6 000 000 ₽,57 471 ₽ за м²,57471,6000000,Apartment,2020-09-22T11:54:18.994376Z,78,Listing,3,3.0,2020-12-21T16:24:24.240419+03:00,2008542405,2020-09-22T14:44:56.524146+03:00,2020-12-07T13:12:23.059554+03:00,1.618,270.0,#008000,Маршала Покрышкина,"3-комн. квартира, 104.4 м², 6/19 эт.",2020-12-07T10:21:25.135657Z
"ул. 1-я Чулымская, д. 9",61734665,Агентство недвижимости «НИАН»,New,3285,2020-10-21T10:31:57.36156Z,"«Венеция» представляет собой современный жилой комплекс, построенный с помощью новейших передовых технологий в строительстве. Новостройки находятся в живописном месте Ленинского района, на берегу реки Обь. В шаговой доступности  детский сад, школа, а также такие торговые комплексы, как «Лента», «Леруа Мерлен» и «Гигант». Недалеко от жилого комплекса аквапарк. До остановоки 5 минут.",40.7 м²,1009192613.0,ЖК «Венеция-3»,1009192613.0,ЖК «Венеция-3»,654.0,5/17,40.7 м²,40.7,5,3,2946024379,Sale,/1-komnatnaya-kvartira-na-prodazhu-novosibirsk-2946024379,263.0,2 937 000 ₽,72 162 ₽ за м²,72162,2937000,Apartment,2020-10-21T10:31:57.36156Z,78,Listing,1,1.0,2020-12-20T14:20:32.92068+03:00,2023012878,2020-10-21T13:21:55.556866+03:00,2020-11-20T14:20:32.92068+03:00,1.987,268.0,#008000,Площадь Гарина-Михайловского,"1-комн. квартира, 40.7 м², 5/17 эт.",2020-11-20T11:29:41.719287Z
"Новосибирская область, Новосибирский район, посёлок Озёрный, Лиственная улица, 19",23367994,Компания «ЭТАЖИ»,Resale,3285,2020-11-19T10:39:42.282539Z,"Продается просторная квартира в экологически чистом районе города. Вы влюбитесь в это место! Микрорайон Уютный в п.Озерный с трех сторон окружен сосновым бором, никаких многоэтажок и шума. В пешей доступности супермаркет, аптека, остановка общественного транспорта, до центра города 13 км. Чистый воздух и практичность, для комфортного проживания. Квартира расположена на третьем этаже трехэтажного кирпичного дома. Окна с видом на бор. Большая застекленная лоджия. Для счастливых владельцев сейчас в квартире ведется ремонт ""под ключ"" - расставляйте мебель и наслаждайтесь! Звоните сейчас - и добро пожаловать на просмотр!. Номер в базе: 4876640. Район: Озерный п..",62.5 м²,,,,,,3/3,62.5 м²,62.5,3,7,3017724826,Sale,/2-komnatnaya-kvartira-na-prodazhu-novosibirsk-3017724826,,3 900 000 ₽,62 400 ₽ за м²,62400,3900000,Apartment,2020-11-19T10:39:42.282539Z,78,Listing,2,2.0,2020-12-19T13:30:32.062766+03:00,2040036588,2020-11-19T13:10:43.70514+03:00,2020-12-04T10:15:19.117487+03:00,,,,,"2-комн. квартира, 62.5 м², 3/3 эт.",2020-12-04T07:24:59.837331Z
"Новосибирская область, Бердск, Гранитная улица, 18",15252395,Елена Алексеевна,Resale,3279,2020-10-16T09:33:40.859286Z,"Продается квартира-студия в активно развивающемся районе города. Квартира с ремонтом, лоджия застеклена. Собственник 1, подходит под все виды расчета. В шаговой доступности от дома остановка транспорта, магазины, новая школа, детский сад. В квартире остается прихожая, кухонный гарнитур и шкаф-купе.",27.6 м²,,,,,,3/3,27.6 м²,27.6,3,11,2934157801,Sale,/kvartira-na-prodazhu-berdsk-2934157801,,1 650 000 ₽,59 783 ₽ за м²,59783,1650000,Apartment,2020-10-16T09:33:40.859286Z,78,Listing,Студия,,2020-12-17T08:01:41.914561+03:00,2025246197,2020-10-16T12:23:38.567632+03:00,2020-11-17T08:01:41.914561+03:00,,,,,"Квартира-студия, 27.6 м², 3/3 эт.",2020-11-17T05:10:45.294481Z
"Новосибирск, улица Олеко Дундича, 23",152810530,Центральное агентство недвижимости,Resale,3285,2020-10-20T02:24:37.722885Z,"Продается просторная, теплая квартира для дружной семьи.   Для комфортного проживания в шаговой доступности: транспортная остановка, детские сады, школы, детская поликлиника, аптеки, множество магазинов, микрорынок, развивающие кружки и спортивные секции, Сосновый бор и аквапарк Лидер-Ленд. Двор с детскими площадками. Много парковочных мест.<br>При покупки квартиры в нашем агентстве, покупатель получает сертификат о полной материальной   ответственности. Подходит под любые виды расчета. Рассмотрим любые варианты.  <br>При звонке, пожалуйста, назовите номер объявления - 81 939<br>Консультируем подробно по телефону.",70.5 м²,,,,,648.0,2/9,70.5 м²,70.5,2,1,2942482354,Sale,/4-komnatnaya-kvartira-na-prodazhu-novosibirsk-2942482354,271.0,4 500 000 ₽,63 830 ₽ за м²,63830,4500000,Apartment,2020-10-20T02:24:37.722885Z,78,Listing,4,4.0,2020-12-19T05:31:05.380195+03:00,2016529145,2020-10-20T05:11:22.879204+03:00,2020-12-07T05:23:49.759081+03:00,3.782,271.0,#008000,Берёзовая роща,"4-комн. квартира, 70.5 м², 2/9 эт.",2020-12-07T02:33:51.022413Z
"Новосибирская область, Бердск, Кристальная улица, 7",15252395,Елена Алексеевна,Resale,3279,2020-10-16T09:04:11.456187Z,"Продается квартира в активно развивающемся районе города. В шаговой доступности остановка транспорта, магазины, школа и детский сад. Квартира теплая, светлая, две больших лоджии на всю квартиру с двумя выходами: из кухни и спальни, обе застеклены пластиковыми окнами. Комнаты изолированные. Собственник один.",50.4 м²,,,,,,3/3,50.4 м²,50.4,3,11,2934060194,Sale,/2-komnatnaya-kvartira-na-prodazhu-berdsk-2934060194,,2 750 000 ₽,54 563 ₽ за м²,54563,2750000,Apartment,2020-10-16T09:04:11.456187Z,78,Listing,2,2.0,2020-12-17T08:02:26.751777+03:00,2025592017,2020-10-16T11:54:26.132074+03:00,2020-11-17T08:02:26.751777+03:00,,,,,"2-комн. квартира, 50.4 м², 3/3 эт.",2020-11-17T05:11:30.075373Z
Новосибирская область,182707504,Андрей Кротов,Resale,3267,2020-05-24T01:09:46.678811Z,"Новосибирская обл, Сузунский район, с. Заковряжино. Квартира находится в центре, рядом-садик,больница, клуб,школа,магазины,почта,сбербанк,вокруг села есть пять прудов, отличные места для рыбалки и отдыха, район находится 42км от села,есть подвал, участок 3 сотки, могу предоставить онлайн просмотр.",48 м²,,,,,,1/1,48 м²,48.0,1,4,2582407966,Sale,/2-komnatnaya-kvartira-na-prodazhu-ubinskoe-2582407966,,500 000 ₽,10 417 ₽ за м²,10417,500000,Apartment,2020-05-24T01:09:46.678811Z,78,Listing,2,2.0,2020-12-23T06:04:41.86365+03:00,1934420713,2020-05-23T03:29:01.942193+03:00,2020-11-23T06:04:41.86365+03:00,,,,,"2-комн. квартира, 48 м², 1/1 эт.",2020-11-23T03:13:47.820423Z
"Новосибирская область, Кочковский район, село Новоцелинное",180437046,Светлана Щуклецова,Resale,3245,2020-10-20T12:24:03.138572Z,"продам 3х комнатную квартиру . чистая и светлая , теплая. печное отопление, школа , детский сад в 5 мин. ходьбы, имеется не большая пристройка под уголь дрова, дрова на зиму заготовлены.  одыкватные соседи. возможно под мат. капитал имеется участок под огород.",51 м²,,,,,,2/2,51 м²,51.0,2,9,2943675178,Sale,/3-komnatnaya-kvartira-na-prodazhu-kochki-2943675178,,400 000 ₽,7 843 ₽ за м²,7843,400000,Apartment,2020-10-20T12:24:03.138572Z,78,Listing,3,3.0,2020-12-23T06:06:51.350839+03:00,2036291682,2020-10-20T15:14:38.32809+03:00,2020-11-23T06:06:51.350839+03:00,,,,,"3-комн. квартира, 51 м², 2/2 эт.",2020-11-23T03:15:55.288742Z
