address,agencyId,agencyName,apartmentSaleType,cityId,createdAt,description,details,developmentId,developmentName,developmentParentId,developmentParentName,districtId,floor,floorArea,floorAreaCalculated,floorInt,galleryImagesCount,id,itemType,itemUrl,metroId,price,pricePerArea,pricePerAreaValue,priceValue,propertyType,publishDate,regionId,resultType,rooms,roomsOrdinal,sourceFinishTime,sourceId,sourceStartTime,sourceUpdateTime,station_distance,station_id,station_lineColors,station_name,title,updatedAt
"Новосибирск, Бронная улица, 30/2",28582264,РК  «Риэлт–Мастер»,Resale,3285,2020-12-07T19:09:27.063816Z,"Продам  однокомнатную-студию с балконом! Квартира расположена в новом , молодежном , бурно развивающемся микрорайоне! Продажа по переуступке, но этим и интересно данное предложение, потому-что скоро будет право собственности и цена существенно увеличится! Возможен жилищный кредит  с процентной ставкой от 9,65%, звоните! Услуги для покупателя 0%",39 м²,,,,,655.0,10/10,39 м²,39.0,10,8,3059727634,Sale,/1-komnatnaya-kvartira-na-prodazhu-novosibirsk-3059727634,,1 980 000 ₽,50 769 ₽ за м²,50769,1980000,Apartment,2020-12-07T19:09:27.063816Z,78,Listing,1,1.0,2021-01-06T22:00:26.57453+03:00,2070583878,2020-12-07T22:00:03.434209+03:00,2020-12-07T22:00:26.57453+03:00,,,,,"1-комн. квартира, 39 м², 10/10 эт.",2020-12-07T19:09:29.542861Z
"ул. Тульская, стр. 82",107238416,"Отдел продаж Застройщика ""Инвест-плюс""",New,3285,2020-11-07T06:23:12.026172Z,"Квартира подходит под все виды расчета, ипотека 5%<br>Цена по акции, звоните все расскажу)<br>Кладовая в подарок!",73 м²,39341.0,ЖК «Тульский»,39341.0,ЖК «Тульский»,655.0,1/17,73 м²,73.0,1,5,2987908541,Sale,/2-komnatnaya-kvartira-na-prodazhu-novosibirsk-2987908541,266.0,4 000 000 ₽,54 795 ₽ за м²,54795,4000000,Apartment,2020-11-07T06:23:12.026172Z,78,Listing,2,2.0,2021-01-06T12:38:57.202981+03:00,2030428236,2020-11-07T09:13:48.603579+03:00,2020-12-07T12:38:57.202981+03:00,1.427,266.0,#FF0000,Студенческая,"2-комн. квартира, 73 м², 1/17 эт.",2020-12-07T09:48:37.333193Z
"Новосибирск, улица Петухова, 95/4",61734665,Агентство недвижимости «НИАН»,Resale,3285,2020-12-04T04:26:35.731512Z,"«Матрешкин Двор» — самый крупномасштабный проект компании «ВИРА-Строй». Вы можете стать обладателем комфортного, вместительного жилья в экологически чистом районе Новосибирска.  ЖК ""Матрешкин двор"" находится на ул. Петухова. Комплекс постоянно растет и развивается вместе со своими жителями. Все квартиры сдаются с отделкой под ключ из качественных материалов. Используются современные: теплоизоляция (что важно для сибирских морозов)и приятный внешний вид (на фасадах — красочная «матрешечная» арт-графика). В каждом дворе вместительные автопарковки, игровые и спортивные зоны. Все благоустройство направлено на создание эстетичного внешнего вида придомовой территории, уютной и дружелюбной атмосферы. В радиусе 1 км расположены супермаркеты, салоны красоты, детские развлекательные центры. В 1 минуте ходьбы — автобусная остановка маршрутов 12, 25, 29, 29а, 57.  До центра города — 20 минут на автомобиле. Более подробная информация по телефону.",22.6 м²,,,,,655.0,4/16,22.6 м²,22.6,4,2,3051399571,Sale,/1-komnatnaya-kvartira-na-prodazhu-novosibirsk-3051399571,,1 649 000 ₽,72 965 ₽ за м²,72965,1649000,Apartment,2020-12-04T04:26:35.731512Z,78,Listing,1,1.0,2021-01-03T07:17:31.570562+03:00,2054924256,2020-12-04T07:17:08.271887+03:00,2020-12-04T07:17:31.570562+03:00,,,,,"1-комн. квартира, 22.6 м², 4/16 эт.",2020-12-04T04:26:38.4425Z
"Новосибирск, Фасадная улица, 27",61734665,Агентство недвижимости «НИАН»,Resale,3285,2020-10-06T12:29:56.882796Z,"Квартира продаётся на западном ж\м. остановка МНТК микрохирургия глаза. Во дворе детский садик , рядом Троицкий сквер, до метро 20 минут на транспорте. Квартира не угловая , тёплая. Один собственник . Обременений нет.",44 м²,,,,,654.0,3/5,44 м²,44.0,3,2,2911567682,Sale,/2-komnatnaya-kvartira-na-prodazhu-novosibirsk-2911567682,267.0,2 500 000 ₽,56 818 ₽ за м²,56818,2500000,Apartment,2020-10-06T12:29:56.882796Z,78,Listing,2,2.0,2021-01-04T16:13:03.385477+03:00,1991686851,2020-10-06T15:20:32.672355+03:00,2020-12-05T16:13:03.385477+03:00,4.696,267.0,#FF0000,Площадь Маркса,"2-комн. квартира, 44 м², 3/5 эт.",2020-12-05T13:22:36.726038Z
"ул. 1-я Чулымская, д. 9",176123877,"ООО ""Новосибирскстрой-Недвижимость+""",New,3285,2020-10-08T07:09:30.001493Z,"Продается 2-комнатная квартира, в строящемся доме, срок сдачи: III-кв. 2022, общей площадью 45.00 кв.м., на 4 этаже. Жилой комплекс Венеция - это часть масштабного проекта по застройке территории левого берега между Железнодорожным и Димитровским мостами. Новосибирск обретет собственную парковую зону с обустроенной набережной. Сочетание глади воды и зелени парка делает комплекс поистине желанным для его жителей. Прямой выезд на Димитровский мост позволяет за 5 минут доехать до площади Ленина и за 7 минут - до площади Маркса. За 5-7 минут можно доехать до театров и кинотеатра. Совсем рядом располагаются гипермаркеты, магазины формата ""У дома"". Строительный гипермаркет станет незаменимым помощником при воплощении дизайнерских фантазий в отделке и обустройстве интерьера. 400 метров от самого крупного аквапарка России. Жилой комплекс расположен в живописном месте на левом берегу Оби, дома ориентированы на набережную, а из окон квартир открывается великолепный пейзаж на реку и огни города. Для детей предусмотрены надежные и безопасные игровые комплексы, как для самых маленьких, так и для подростков. Для взрослых - отдельная площадка для отдыха и занятий спортом на свежем воздухе. Внутри жилого комплекса будут выполнены ландшафтные работы по озеленению территории с установкой фонтана в центральной части прогулочной зоны. Территория ЖК предусматривает внешнее ограждение, которое снабжено шлагбаумом и калитками, защищающими въезды и входы. Концепцией безопасности ЖК предусмотрено круглосуточное видеонаблюдение на территории комплекса. Большую часть придомовой территории охватывают внешние видеокамеры, установленные на фасадах зданий. Калитки на пешеходных проходах будут оборудованы домофонными ключами. ЦЕНА ЗАСТРОЙЩИКА. БЕЗ КОМИССИИ И ПЕРЕПЛАТ. ПОЛНОЕ ЮРИДИЧЕСКОЕ СОПРОВОЖДЕНИЕ СДЕЛКИ И ПОЛУЧЕНИЕ ИПОТЕЧНОГО РЕШЕНИЯ.",45 м²,1009192613.0,ЖК «Венеция-3»,1009192613.0,ЖК «Венеция-3»,654.0,4/17,45 м²,45.0,4,1,2915488851,Sale,/2-komnatnaya-kvartira-na-prodazhu-novosibirsk-2915488851,263.0,3 120 000 ₽,69 333 ₽ за м²,69333,3120000,Apartment,2020-10-08T07:09:30.001493Z,78,Listing,2,2.0,2021-01-07T07:46:30.570198+03:00,1987108872,2020-10-08T10:00:03.238949+03:00,2020-12-08T07:46:30.570198+03:00,1.987,268.0,#008000,Площадь Гарина-Михайловского,"2-комн. квартира, 45 м², 4/17 эт.",2020-12-08T04:55:33.183979Z
"Новосибирск, Спортивная улица, 29",122634585,Академия Недвижимости,Resale,3285,2020-12-01T09:52:25.362639Z,"Без комиссии агентству! На сделку хоть завтра,документы готовы! Ключи на руках, отдадим в день сделки! Без обременения и маткапитала!<br>Студия в Чистой слободе с отделкой под ключ -пластиковые окна, обои, застеленная лоджия (без люка), кафель в ванной, сантехника,хорошая входная дверь, счетчики! Восточная сторона!Остановка маршрутки прямо рядом с домом!<br>Чистая слобода -это новый крупный жилой комплекса на левом берегу в Ленинском районе Новосибирска в 15 минутах от метро пл. Маркса! Инфраструктура сильно развита-несколько школ, детские сады, спортивный комплекс Заря , супермаркеты, детские площадки, дворец культуры, парк.",22 м²,,,,,654.0,2/9,22 м²,22.0,2,23,3044747614,Sale,/kvartira-na-prodazhu-novosibirsk-3044747614,,1 650 000 ₽,75 000 ₽ за м²,75000,1650000,Apartment,2020-12-01T09:52:25.362639Z,78,Listing,Студия,,2020-12-31T12:43:13.408536+03:00,2071253716,2020-12-01T12:42:40.733754+03:00,2020-12-03T04:26:25.67096+03:00,,,,,"Квартира-студия, 22 м², 2/9 эт.",2020-12-03T01:35:56.346121Z
"Новосибирск, Нижегородская улица, 24/1",45473436,«Город 54»  Агентство Недвижимости,Resale,3285,2020-12-07T19:26:14.209517Z,"Предлагается к продаже просторная, свтелая однокомнатная студия в хорошем состоянии. С мебелью и бытовой техникой. Подходит ,как для проживания, так и для сдачи в аренду. Развитая инфраструктура рядом  дет. садик, школа, остановка общественного транспорта, в пешей доступности 2 станции метро Речной вокзал и метро Откябрьская. Отличная транспортная развязка.",30 м²,,,,,650.0,14/14,30 м²,30.0,14,0,3059750963,Sale,/1-komnatnaya-kvartira-na-prodazhu-novosibirsk-3059750963,265.0,3 400 000 ₽,113 333 ₽ за м²,113333,3400000,Apartment,2020-12-07T19:26:14.209517Z,78,Listing,1,1.0,2021-01-06T22:17:08.998313+03:00,2073977938,2020-12-07T22:16:48.482727+03:00,2020-12-07T22:17:08.998313+03:00,0.699,265.0,#FF0000,Речной вокзал,"1-комн. квартира, 30 м², 14/14 эт.",2020-12-07T19:26:15.916936Z
"Новосибирск, Гурьевская улица, 31",45473436,«Город 54»  Агентство Недвижимости,Resale,3285,2020-12-07T19:26:15.199148Z,"Предлагается к продаже свтелая, теплая однокомнатная квартира. Требуется ремонт. Развитая инфраструктура рядом две школы, дет. садик, магазин, станция метро Речной вокзал, остановка общественного транспорта. Отличная транспортная развязка.",35 м²,,,,,650.0,4/5,35 м²,35.0,4,0,3059751029,Sale,/1-komnatnaya-kvartira-na-prodazhu-novosibirsk-3059751029,265.0,2 730 000 ₽,78 000 ₽ за м²,78000,2730000,Apartment,2020-12-07T19:26:15.199148Z,78,Listing,1,1.0,2021-01-06T22:17:09.47361+03:00,2074279610,2020-12-07T22:16:48.485469+03:00,2020-12-07T22:17:09.47361+03:00,0.475,265.0,#FF0000,Речной вокзал,"1-комн. квартира, 35 м², 4/5 эт.",2020-12-07T19:26:19.038498Z
"Новосибирская область, Искитим, микрорайон Индустриальный, 37",7265582,"А.Н."" Квартал"".",Resale,3252,2020-10-01T07:56:53.269591Z,"Продам двухкомнатную квартиру в панельном доме Индустриального микрорайона. Квартира в хорошем состояние, окна ПВХ, лоджия застеклена. Площадь квартиры 56,4 кв.м. Дом элитного класса. В шаговой доступности, школа, дед. сад, магазины, остановка. Соседи тихие. Двор ухоженный.",56.4 м²,,,,,,9/10,56.4 м²,56.4,9,11,2900586716,Sale,/2-komnatnaya-kvartira-na-prodazhu-iskitim-2900586716,,2 680 000 ₽,47 518 ₽ за м²,47518,2680000,Apartment,2020-10-01T07:56:53.269591Z,78,Listing,2,2.0,2021-01-03T07:38:25.006275+03:00,1995989426,2020-10-01T10:47:27.597282+03:00,2020-12-04T07:39:15.599789+03:00,,,,,"2-комн. квартира, 56.4 м², 9/10 эт.",2020-12-04T04:48:41.014254Z
"Новосибирская область, Бердск, улица Ленина, 19",44299719,Надя,Resale,3279,2020-08-02T15:42:29.376489Z,"продадим 3х комнатную квартиру в центральной части города на первом этаже  ( с возможностью перевода в не жилое помещение) .Очень хорошо подойдёт под небольшой магазинчик или салон красоты, офис ...( в  этом же доме расположена парикмахерская ) . Дом двухэтажный , высота потолков 3,15   метра . Окна выходят на улицу Ленина , рядом есть парковочное место . <br>Также по плану на 2020-2022 годы будет производиться капитальный ремонт горячего и холодного водоснабжения,  канализации и водоотведения,  теплоснабжения,  ремонт крыши,  ремонт подвальных  помещений , относящихся к общему имуществу в многоквартирном доме . Всего в доме 8 квартир , одна из которых выкуплена под парикмахерскую. Цена 5 000 000 млн рублей. ( 2 собственника)",64 м²,,,,,,1/2,64 м²,64.0,1,4,2759994653,Sale,/3-komnatnaya-kvartira-na-prodazhu-berdsk-2759994653,,5 000 000 ₽,78 125 ₽ за м²,78125,5000000,Apartment,2020-08-02T15:42:29.376489Z,78,Listing,3,3.0,2021-01-01T17:33:03.344125+03:00,1957680872,2020-08-02T18:33:00.318598+03:00,2020-12-02T17:33:03.344125+03:00,,,,,"3-комн. квартира, 64 м², 1/2 эт.",2020-12-02T14:42:09.154709Z
