address,agencyId,agencyName,apartmentSaleType,cityId,createdAt,description,details,developmentId,developmentName,developmentParentId,developmentParentName,districtId,floor,floorArea,floorAreaCalculated,floorInt,galleryImagesCount,id,itemType,itemUrl,metroId,price,pricePerArea,pricePerAreaValue,priceValue,propertyType,publishDate,regionId,resultType,rooms,roomsOrdinal,sourceFinishTime,sourceId,sourceStartTime,sourceUpdateTime,station_distance,station_id,station_lineColors,station_name,title,updatedAt
"Новосибирск, Хилокская улица, 3/2",80612633,Влад,Resale,3285,2019-08-06T00:51:59.034838Z,"Квартира двух этажная, располагается на 5-6 этаж.(комнаты, две по 18 м/кв, одна 11 м/кв) Состояние хорошее. Вся водоподводка металопластик. На пятом этаже требуется косметический ремонт. На шестом этаже сделан ремонт в позапрошлом году. Есть гардеробная. Возможна продажа в ипотеку, мат. капитал.Имеется две лоджии, на кухне и в маленькой комнате над кухней. На пятом и шестом этаже два совмещенных санузла. Рядом детский сад и школа (цена актуальна пока не продан интересующий меня вариант) Риелторам обращаться с реальными предложениями о просмотре, покупке.(лучше пишите, так быстрей отвечу)",88.6 м²,,,,,654.0,5/6,88.6 м²,88.6,5,20,1683778914,Sale,/3-komnatnaya-kvartira-na-prodazhu-novosibirsk-1683778914,267.0,2 990 000 ₽,33 747 ₽ за м²,33747,2990000,Apartment,2019-08-06T00:51:59.034838Z,78,Listing,3,3.0,2020-12-22T14:27:54.463152+03:00,1782996347,2019-08-05T15:24:31.901686+03:00,2020-12-08T16:05:07.015422+03:00,,,,,"3-комн. квартира, 88.6 м², 5/6 эт.",2020-12-08T13:14:32.565581Z
"Новосибирск, улица Ключ-Камышенское Плато",23367994,Компания «ЭТАЖИ»,Resale,3285,2020-11-23T02:33:56.257543Z,"Продается полноценная просторная, уютная 1к квартира с хорошим ремонтом. Рядом с домом красивый сосновый бор, горнолыжный комплекс Иня,новая современная школа, 2 детских сада, планетарий, аптеки, спортивный комплекс Спарта. Большое количество транспорта, маршрутки, автобусы. Красивый ухоженный двор, большая парковка. Квартира очень теплая. Звоните!!!. Номер в базе: 4994542. Район: Октябрьский.",38 м²,,,,,650.0,1/10,38 м²,38.0,1,17,3025627540,Sale,/1-komnatnaya-kvartira-na-prodazhu-novosibirsk-3025627540,,2 750 000 ₽,72 368 ₽ за м²,72368,2750000,Apartment,2020-11-23T02:33:56.257543Z,78,Listing,1,1.0,2020-12-23T05:24:54.239851+03:00,2040184173,2020-11-23T05:24:26.137067+03:00,2020-12-08T10:11:49.538522+03:00,,,,,"1-комн. квартира, 38 м², 1/10 эт.",2020-12-08T07:21:52.467902Z
"Новосибирск, улица Бориса Богаткова, 200",61734665,Агентство недвижимости «НИАН»,Resale,3285,2020-09-23T03:04:40.253764Z,"Продается 2-комнатная квартира. Два взрослых собственника. В шаговой доступности: детские сады, гимназия №11, школы № 167, 186 и 11, поликлиника, банк, магазины, торговые центры и т.д. Отличная транспортная развязка. До метро Золотая нива 5 минут пешком. Подходят любые формы расчета.",43 м²,,,,,650.0,9/9,43 м²,43.0,9,25,2882428494,Sale,/2-komnatnaya-kvartira-na-prodazhu-novosibirsk-2882428494,272.0,3 430 000 ₽,79 767 ₽ за м²,79767,3430000,Apartment,2020-09-23T03:04:40.253764Z,78,Listing,2,2.0,2020-12-22T07:15:42.1426+03:00,1990927843,2020-09-23T05:55:13.233903+03:00,2020-12-07T06:17:52.03695+03:00,0.598,272.0,#008000,Золотая Нива,"2-комн. квартира, 43 м², 9/9 эт.",2020-12-07T03:27:26.715938Z
"ул. Большевистская, стр. 39",162753784,"Микрорайон «Европейский берег», застройщик Брусника",New,3285,2020-07-23T12:07:52.399945Z,"Квартира с объединенной кухней-гостиной и двумя спальнями в микрорайоне «Европейский Берег». <br>                  ОБЪЯВЛЕНИЕ ОТ ЗАСТРОЙЩИКА<br>Квартиру можно купить онлайн.<br>Двухкомнатная квартира в ЖК «Европейский Берег» в 15 минутах от метро «Речной вокзал» — это квартира с объединённой кухней-гостиной и двумя спальнями. В продаже в «Европейском Береге» есть варианты 2-комнатных квартир с террасами, тёплыми лоджиями и балконами. В квартирах также спроектированы дополнительные помещения — гардеробные или ниши под хранение, второй санузел, постирочная. Есть особенные квартиры увеличенной площади с несколькими французскими балконами и большой террасой. Купить двухкомнатную квартиру в Октябрьском районе Новосибирска выгодно напрямую от застройщика «Брусника. Сибакадемстрой».<br>На сдаче в 2-комнатных от застройщика «Брусника. Сибакадемстрой» выполнена отделка под чистовую. Установлена надёжная сейф-дверь. В каждой квартире — приборы учёта, радиаторы, розетки и выключатели, разводка отопления и электрики. Стены в студиях оштукатурены. Пол готов к финишному покрытию — ламинату, линолеуму, плитке.<br>ЖК «Европейский Берег» расположен на берегу Оби, между двумя мостами — Коммунальным и Бугринским, 15 минут на автомобиле по улице Большевистской до метро «Речной вокзал». В «Европейском Береге» построено 22 дома и проживает 5 000 семей. Внутри микрорайона расположен детский сад на 320 мест, открыты магазины, аптеки, кафе. Предусмотрено место под строительство школы и второго детского сада.<br>Сейчас в «Европейском Береге» ведётся строительство домов от 6 до 25 этажей на береговой линии ЖК вдоль улицы Владимира Заровного: три закрытых квартала с камерным двором-садом, две башни-доминанты и один сблокированный дом. Под строящимися домами «Европейского Берега» спроектированы подземные паркинги, в цокольных этажах — кладовые помещения. <br>Купить двухкомнатную квартиру в «Европейском Береге» в Октябрьском районе Новосибирска выгодно напрямую от застройщика «Брусника. Сибакадемстрой»:<br>— ипотека с отсрочкой платежей на год от ПАО Сбербанк;<br>— беспроцентная рассрочка на 2-комнатные в «Европейском Береге»;<br>— обмен своей квартиры на двухкомнатную в новостройках на набережной Оби;<br>— возможность заказать отделку и оформить её вместе с 2-комнатной квартирой в ипотеку;<br>— бесплатный юридический сервис по оформлению квартиры.<br>Получить одобрение ипотеки или рассрочку, а также осуществить обмен квартиры можно онлайн. Запишитесь на онлайн презентацию по телефону или на сайте.<br>            № квартиры в нашей базе: НСК16479.",74.2 м²,23887.0,Микрорайон «Европейский Берег»,23887.0,Микрорайон «Европейский Берег»,650.0,4/10,74.2 м²,74.2,4,11,2735211697,Sale,/2-komnatnaya-kvartira-na-prodazhu-novosibirsk-2735211697,265.0,5 800 000 ₽,78 167 ₽ за м²,78167,5800000,Apartment,2020-07-23T12:07:52.399945Z,78,Listing,2,2.0,2020-12-21T10:24:27.758711+03:00,1974847617,2020-07-23T14:48:30.579824+03:00,2020-12-08T16:29:58.219888+03:00,3.26,265.0,#FF0000,Речной вокзал,"2-комн. квартира, 74.2 м², 4/10 эт.",2020-12-08T13:39:26.082058Z
"Новосибирск, улица Забалуева, 90",23367994,Компания «ЭТАЖИ»,Resale,3285,2020-11-23T10:39:01.622592Z,"Продам 1-комнатную студию в отличном жилом комплексе ""Радуга Сибири"". Делается ремонт по дизайн -проекту.Микрорайон «Радуга Сибири» расположен в Ленинском районе г. Новосибирска.<br>Комплекс выгодно отличается от других ЖК, благодаря наличию собственного озера с благоустроенной набережной.Из окна квартиры открываются потрясающие виды на зеленые насаждения и озеро.Двор-парк без машин, система видеонаблюдения и контроля доступа, огороженная территория и просторные детские, и спортивные площадки.<br>Ключи получены , дом сдан. Квартира под самоотделку. Все необходимое рядом: магазины, супермаркеты, аптеки, школы и дошкольные учреждения, остановки общественного транспорта.. Номер в базе: 4986566. Район: Ленинский.",26 м²,,,,,654.0,7/18,26 м²,26.0,7,9,3026574509,Sale,/1-komnatnaya-kvartira-na-prodazhu-novosibirsk-3026574509,,1 950 000 ₽,75 000 ₽ за м²,75000,1950000,Apartment,2020-11-23T10:39:01.622592Z,78,Listing,1,1.0,2020-12-23T13:29:59.192922+03:00,2040185565,2020-11-23T13:29:33.691868+03:00,2020-12-01T13:39:09.533591+03:00,,,,,"1-комн. квартира, 26 м², 7/18 эт.",2020-12-01T10:48:39.781387Z
"Новосибирск, Кировский район, Южно-Чемской жилмассив, улица Радиостанция, 1",23367994,Компания «ЭТАЖИ»,Resale,3285,2020-11-23T10:39:09.106352Z,В продаже появилась просторная 3х комнатная студия в новом кирпичном доме!<br>Стены очень толстые и только из кирпича!!!<br>Квартира с улучшенной черновой отделкой.<br>Дом расположен всего в 1.5 км от Краснообска!<br>Абсолютно первоклассная инфраструктура!<br>Остановка в 100 метрах.<br>Просторная придомовая территория и всегда есть парковочные места!<br>Документы готовы к быстрой сделке.<br>Достойный вариант в кирпичном доме по очень адекватной цене!<br>Такая низкая цена только до Нового года!<br>Звоните! Согласуем время просмотра!. Номер в базе: 4969476. Район: Кировский.,51 м²,,,,,655.0,1/4,51 м²,51.0,1,20,3026574933,Sale,/3-komnatnaya-kvartira-na-prodazhu-novosibirsk-3026574933,,2 100 000 ₽,41 176 ₽ за м²,41176,2100000,Apartment,2020-11-23T10:39:09.106352Z,78,Listing,3,3.0,2020-12-23T13:30:08.757431+03:00,2039977566,2020-11-23T13:29:37.688263+03:00,2020-12-03T13:12:55.44634+03:00,,,,,"3-комн. квартира, 51 м², 1/4 эт.",2020-12-03T10:22:45.236905Z
"Новосибирск, улица Немировича-Данченко, 148/1",173701179,Макромир,Resale,3285,2020-10-23T16:24:14.960174Z,"Продаётся квартира. Есть балкон и лоджия, 2 санузла. Центральное отопление. Горячая вода из центрального водоснабжения, нет ванны. Комплекс расположен в шаговой доступности от станции метро Студенческая (не более 7 минут ходьбы). Закрытая территория комплекса, видеонаблюдение, удобные и эстетически привлекательные детские площадки и спортивные сооружения, своеобразие архитектурного комплекса - все это делает проживание в данном месте комфортным и уютным. Квартира находится на 2-м этаже 17-ти этажного дома, улучшенной планировки в новом жилом комплексе ""Панорама"". Общая площадь квартиры - 91 м2. Все комнаты изолированы, два санузла , имеется гардеробная комната. чистовая отделка",91 м²,,,,,655.0,2/17,91 м²,91.0,2,8,2952024771,Sale,/3-komnatnaya-kvartira-na-prodazhu-novosibirsk-2952024771,266.0,9 100 000 ₽,100 000 ₽ за м²,100000,9100000,Apartment,2020-10-23T16:24:14.960174Z,78,Listing,3,3.0,2020-12-24T13:13:37.81152+03:00,2041720316,2020-10-23T19:14:50.427357+03:00,2020-11-24T13:13:37.81152+03:00,0.732,266.0,#FF0000,Студенческая,"3-комн. квартира, 91 м², 2/17 эт.",2020-11-24T10:22:41.274293Z
"Новосибирск, Широкая улица, 135",23367994,Компания «ЭТАЖИ»,Resale,3285,2020-05-06T01:07:07.031965Z,"Предлагается к продаже трехкомнатная квартира в чистом обжитом районе левого берега. Квартира на две стороны, балкон и застекленная лоджия.<br>Очень хорошая транспортная развязка и инфраструктура, будет приемуществом для новых жильцов перед аналогичными вариантами в ценовом диапазоне: поликлиника номер 18, остановки общественного транспорта, полная развязка транспорта во все стороны города, левый и правый берег, детские сады № 442,441,480, школа №92,45, 2-я Гимназия. Окна выходят на обе стороны.<br>Приглашаем на просмотр.. Номер в базе: 3787010. Район: Ленинский.",62 м²,,,,,654.0,7/9,62 м²,62.0,7,9,2537726894,Sale,/3-komnatnaya-kvartira-na-prodazhu-novosibirsk-2537726894,267.0,3 300 000 ₽,53 226 ₽ за м²,53226,3300000,Apartment,2020-05-06T01:07:07.031965Z,78,Listing,3,3.0,2020-12-24T13:16:37.295832+03:00,1944918477,2020-05-05T15:41:06.821599+03:00,2020-11-24T13:16:37.295832+03:00,3.603,267.0,#FF0000,Площадь Маркса,"3-комн. квартира, 62 м², 7/9 эт.",2020-11-24T10:25:54.057522Z
"ул. Котовского, д. 2Б",173701179,Макромир,New,3285,2020-10-22T09:23:05.994728Z,"О ЖК «Булгаков»<br>Любой талантливый роман имеет узнаваемую архитектуру, где каждый элемент - ретроспектива предыдущего, а понятный принцип построения сюжета не исключает интригу. В добротном романе все персонажи как кирпичики, на которых всё держится, а кульминация - это доказательство основной идеи.<br>ЖК «Булгаков», как захватывающее произведение строительного искусства, отличается выверенностью всех канонов построения добротного романа: Место действия - совершенно новое и уникальное для компании: левобережье, локация у парка Кирова, на пересечении Котовского и Ватутина. Сюжет - классический. Сталинский ампир, изящно вписанный в аутентичную архитектуру 40х годов, благородная кладка кирпича двух оттенков, разноэтажность и французские окна в пол, кэшированные в тёмный.<br>В экспозицию Булгакова включены также двор без машин, подземная парковка, малые архитектурные формы, уличное освещение, зоны отдыха взрослых и детей в концепции великих романов Михаила Афанасьевича.<br>45 персонажей, самобытных, разных по характеру и прочтению дружат и соседствуют во всём произведении. Это двухэтажная квартира с потолком 6,3 м., квартира с отдельным входом, квартиры с тёплыми лоджиями, компактные студии, а также совершенно непредсказуемые персонажи - квартиры со свободными планировками.<br>Гений Булгакова читается во всех деталях: лифты Otis, пятикамерные стеклопакеты, отделка «White Box», наливные полы, качественные металлические двери, алюминиевые радиаторы отопления и горизонтальная разводка.<br>В этом захватывающем произведении каждый фрагмент выстроен в гармонии, логично вытекает один из другого, но до конца сохраняет интригу! Легендарной булгаковской квартире № 50 оставили отдельную главу, содержание которой Мастер, ГК «Стрижи», раскроет только в конце истории.<br>«Всё будет правильно, на этом построен мир», писал великий Булгаков в своем главном романе. Всё правильно в новом ЖК «Булгаков», построенном группой компаний «Стрижи». Полетели?<br>Особенности архитектуры и благоустройства<br>Внешний облик дома выполнен в архитектуре сталинского ампира, светлый кирпич разных тонов выполнен баварской кладкой, темная часть кирпичного дома также выполнена темным кирпичем разных тонов. Благоустройство в стиле книги Булгакова «Мастер и Маргарита» - малые архитектурные формы, закрытый двор без машин, уличное освещение, зоны отдыха взрослых и детей с отсылкой к произведению Михаила Афанасьевича.<br>Подземный паркинг<br>Просторная подземная парковка из расчета 0,6 подземных машино-мест на квартиру. Комфортная и надежная защита автомобилей от холода, жары, осадков, ветра.<br>Конструктив домов<br>Отделка квартир<br>Квартиры сдаются с отделкой по типу «White Box». Стяжка пола подготовлена к укладке чистовых отделочных материалов (керамо- гранит, ПВХ-плитка, ламинат, паркет и т.д.), на кирпичные стены нанесена гипсовая штукатурка, швы между пазогребневыми плитами заштукатурены. Стены сан. узлов изнутри оштукатурены марочным цементно-песчаным раствором. Во всех квартирах установлены приборы учета воды, электроэнергии и качественные металлические утепленные входные двери с двумя замками и внутренним МДФ-щитком.<br>Окна и двери балконов выполнены из пятикамерного ПВХ-профиля белого цвета с заполнением стеклопакетом, на откосы балконных и оконных блоков изнутри нанесена штукатурка, снаружи - в полном объеме ПВХ-профиль, кэшированный с уличной стороны в темный цвет. Ограждения «французских» окон находятся на высоте 1,2 м и установлены по всей ширине проема.<br>Состав внутренних стен<br>Межквартирные стены выполнены из кирпича толщиной 250 мм. Межкомнатные перегородки — из пустотелых пазогребневых блоков толщиной 80 мм. Перегородки вокруг санузлов и ванных комнат — кирпичные, толщиной 120 мм, оштукатурены марочным песчано-цементным раствором.<br>Срок сдачи 2 квартал 2021 года<br>Способы покупки:<br>Ипотека От 4.7% годовых<br>По 2 документам<br>Trade-In<br>Квартира в зачет новой<br>Наличный расчет<br>Скидки<br>Материнский капитал<br>В качестве первого взноса<br>Дистанционная покупка<br>Экономия денег и времени<br>Рассрочка от застройщика<br>Trade-in<br>Обмен вашей недвижимости",72 м²,1011196301.0,ЖК «Булгаков»,1011196301.0,ЖК «Булгаков»,654.0,2/13,72 м²,72.0,2,27,2948362950,Sale,/3-komnatnaya-kvartira-na-prodazhu-novosibirsk-2948362950,267.0,6 899 000 ₽,95 819 ₽ за м²,95819,6899000,Apartment,2020-10-22T09:23:05.994728Z,78,Listing,3,3.0,2020-12-24T05:17:52.794986+03:00,2041237415,2020-10-22T12:13:37.271779+03:00,2020-11-24T05:17:52.794986+03:00,1.507,267.0,#FF0000,Площадь Маркса,"3-комн. квартира, 72 м², 2/13 эт.",2020-11-24T02:26:56.012698Z
"Новосибирск, улица Виктора Шевелёва, 18/1",191923024,Агентство,Resale,3285,2020-11-01T08:40:44.659845Z,"Продаётся очень теплая, светлая квартира в новом доме.",40 м²,,,,,655.0,2/10,40 м²,40.0,2,4,2974096663,Sale,/1-komnatnaya-kvartira-na-prodazhu-novosibirsk-2974096663,,1 990 000 ₽,49 750 ₽ за м²,49750,1990000,Apartment,2020-11-01T08:40:44.659845Z,78,Listing,1,1.0,2021-01-03T07:40:46.88911+03:00,2030139753,2020-11-01T11:20:23.904285+03:00,2020-12-04T07:40:46.88911+03:00,,,,,"1-комн. квартира, 40 м², 2/10 эт.",2020-12-04T04:49:49.349063Z
