address,agencyId,agencyName,apartmentSaleType,cityId,createdAt,description,details,developmentId,developmentName,developmentParentId,developmentParentName,districtId,floor,floorArea,floorAreaCalculated,floorInt,galleryImagesCount,id,itemType,itemUrl,metroId,price,pricePerArea,pricePerAreaValue,priceValue,propertyType,publishDate,regionId,resultType,rooms,roomsOrdinal,sourceFinishTime,sourceId,sourceStartTime,sourceUpdateTime,station_distance,station_id,station_lineColors,station_name,title,updatedAt
"пр-т Дзержинского, д. 32а",37076413,Александр,New,3285,2020-07-07T21:55:03.462658Z,"Квартира под само отделку,  Лоджия , балкон Рядом все ,что душе  угодно ( Магазины, рынки , поликлиника, парк  дом культуры и т.д)",54 м²,73399.0,"Дом по пр-ту Дзержинского, 32а",73399.0,"Дом по пр-ту Дзержинского, 32а",651.0,17/19,54 м²,54.0,17,1,2701388351,Sale,/2-komnatnaya-kvartira-na-prodazhu-novosibirsk-2701388351,271.0,4 100 000 ₽,75 926 ₽ за м²,75926,4100000,Apartment,2020-07-07T21:55:03.462658Z,78,Listing,2,2.0,2021-01-05T02:52:45.228037+03:00,1390619506,2018-02-13T12:38:02+03:00,2020-12-06T02:52:45.228037+03:00,2.282,272.0,#008000,Золотая Нива,"2-комн. квартира, 54 м², 17/19 эт.",2020-12-06T00:01:48.278139Z
"Новосибирск, Бронная улица, 34/4",6357297,"ООО ""Наследие""",Resale,3285,2020-10-13T10:24:36.623456Z,"Отличная студия, окна выходят на солнечную сторону . В квартире выполнен качественный ремонт дорогими материалами, стены и пол выравнены, переделана вся проводка, перенесены выключатели и розетки (интернет и тв проложено). Пол кафель и ламинат 33 класс, на стенах обои, везде натяжные потолки. Освещение в комнате трехзонное. Качество ремонта отличное.",39 м²,,,,,655.0,6/10,39 м²,39.0,6,10,2926530335,Sale,/1-komnatnaya-kvartira-na-prodazhu-novosibirsk-2926530335,,1 940 000 ₽,49 744 ₽ за м²,49744,1940000,Apartment,2020-10-13T10:24:36.623456Z,78,Listing,1,1.0,2021-01-01T13:37:17.560475+03:00,1999464212,2020-10-13T12:53:23.896051+03:00,2020-12-08T14:54:44.932691+03:00,,,,,"1-комн. квартира, 39 м², 6/10 эт.",2020-12-08T12:03:48.241114Z
"ул. Немировича-Данченко, д. 150",128778794,Илья,New,3285,2020-11-08T10:31:11.599162Z,"Квартира по переуступки ДДУ,вид на улицу Немировича-Данченко,срок сдачи 1 квартал 2021 года!",44.2 м²,23908.0,Квартал «Панорама»,23908.0,Квартал «Панорама»,655.0,7/25,44.2 м²,44.2,7,2,2990469185,Sale,/2-komnatnaya-kvartira-na-prodazhu-novosibirsk-2990469185,266.0,4 390 000 ₽,99 321 ₽ за м²,99321,4390000,Apartment,2020-11-08T10:31:11.599162Z,78,Listing,2,2.0,2021-01-07T14:26:58.134466+03:00,2024116403,2020-11-08T13:21:46.332581+03:00,2020-12-08T14:26:58.134466+03:00,0.58,266.0,#FF0000,Студенческая,"2-комн. квартира, 44.2 м², 7/25 эт.",2020-12-08T11:36:03.635308Z
"Новосибирск, улица Плахотного, 72",5752619,ольга,Resale,3285,2020-11-30T14:07:47.280668Z,"Продаётся солнечная, просторная  1к. квартира улучшенной планировки в центре троллейного жилмассива.В отличном  состоянии.Просторная кухня 9кв.Застекленная лоджия.В шаговой доступности находятся:  2 школы, 3 детсада, супермаркеты аптеки, Поликлиника , фитнес центр с бассейном, Ленинский рынок. Очень удобная транспортная развязка, 12 минут до пл К.Маркса. Всегда свободные парковочные места. Окна выходят во двор и в квартире очень тихо. Во дворе есть детская и спортивная площадки. В квартире остаётся: новый кухонный гарнитур ( без бытовой техники) , в ванной остаётся эргономичная раковина,  которая устанавливается над стиральной машинкой. В коридоре большой встроенный шкаф купе.",41 м²,,,,,654.0,9/10,41 м²,41.0,9,13,3042861104,Sale,/1-komnatnaya-kvartira-na-prodazhu-novosibirsk-3042861104,267.0,3 600 000 ₽,87 805 ₽ за м²,87805,3600000,Apartment,2020-11-30T14:07:47.280668Z,78,Listing,1,1.0,2020-12-30T16:58:45.125058+03:00,2057446570,2020-11-30T16:58:21.770487+03:00,2020-12-01T09:22:06.261155+03:00,2.831,267.0,#FF0000,Площадь Маркса,"1-комн. квартира, 41 м², 9/10 эт.",2020-12-01T06:31:30.48604Z
"Новосибирск, улица Владимира Высоцкого, 44, подъезд 2",22769550,Андрей,Resale,3285,2019-02-05T20:20:38.174005Z,"Продаётся в связи с переездом однокомнатная квартира 39 кв.м + лоджия 5,3 кв.м. Узаконена перепланировка — вход в сан.кабину — одна дверь, дверь в санузел — заложена, получилась большая туалетная комната (унитаз и раковина) из неё вход в душевую кабину (смотреть фото).                                                                                                             Туалетная комната: пол (с подогревом) и стены в потолок — кафель, натяжной потолок, установлен водонагреватель — 50л. (при любых отключениях гор. воды — вода есть в раковине, в душе и на кухне).                                                                                                  Коридор: пол — кафель, стены (выравнивались гипсокартоном) — виниловые обои, потолок — побелка, остаётся шкаф-купе (двери — зеркало, все кромки полок и дверок — алюминий — делался на заказ) во всю стену и в потолок. Входная дверь пр.-во Россия (2,5 мм лист железа с перепрограммируемым замком).                                                                                              Комната: пол — ламинат,  стены (выравнивались гипсокартоном и сделана шумоизоляция от лифтовой шахты) — виниловые обои, потолок — побелка, два уровня, остаётся шкаф-купе (двери — узорное стекло, все кромки полок и дверок — алюминий — делался на заказ) во всю стену и в потолок, установлен кондиционер.                                                                              Лоджия: пол — кафель, стены и потолок — евровагонка (с пропиткой), установлены полноценные пластиковые окна.                                                                                              Кухня:  пол (с подогревом) — кафель, стены — моющиеся обои, потолок — побелка, остаётся встроенная кухня (пластиковый фасад и  все кромки полок и дверок — алюминий — делалась на заказ). Возможна продажа с быт. техникой (холодильник и плита — Gorenie, стир. машина — Bosch- 7кг, микроволновка — Panasonic).                                                                              Огромный двор с детской площадкой и парковочными местами для авто, в доме две аптеки парикмахерская, магазины, в 20 шагах -  остановка общественного транспорта (13 маршрутов — во все направления), детские сады, школы, поликлиника, рядом — Лента, Континент, «барахолка». В 7 минутах ходьбы - озеро (в садовом обществе). Запланировано строительство метро.          <br>Есть: домашний телефон, проводной интернет (МТС), цифровое + HD ТВ.                                                                                                   Продажа от собственника. Документы на руках. Звоните - при показе есть ещё что рассказать и показать.  <br>Реальному покупателю - торг! Данное предложение не является публичной офертой.                                                                                                       PS: агентствам просьба не беспокоить (без реальных покупателей).",39 м²,,,,,650.0,2/10,39 м²,39.0,2,20,134605892,Sale,/1-komnatnaya-kvartira-na-prodazhu-novosibirsk-134605892,,2 790 000 ₽,71 538 ₽ за м²,71538,2790000,Apartment,2019-02-05T20:20:38.174005Z,78,Listing,1,1.0,2020-12-30T17:01:30.954889+03:00,359291250,2014-06-28T12:11:21+04:00,2020-11-30T17:01:30.954889+03:00,3.223,272.0,#008000,Золотая Нива,"1-комн. квартира, 39 м², 2/10 эт.",2020-11-30T14:10:33.999193Z
"ул. Высоцкого, д. 141, корп. 1",178825960,"2ПН, покупка-продажа недвижимости",New,3285,2020-11-02T04:50:14.171708Z,В продаже трехкомнатная квартира-студия в новом строящемся доме на Плющихинском жилмассиве. Строительный адрес Высоцкого 141/11. В квартире сделана стяжка пола и новая входная дверь. Дом будет построен возле дома 141/1. До остановки общественного транспорта 5 минут ходьбы. Срок сдачи 4 квартал  2021года. Рядом новая школа и детский сад. Возможно применение материнского капитала.,55.5 м²,1020137884.0,Мкр. Плющихинский,1020137884.0,Мкр. Плющихинский,650.0,8/18,55.5 м²,55.5,8,1,2975787215,Sale,/3-komnatnaya-kvartira-na-prodazhu-novosibirsk-2975787215,272.0,2 340 000 ₽,42 162 ₽ за м²,42162,2340000,Apartment,2020-11-02T04:50:14.171708Z,78,Listing,3,3.0,2021-01-07T14:35:25.460908+03:00,2022117497,2020-11-02T07:40:50.35014+03:00,2020-12-08T14:35:25.460908+03:00,2.852,272.0,#008000,Золотая Нива,"3-комн. квартира, 55.5 м², 8/18 эт.",2020-12-08T11:44:29.287744Z
"Новосибирская область, Куйбышев, улица Макарова, 38",129762124,Активы Сбербанка,Resale,3253,2020-10-31T03:49:17.780172Z,"ПАО Сбербанк реализует имущество:<br>Объект (ID I3041217): 3-комнатная квартира общей площадью 50.60 кв.м. Дом кирпичный.<br>Адрес: Россия, Новосибирская область, г. Куйбышев, Макарова ул, д. 38, кв. 2.<br>Текущая стоимость объекта: 299,510.00<br>Заявления на приобретение обрабатываются в порядке поступления.<br>Дополнительная информация по телефону, указанному в объявлении, ежедневно с 04-00 до 20-00 (по времени г. Мск, GMT+3).<br>ДЕЙСТВУЮЩИЕ ОБРЕМЕНЕНИЯ ПО ОБЪЕКТУ: отсутствуют.<br>СПОСОБЫ ОФОРМЛЕНИЯ СДЕЛКИ: возможна ипотека / возможно использование материнского капитала<br>ИНДИВИДУАЛЬНЫЕ И ТЕХНИЧЕСКИЕ ХАРАКТЕРИСТИКИ ОБЪЕКТА:<br>Кадастровый номер: 54:34:012325:64<br>Общая площадь (кв. м.): 50.60<br>Жилая площадь (кв. м.): 42.20<br>Количество комнат: 3<br>Этаж: 1<br>Этажность: 1<br>Принадлежность к рынку: Вторичка<br>Характеристики здания, в котором располагается объект:<br>Год постройки: 1985<br>Настоящее объявление размещено в рамках реализации ПАО Сбербанк имущества, приобретенного в целях обеспечения деятельности ПАО Сбербанк, имущества, на которое обращено взыскание как на предмет залога, а также полученного по договору в качестве отступного.<br>ПАО Сбербанк. Генеральная лицензия Банка России на осуществление банковских операций № 1481 от 11.08.2015",50.6 м²,,,,,,1/1,50.6 м²,50.6,1,13,2971203843,Sale,/3-komnatnaya-kvartira-na-prodazhu-kuybyshev-2971203843,,299 510 ₽,5 919 ₽ за м²,5919,299510,Apartment,2020-10-31T03:49:17.780172Z,78,Listing,3,3.0,2020-12-30T17:24:40.448768+03:00,2026770418,2020-10-31T06:36:27.514447+03:00,2020-12-05T06:19:25.990246+03:00,,,,,"3-комн. квартира, 50.6 м², 1/1 эт.",2020-12-05T03:33:01.339733Z
"Новосибирск, Калининский район, микрорайон Юбилейный, улица Столетова, 20",6857804,Эльвира,Resale,3285,2020-12-02T11:22:07.49671Z,Продаю личную квартиру!!!<br>В отличном состоянии. Балкон застеклён. Без обременений и детей по документам. Ключи в день сделки.,29 м²,,,,,648.0,3/5,29 м²,29.0,3,11,3047421399,Sale,/1-komnatnaya-kvartira-na-prodazhu-novosibirsk-3047421399,,2 390 000 ₽,82 414 ₽ за м²,82414,2390000,Apartment,2020-12-02T11:22:07.49671Z,78,Listing,1,1.0,2021-01-01T14:13:27.664712+03:00,2058707497,2020-12-02T14:12:10.133197+03:00,2020-12-09T05:47:38.441791+03:00,,,,,"1-комн. квартира, 29 м², 3/5 эт.",2020-12-09T02:57:02.643414Z
"ул. Высоцкого, д. 141, корп. 1",178825960,"2ПН, покупка-продажа недвижимости",New,3285,2020-12-08T12:10:27.596921Z,"Открыты продажи в новом, 18ти этажном доме от ДИСКУСа.<br>Адрес дома , Плющихенский ж/м, ул. Высоцкого д.141/11<br>Удобная трехкомнатная студия, на комфортном, втором этаже дома.<br>Дом строится рядом с остановкой.<br>Спешите, количество квартир ограничено.<br>Сдача 4 квартал 2021 года.",57.8 м²,1020137884.0,Мкр. Плющихинский,1020137884.0,Мкр. Плющихинский,650.0,2/18,57.8 м²,57.8,2,2,3061285727,Sale,/3-komnatnaya-kvartira-na-prodazhu-novosibirsk-3061285727,272.0,2 428 020 ₽,42 007 ₽ за м²,42007,2428020,Apartment,2020-12-08T12:10:27.596921Z,78,Listing,3,3.0,2021-01-07T15:01:26.192018+03:00,2022553135,2020-12-08T15:01:03.525009+03:00,2020-12-08T15:01:26.192018+03:00,2.852,272.0,#008000,Золотая Нива,"3-комн. квартира, 57.8 м², 2/18 эт.",2020-12-08T12:10:30.801957Z
"ул. Тульская, стр. 82",107238416,"Отдел продаж Застройщика ""Инвест-плюс""",New,3285,2019-04-09T07:19:04.67306Z,"Квартира по Акции !!! <br>КЛАДОВКА В ПОДАРОК!!!<br>С необходимыми документами можно ознакомиться в офисе Застройщика.<br>ЭТА 2 К КВ-ЛЕГКО ПЕРЕДЕЛЫВАЕТСЯ В 3 -СТУДИЮ ПРИГЛАШАЮ НА ПРОСМОТР!!!<br>Жилой комплекс «Тульский»- это дома переменной этажности 8, 15, 19 (в том числе жилых - 5, 12, 16) с помещениями общественно-торгового назначения с подземной автостоянкой. Секции дома объединены единым архитектурным решением, представляют собой вариант рационального освоения территории, образуют замкнутое внутридворовое пространство.<br>I этап - дом переменной этажности: 8-15-19 этажей, состоящий из трех блок-секций, с помещениями общественного и торгового назначения и подземной автостоянкой.<br>II этап – дом переменной этажности: от 6 до 19 этажей, состоящий из пяти блок-секций, с помещениями общественного и торгового назначения.<br>Преимущества комплекса:<br>- развитая инфраструктура<br>- удобная транспортная развязка<br>- прекрасные виды на реку и ПКиО «Бугринская роща»<br>- благоустроенная внутридомовая территория<br>-<br>Вся подробная информация по телефону, звони!",72.7 м²,39341.0,ЖК «Тульский»,39341.0,ЖК «Тульский»,655.0,3/6,72.7 м²,72.7,3,6,1230543839,Sale,/2-komnatnaya-kvartira-na-prodazhu-novosibirsk-1230543839,266.0,4 463 000 ₽,61 389 ₽ за м²,61389,4463000,Apartment,2019-04-09T07:19:04.67306Z,78,Listing,2,2.0,2021-01-02T06:20:54.640261+03:00,1646815903,2019-04-09T10:06:41.96337+03:00,2020-12-03T06:20:54.640261+03:00,1.427,266.0,#FF0000,Студенческая,"2-комн. квартира, 72.7 м², 3/6 эт.",2020-12-03T03:29:57.291144Z
