address,agencyId,agencyName,apartmentSaleType,cityId,createdAt,description,details,developmentId,developmentName,developmentParentId,developmentParentName,districtId,floor,floorArea,floorAreaCalculated,floorInt,galleryImagesCount,id,itemType,itemUrl,metroId,premiumActivationDate,price,pricePerArea,pricePerAreaValue,priceValue,propertyType,publishDate,regionId,resultType,rooms,roomsOrdinal,sourceFinishTime,sourceId,sourceStartTime,sourceUpdateTime,station_distance,station_id,station_lineColors,station_name,title,updatedAt
"ул. Дмитрия Шамшурина, жилой дом",117536457,Камея,New,3285,2020-07-29T05:43:01.754093Z,"Монолитно-кирпичный дом с закрытой территорией и подземным паркингом. Авторская архитектура с элементами классики, вечерняя подсветка фасада и территории, панорамные виды на город и реку для настоящих ценителей красоты.<br>- Двор без машин<br>- Современные детские игровые комплексы от европейских производителей с травмобезопасным покрытием<br>- Функциональные спортивные площадки для занятий на открытом воздухе.<br>- Огороженная территория обеспечена видеонаблюдением и контролем доступа.<br>Современная входная группа без ступеней, с панорамным остеклением, широкие коридоры, просторный холл с зоной ожидания, колясочная и место для хранения велосипедов. Предусмотрены консьерж-сервис и отдельный вход для погрузочных работ.<br>Двухуровневый подземный паркинг со входом из лифта. Паркинг обеспечен видеонаблюдением и системами противопожарной безопасности. Всегда чистый и теплый автомобиль в любой сибирский мороз или непогоду. В доме установлены скоростные программируемые лифты с улучшенной отделкой – 2 пассажирских и 1 грузопассажирский.<br>В проекте представлены самые популярные типы квартир – от студий для современной молодежи до просторных трехкомнатных квартир для семей с детьми. Качественная входная дверь, улучшенная шумоизоляция, увеличенные оконные проемы с системой приточной вентиляции, просторные балконы с панорамным остеклением.<br>В проекте предусмотрены помещения общественного назначения с отдельными входами, что полностью обеспечивает приватность жителей. Современное кафе, детский центр, салон красоты, мини-маркет и прочие необходимые для жителей услуги всегда рядом.<br>Вся информация о проекте носит ознакомительный характер. Не является офертой.",46.3 м²,1024290276.0,ЖК «Оникс»,1024290276.0,ЖК «Оникс»,652.0,22/23,46.3 м²,46.3,22,18,2748999956,Sale,/1-komnatnaya-kvartira-na-prodazhu-novosibirsk-2748999956,268.0,,5 190 000 ₽,112 095 ₽ за м²,112095,5190000,Apartment,2020-07-29T05:43:01.754093Z,78,Listing,1,1.0,2021-01-06T06:41:27.898202+03:00,1959040625,2020-07-29T08:33:38.439393+03:00,2020-12-09T05:01:00.698542+03:00,0.509,268.0,#008000,Площадь Гарина-Михайловского,"1-комн. квартира, 46.3 м², 22/23 эт.",2020-12-09T02:10:02.197202Z
"Новосибирск, улица Богдана Хмельницкого, 14",62844843,Агентство недвижимости Калининское,Resale,3285,2020-12-07T04:30:32.980029Z,"СРОЧНАЯ ПРОДАЖА<br>Предлагаем к продаже двухкомнатную квартиру, <br>в прекрасной части нашего города Богдашке, рядом ледовый дворец спорта, бассейн, торговые центры, до станции метро Заельцовская 5-7 минут. Плюсы с точки зрения оформления сделки:<br>-квартира не в обременении<br>-не использовался материнский капитал<br>-нет детей в числе собственников<br>-в квартире никто не живет, передача ключей <br>в день полного расчета<br>-подходит под любую форму расчета<br>Реальному покупателю ТОРГ<br>Просмотр по договоренности.<br>Поможем с получением кредитного решения.",45.6 м²,,,,,648.0,5/5,45.6 м²,45.6,5,13,3057482087,Sale,/2-komnatnaya-kvartira-na-prodazhu-novosibirsk-3057482087,260.0,,3 200 000 ₽,70 175 ₽ за м²,70175,3200000,Apartment,2020-12-07T04:30:32.980029Z,78,Listing,2,2.0,2021-01-06T07:21:15.671632+03:00,2057520464,2020-12-07T07:20:54.125978+03:00,2020-12-07T08:11:56.66513+03:00,2.109,260.0,#FF0000,Заельцовская,"2-комн. квартира, 45.6 м², 5/5 эт.",2020-12-07T05:21:33.315141Z
"ул. Дуси Ковальчук, д. 248",94957031,Сибирь Девелопмент,New,3285,2019-02-05T20:09:59.207456Z,"Продаётся последняя трёхкомнатная квартира в ЖК Заельцовский от застройщика!<br>Дом сдан! Быстрое оформление и передача ключей!<br>Преимущества данной квартиры:<br>- Площадь 98,75 квадратных метров - комфорт для всех членов семьи <br>- Большая кухня 14 кв.м<br>- Три лоджии с панорамным остеклением <br>- Оригинальная гостиная с эркером - простор для дизайнерских решений <br>- Окна выходят во двор и на ул.Дуси Ковальчук <br>- Виды на восход и на закат <br>- Ниша для гардеробной <br>- Чистовая отделка <br>ЖК Заельцовский – это квартиры бизнес-класса для комфортной семейной жизни. <br>Прекрасное расположение<br>Жилой комплекс располагается в 5 минутах ходьбы от станции метро Заельцовская, площади Калинина и Красного проспекта, что позволяет жильцам легко и быстро добраться до любой точки города. В то же время закрытая территория и уютный двор бережно охраняют частную жизнь.<br>Отличная инфраструктура<br>В шаговой доступности от ЖК находятся гимназия, лицей, общеобразовательные и частные школы, детские сады, поликлиника, фитнес-центры, торгово-развлекательные центры, а также крупные зелёные зоны - Заельцовский парк, Дендропарк и Новосибирский зоопарк.<br>Концептуальная архитектура<br>Респектабельная «московская» архитектура, плавные линии фасада и облицовка высококачественным кирпичом оттенков «слоновая кость» и «шоколад» делают здание настоящим украшением района.<br>Приватность и безопасность<br>Закрытая охраняемая территория с современным детским городком, мягким покрытием игровых и спортивных площадок, дорожками из террасной доски и ландшафтным дизайном обеспечивают безопасность детей и спокойный отдых взрослых.<br>Двор без машин<br>Автомобили располагаются на двухуровневой подземной парковке на 195 машиномест. Имеются отдельные гаражные боксы.<br>Чистовая отделка квартир<br>Квартиры сдаются готовыми под финишный ремонт: ровные стены, качественная стяжка пола, под стяжкой шумоизоляция, установлены современные радиаторы отопления, пластиковые окна, выводы и счетчики по электрике и сантехнике.<br>Комфорт в каждой детали<br>Бесшумные лифты от квартиры до парковки, удобные планировки квартир, просторные лоджии с панорамным остеклением, единая система видеонаблюдения, кладовые помещения для жильцов, собственная управляющая компания – всё для удобства и благополучия жильцов.<br>Как купить<br>Дом сдан, покупка осуществляется по договору купли-продажи.<br>Ипотека, рассрочка с фиксацией цены, скидки за быстрый полный расчет*<br>*Подробности и запись на экскурсию – у менеджеров в офисе продаж застройщика<br>Застройщик ООО «Сибирь Девелопмент».",98.8 м²,66331.0,ЖК «Заельцовский»,66331.0,ЖК «Заельцовский»,653.0,2/19,98.8 м²,98.8,2,23,169990013,Sale,/3-komnatnaya-kvartira-na-prodazhu-novosibirsk-169990013,260.0,,8 400 700 ₽,85 027 ₽ за м²,85027,8400700,Apartment,2019-02-05T20:09:59.207456Z,78,Listing,3,3.0,2021-01-07T14:49:24.904073+03:00,836960084,2016-09-14T12:10:56+03:00,2020-12-08T14:49:24.904073+03:00,0.874,260.0,#FF0000,Заельцовская,"3-комн. квартира, 98.8 м², 2/19 эт.",2020-12-08T11:58:30.6928Z
"Новосибирск, улица Краузе, 21/1",62844843,Агентство недвижимости Калининское,Resale,3285,2020-12-08T08:36:00.900743Z,"В продаже самая большая 1 -студия в этом <br>доме.<br>Дом каркасно-кирпичный 2011 года постройки.<br>В указанную стоимость квартиры входит:<br>- кухонный гарнитур с плитой.<br>- вся мебель в квартире.<br>Плюсы с точки зрения оформления сделки:<br>- нет обременения<br>- для расчета за квартиру не использовался<br>материнский капитал<br>- в числе собственников нет детей<br>- чистая продажа, без привязок к следующей<br>покупке<br>Наши дополнительные преимущества:<br>- удобное расположение дома, Школа 218, детский <br>сад, торговые<br>и развлекательные центры, остановка транспорта <br>- все в шаговой доступности<br>- ремонт от застройщика<br>- во дворе большая оборудованная детская <br>площадка<br>Ждем всех желающих на просмотр!",36.5 м²,,,,,648.0,1/17,36.5 м²,36.5,1,14,3060764614,Sale,/kvartira-na-prodazhu-novosibirsk-3060764614,,,2 700 000 ₽,73 973 ₽ за м²,73973,2700000,Apartment,2020-12-08T08:36:00.900743Z,78,Listing,Студия,,2021-01-07T11:26:50.645005+03:00,2057324271,2020-12-08T11:26:28.330351+03:00,2020-12-08T11:26:50.645005+03:00,,,,,"Квартира-студия, 36.5 м², 1/17 эт.",2020-12-08T08:36:09.978927Z
"Новосибирск, улица Куприна, 16/1",62844843,Агентство недвижимости Калининское,Resale,3285,2020-09-09T13:24:53.162009Z,"Светлая, теплая, очень уютная трехкомнатная <br>квартира. В отличном состоянии. Ухоженный двор, красивая детская площадка. В шаговой доступности школа, детские сады,торговые центры, спортивные центры, поликлиника, аптеки, банки, остановка общественного транспорта. Покажем в удобное для вас время. Торг",60 м²,,,,,651.0,3/5,60 м²,60.0,3,18,2850354726,Sale,/3-komnatnaya-kvartira-na-prodazhu-novosibirsk-2850354726,272.0,,3 600 000 ₽,60 000 ₽ за м²,60000,3600000,Apartment,2020-09-09T13:24:53.162009Z,78,Listing,3,3.0,2021-01-07T19:11:52.696995+03:00,1993707314,2020-09-09T16:14:41.484255+03:00,2020-12-08T19:11:52.696995+03:00,1.097,272.0,#008000,Золотая Нива,"3-комн. квартира, 60 м², 3/5 эт.",2020-12-08T16:21:48.791883Z
"Новосибирск, Красный проспект, 310",62844843,Агентство недвижимости Калининское,Resale,3285,2020-12-08T03:26:11.36574Z,"В продаже отличная, светлая 2-х комнатная <br>квартира с большой кухней-гостиной. Дом каркасно-кирпичный. <br>В указанную стоимость квартиры входит:<br>- кухонный гарнитур;<br>- шкаф купе в коридоре.<br>Плюсы с точки зрения оформления сделки:<br>- для расчета за квартиру не использовался <br>материнский капитал<br>- в числе собственников нет детей<br>- чистая продажа, без привязок к следующей <br>покупке<br>Наши дополнительные преимущества:<br>- удобное расположение дома, Школа 211, торговые <br>и развлекательные центры, остановка транспорта - все в шаговой доступности<br>- ремонт из качественных материалов<br>- площадь кухни позволяет устроить кухню-гостиную<br>- во дворе большая оборудованная детская <br>площадка<br>Ждем всех желающих на просмотр!",55.3 м²,,,,,648.0,5/19,55.3 м²,55.3,5,10,3060124864,Sale,/2-komnatnaya-kvartira-na-prodazhu-novosibirsk-3060124864,,,4 500 000 ₽,81 374 ₽ за м²,81374,4500000,Apartment,2020-12-08T03:26:11.36574Z,78,Listing,2,2.0,2021-01-07T06:16:58.866813+03:00,2057536576,2020-12-08T06:16:37.67599+03:00,2020-12-08T06:16:58.866813+03:00,,,,,"2-комн. квартира, 55.3 м², 5/19 эт.",2020-12-08T03:26:13.690332Z
"Новосибирск, Кировский район, Северо-Чемской жилмассив, улица XX Партсъезда, 5",6860078,"АН ""СОЛНЦЕГРАД""",Resale,3285,2020-09-17T08:12:41.236517Z,"Продается двухкомнатная квартира  в хорошем состоянии в районе Бугринская роща. Развитая инфраструктура : Детские сады, школа, кадетский корпус, магазины, спортивный комплекс, бассейн  - все в шаговой доступности. Показ по договоренности в удобное для Вас время.",40 м²,,,,,655.0,2/2,40 м²,40.0,2,6,2869086747,Sale,/2-komnatnaya-kvartira-na-prodazhu-novosibirsk-2869086747,266.0,2020-10-05T14:59:49.559032+03:00,2 200 000 ₽,55 000 ₽ за м²,55000,2200000,Apartment,2020-09-17T08:12:41.236517Z,78,Listing,2,2.0,2020-12-16T11:18:16.42008+03:00,1996337613,2020-09-17T11:03:13.098846+03:00,2020-11-16T11:18:16.42008+03:00,3.883,266.0,#FF0000,Студенческая,"2-комн. квартира, 40 м², 2/2 эт.",2020-11-16T08:28:08.879115Z
"Россия, Новосибирская область, Бердск, Микрорайон, 15",188338550,Сергей,Resale,3279,2020-10-05T13:07:38.160177Z,"Уютная квартира не требует ремонта.Больница,школа садики все рядом.развязка транспорта в Новосибирск Академгородок по городу все в 5 мин ходьбы супермаркеты все рядом очень удобно.квартира с мебелью заезжай и живи!!! ПРОСЬБА АГЕНТСТВУ НЕ БЕСПОКОИТЬ!!!",44.8 м²,,,,,,5/5,44.8 м²,44.8,5,10,2909458681,Sale,/3-komnatnaya-kvartira-na-prodazhu-berdsk-2909458681,,2020-10-05T16:23:29.263306+03:00,2 500 000 ₽,55 804 ₽ за м²,55804,2500000,Apartment,2020-10-05T13:07:38.160177Z,78,Listing,3,3.0,2021-01-03T16:00:41.212502+03:00,2004227533,2020-10-05T15:58:11.040138+03:00,2020-12-04T16:00:41.212502+03:00,,,,,"3-комн. квартира, 44.8 м², 5/5 эт.",2020-12-04T13:13:41.780845Z
"Новосибирск, Вертковская улица, 38",4293848,собственник,Resale,3285,2020-10-09T10:19:29.842938Z,"Кирпичный дом под шлагбаумом,по периметру в подъезде видеонаблюдения и контроль доступа . Современный детский игровой комплекс. На первом этаже сетевые магазины (Ярче,Магнит) и кулинария ""Куличики"".<br>Год постройки дома 2001г, до метро 15 минут,рядом остановки общественного транспорта, школы, детские сады. Квартира находится на 2/9 этаже в новой половине дома.В квартире установлена вневедомственная охрана,3 полноценные жилые комнаты ( 16,8;22,4;15,7) и гостиная + кухня (41,1м2),Два санузла ( 6,8 и 4,4),постирочная,балкон.В подъезде имеются две кладовки.Квартира для большой и дружной семьи.Без обременения,один собственник.Работаю с риэлтором.",133.1 м²,,,,,654.0,2/9,133.1 м²,133.1,2,19,2918242796,Sale,/4-komnatnaya-kvartira-na-prodazhu-novosibirsk-2918242796,267.0,2020-10-10T06:29:08.148628+03:00,8 650 000 ₽,64 989 ₽ за м²,64989,8650000,Apartment,2020-10-09T10:19:29.842938Z,78,Listing,4,4.0,2020-12-11T21:12:28.518879+03:00,2006213283,2020-10-09T13:09:58.719111+03:00,2020-11-17T10:29:52.990919+03:00,1.523,267.0,#FF0000,Площадь Маркса,"4-комн. квартира, 133.1 м², 2/9 эт.",2020-11-17T07:39:15.364701Z
"Новосибирск, улица Халтурина, 30",6860078,"АН ""СОЛНЦЕГРАД""",Resale,3285,2020-09-17T08:10:33.26823Z,"В продаже 2-х комнатная квартира. Детскоая комната потготовлена к ремонту( установлено пластиковое окно, натежной потолок, осталось поклеить обои под ваш вкус), натежныой потолк в зале. Развитая инфраструктура: 6 детских садов, школы, супермакеты, Троицкий сквер'. для прогулок с детьми, спортивный комплекс ""Заря"", бассейн, ДК "" Сибтекстильмаш"" с множеством развивающих секций для детей, детская поликлиника в доме, взрослая через дорогу. 15 минут на транспорте до метро ""Маркса"".",42 м²,,,,,654.0,2/4,42 м²,42.0,2,12,2869083115,Sale,/2-komnatnaya-kvartira-na-prodazhu-novosibirsk-2869083115,267.0,2020-10-17T11:20:48.136066+03:00,2 350 000 ₽,55 952 ₽ за м²,55952,2350000,Apartment,2020-09-17T08:10:33.26823Z,78,Listing,2,2.0,2020-12-16T11:18:15.807676+03:00,1996834386,2020-09-17T11:01:08.891532+03:00,2020-11-16T11:18:15.807676+03:00,4.468,267.0,#FF0000,Площадь Маркса,"2-комн. квартира, 42 м², 2/4 эт.",2020-11-16T08:30:01.772466Z
