address,agencyId,agencyName,apartmentSaleType,cityId,createdAt,description,details,developmentId,developmentName,developmentParentId,developmentParentName,districtId,floor,floorArea,floorAreaCalculated,floorInt,galleryImagesCount,id,itemType,itemUrl,metroId,price,pricePerArea,pricePerAreaValue,priceValue,propertyType,publishDate,regionId,resultType,rooms,roomsOrdinal,sourceFinishTime,sourceId,sourceStartTime,sourceUpdateTime,station_distance,station_id,station_lineColors,station_name,title,updatedAt
"Новосибирск, Сухарная улица, 70А",152810530,Центральное агентство недвижимости,Resale,3285,2020-11-24T02:38:36.795506Z,"Продаётся 2-х комнатная квартира со свежим ремонтом: натяжные потолки, ламинат,  новые межкомнатные и входная двери. Кухня сделана на заказ. В квартире имеется отдельный вход.<br> В шаговой доступности  школа, детский сад, поликлиника, магазин, остановка<br>Рядом зоопарк и Заельцовский парк. Данную квартиру можно использовать под коммерческую недвижимость.<br>При звонке, пожалуйста, назовите номер объявления - 111 421<br>Консультируем подробно по телефону.",49 м²,,,,,653.0,1/9,49 м²,49.0,1,31,3028077984,Sale,/2-komnatnaya-kvartira-na-prodazhu-novosibirsk-3028077984,268.0,3 350 000 ₽,68 367 ₽ за м²,68367,3350000,Apartment,2020-11-24T02:38:36.795506Z,78,Listing,2,2.0,2020-12-24T05:29:35.441015+03:00,2016196625,2020-11-24T05:29:08.004827+03:00,2020-12-09T05:19:45.22742+03:00,2.102,268.0,#008000,Площадь Гарина-Михайловского,"2-комн. квартира, 49 м², 1/9 эт.",2020-12-09T02:29:17.078576Z
"Новосибирск, Кировский район, Северо-Чемской жилмассив, Оловозаводская улица, 43",152810530,Центральное агентство недвижимости,Resale,3285,2020-11-24T02:38:51.203817Z,"В продаже отличная 2-х комнатная квартира улучшенной планировки.<br>Просторная кухня и комнаты, состояние хорошее, делали ремонт под себя.<br>Большая лоджия.<br>Хорошие соседи.<br>Подойдёт под любые расчёты.<br>Подробности по телефону.<br>Показы по договорённости.<br>При звонке, пожалуйста, назовите номер объявления - 116 118<br>Консультируем подробно по телефону.",53.2 м²,,,,,655.0,9/9,53.2 м²,53.2,9,10,3028078065,Sale,/2-komnatnaya-kvartira-na-prodazhu-novosibirsk-3028078065,266.0,3 400 000 ₽,63 910 ₽ за м²,63910,3400000,Apartment,2020-11-24T02:38:51.203817Z,78,Listing,2,2.0,2020-12-24T05:29:47.94646+03:00,2016540691,2020-11-24T05:29:23.352689+03:00,2020-12-07T15:39:10.26365+03:00,4.393,266.0,#FF0000,Студенческая,"2-комн. квартира, 53.2 м², 9/9 эт.",2020-12-07T12:48:57.816598Z
"Новосибирск, улица Виктора Уса, 1/2",152810530,Центральное агентство недвижимости,Resale,3285,2020-11-24T02:38:57.065489Z,"Предлагается к покупке полноценная однокомнатная квартира, улучшенной планировки в кирпичном малонаселенном доме. В квартире сделан отличный ремонт. Оборудована гардеробная комната. Мебель остается в квартире по договоренности. <br>В шаговой доступности детский садик и остановка общественного транспорта. Множество магазинов, аптек.<br>При звонке, пожалуйста, назовите номер объявления - 113 770<br>Консультируем подробно по телефону.",36.8 м²,,,,,655.0,8/9,36.8 м²,36.8,8,18,3028078095,Sale,/1-komnatnaya-kvartira-na-prodazhu-novosibirsk-3028078095,267.0,2 720 000 ₽,73 913 ₽ за м²,73913,2720000,Apartment,2020-11-24T02:38:57.065489Z,78,Listing,1,1.0,2020-12-24T05:29:54.117212+03:00,2015967706,2020-11-24T05:29:28.722929+03:00,2020-12-07T15:39:10.432488+03:00,4.654,267.0,#FF0000,Площадь Маркса,"1-комн. квартира, 36.8 м², 8/9 эт.",2020-12-07T12:49:15.261854Z
"Новосибирск, улица Владимира Высоцкого, 36/1",152810530,Центральное агентство недвижимости,Resale,3285,2020-11-24T02:38:59.192586Z,"Продаётся уютная квартира в качественно построенном доме (застройщик «Юситек») в начале МЖК. Планировка на 2 стороны. Есть балкон и лоджия. Остаётся практически вся мебель и бытовая техника. Быстрый выход на сделку. Чистая продажа.<br>При звонке, пожалуйста, назовите номер объявления - 113 596<br>Консультируем подробно по телефону.",73.3 м²,,,,,650.0,3/10,73.3 м²,73.3,3,19,3028078110,Sale,/3-komnatnaya-kvartira-na-prodazhu-novosibirsk-3028078110,272.0,5 800 000 ₽,79 127 ₽ за м²,79127,5800000,Apartment,2020-11-24T02:38:59.192586Z,78,Listing,3,3.0,2020-12-24T05:29:57.283259+03:00,2016399901,2020-11-24T05:29:28.734726+03:00,2020-12-07T05:24:20.96065+03:00,3.209,272.0,#008000,Золотая Нива,"3-комн. квартира, 73.3 м², 3/10 эт.",2020-12-07T02:34:20.279903Z
"Новосибирская область, Черепаново, улица Богдана Хмельницкого, 12",149917092,Марина Баталова,Resale,3241,2020-07-26T07:59:27.675689Z,"по всем вопросом пишите, звоните",72 м²,,,,,,3/3,72 м²,72.0,3,7,2741692353,Sale,/3-komnatnaya-kvartira-na-prodazhu-cherepanovo-2741692353,,1 550 000 ₽,21 528 ₽ за м²,21528,1550000,Apartment,2020-07-26T07:59:27.675689Z,78,Listing,3,3.0,2020-12-29T17:46:44.775691+03:00,1954911219,2020-07-26T10:49:10.18618+03:00,2020-11-29T17:46:44.775691+03:00,,,,,"3-комн. квартира, 72 м², 3/3 эт.",2020-11-29T14:55:49.483477Z
"ул. Сухарная, блок-секция 3, 4",17367072,"Агентство недвижимости ""Аванта""",New,3285,2020-11-24T09:59:11.469366Z,"Представляем Вашему Вниманию квартиру от надежного застройщика, в ЖК «Сосны».<br>ЖК «Сосны» - выбор тех, кто мечтает жить в красивом и спокойном месте с продуманной до мелочей инфраструктурой и впечатляющими пейзажами. Комплекс расположен в Заельцовском бору. Вы безусловно, оцените чистейший воздух, а также возможность прогуливаться в лесу.<br>В 5 минутах ходьбы от жилого комплекса “Сосны” база с роликовыми, лыжными, велосипедными и картинговыми дорожками, пляж с бассейном. Рядом все необходимое - супермаркеты, поликлиника, школы, детские сады, торговые центры.<br>Вы легко доберетесь от жилого комплекса в любую точку города. Отсюда всего 10 минут езды до площади Калинина и 15 минут - до площади Ленина. Жилой комплекс “Сосны” - уникальный проект, в котором сочетается близость к центру и экология.<br>О квартире:<br>Представляем Вашему вниманию 2 комнатную квартиру 75,58 м2.<br>Просторный коридор 10,79 м2.<br>Раздельный санузел.<br>Одна светлая комната 19,13 м2. , вторая просторная комната 23,34 м2, с выходом на застекленную лоджию.<br>Эргономичная кухня 12,96 м2., с выходом на застекленную лоджию, мечта каждой хозяйки и идеальное место для сбора всей семьи.<br>Агентство недвижимости «Аванта» находится по адресу: г. Новосибирск ул. Станиславского, 2/3, офис 201, и открыто для Вас пн-пт с 9.00 до 18.00,<br>Звоните и пишите по объекту с 8.00 до 22.00<br>Почему именно наше агентство:<br>· Мы БЕСПЛАТНО подберем и покажем Вам объект недвижимости в удобное для Вас время.<br>Скидки на ипотеку от банков-партнеров (Сбербанк, ВТБ, Газпромбанк, АИЖК, Россельхозбанк, Открытие, Банк Левобережный, Совкомбанк, Росбанк, Райффайзенбанк, Уральский банк Реконструкции и Развития, Промсвязьбанк и другие), при необходимости, поможем с одобрением, получим кредитное решение, ВОЗМОЖНО БЕЗ ПЕРВОНАЧАЛЬНОГО ВЗНОСА и без подтверждения дохода.<br>· Поможем грамотно воспользоваться средствами федерального материнского капитала, областного материнского капитала (на третьего и последующих детей).<br>Поможем распорядиться средствами материнского(семейного) капитала не дожидаясь исполнения ребенка 3х лет.<br>· Поможем воспользоваться субсидией многодетным семьям на погашение ипотеки (до 450 тыс. рублей — дополнительно к материнскому капиталу, на третьего и последующих детей, родившихся после 01.01.2019 года — до 31.12.2022 года)<br>· Юридическое сопровождение сделки любой сложности<br>· КОНСУЛЬТАЦИИ БЕСПЛАТНО<br>Выбор этажей по наличию уточняйте.<br>Звоните, записывайтесь на экскурсию. А для просмотра всех актуальных объявлений нажмите на синюю кнопку Агентства недвижимости «Аванта».",75.5 м²,69054.0,ЖК «Сосны»,69054.0,ЖК «Сосны»,653.0,4/17,75.5 м²,75.5,4,5,3028952181,Sale,/2-komnatnaya-kvartira-na-prodazhu-novosibirsk-3028952181,,5 300 000 ₽,70 199 ₽ за м²,70199,5300000,Apartment,2020-11-24T09:59:11.469366Z,78,Listing,2,2.0,2020-12-24T12:50:10.113116+03:00,2014823477,2020-11-24T12:49:43.812602+03:00,2020-11-24T12:50:10.113116+03:00,2.369,268.0,#008000,Площадь Гарина-Михайловского,"2-комн. квартира, 75.5 м², 4/17 эт.",2020-11-24T09:59:13.487206Z
"Новосибирск, Бронная улица, 29",84762483,Антон,New,3285,2020-11-29T05:36:22.456613Z,"Отличная однокомнатная квартира! С ремонтом, цена указана без мебели! Торг минимальный!",41.4 м²,,,,,655.0,4/10,41.4 м²,41.4,4,6,3039594475,Sale,/1-komnatnaya-kvartira-na-prodazhu-novosibirsk-3039594475,,2 170 000 ₽,52 415 ₽ за м²,52415,2170000,Apartment,2020-11-29T05:36:22.456613Z,78,Listing,1,1.0,2020-12-29T08:27:40.669785+03:00,2065689319,2020-11-29T08:26:59.201705+03:00,2020-12-03T05:56:28.089041+03:00,,,,,"1-комн. квартира, 41.4 м², 4/10 эт.",2020-12-03T03:05:54.528888Z
"Новосибирск, Киевская улица, 20",152810530,Центральное агентство недвижимости,Resale,3285,2020-11-24T02:47:51.174894Z,"В продаже большая, уютная, светлая трехкомнатная квартира. Застекленная лоджия. Всё подготовленной для реализации ваших желаний и идей в ремонте. Жилмассив обжитой, вся инфраструктура в шаговой доступности. Огромное количество садиков и школ в округе. Отличная транспортная развязка, есть возможность уехать в любом направлении.<br>При звонке, пожалуйста, назовите номер объявления - 114 926<br>Консультируем подробно по телефону.",60 м²,,,,,654.0,1/9,60 м²,60.0,1,28,3028082385,Sale,/3-komnatnaya-kvartira-na-prodazhu-novosibirsk-3028082385,267.0,3 050 000 ₽,50 833 ₽ за м²,50833,3050000,Apartment,2020-11-24T02:47:51.174894Z,78,Listing,3,3.0,2020-12-24T05:38:50.319181+03:00,2016673748,2020-11-24T05:38:25.277476+03:00,2020-12-08T05:24:40.068448+03:00,3.197,267.0,#FF0000,Площадь Маркса,"3-комн. квартира, 60 м², 1/9 эт.",2020-12-08T02:34:13.765548Z
"Новосибирская область, Тогучинский район, рабочий посёлок Горный, Поселковая улица, 3",193854318,Ольга Николаевна,Resale,3239,2020-12-05T01:07:32.302682Z,Продам или обменяю на 1-ком с вашей доплатой 3-х комнатную благоустроенную квартиру,68 м²,,,,,,2/2,68 м²,68.0,2,5,3053293329,Sale,/3-komnatnaya-kvartira-na-prodazhu-gornyy-3053293329,,1 400 000 ₽,20 588 ₽ за м²,20588,1400000,Apartment,2020-12-05T01:07:32.302682Z,78,Listing,3,3.0,2021-01-04T03:58:30.330605+03:00,2028881673,2020-12-05T03:58:08.143846+03:00,2020-12-06T15:01:59.06869+03:00,,,,,"3-комн. квартира, 68 м², 2/2 эт.",2020-12-06T12:11:01.19015Z
"Новосибирск, Степная улица, 36/1",81741770,Дарья,Resale,3285,2020-11-24T02:51:26.344681Z,"Очень уютная и тёплая 2-х комнатная квартира в центре левого берега! Комфортный второй этаж, улучшенная планировка, просторная кухня! Состояние квартиры отличное, выполнен качественный ремонт, заходи и живи! Вся инфраструктура в шаговой доступности, огороженная благоустроенная территория. Остаётся кухонный гарнитур, плита, прихожая. Документы готовы к быстрой продаже. Разумный торг уместен",67.4 м²,,,,,654.0,2/9,67.4 м²,67.4,2,11,3028083287,Sale,/2-komnatnaya-kvartira-na-prodazhu-novosibirsk-3028083287,267.0,5 900 000 ₽,87 537 ₽ за м²,87537,5900000,Apartment,2020-11-24T02:51:26.344681Z,78,Listing,2,2.0,2020-12-24T05:42:25.34689+03:00,2024125243,2020-11-24T05:41:59.774749+03:00,2020-12-01T11:31:09.129773+03:00,1.313,267.0,#FF0000,Площадь Маркса,"2-комн. квартира, 67.4 м², 2/9 эт.",2020-12-01T08:40:33.086047Z
