address,agencyId,agencyName,apartmentSaleType,cityId,createdAt,description,details,developmentId,developmentName,developmentParentId,developmentParentName,districtId,floor,floorArea,floorAreaCalculated,floorInt,galleryImagesCount,id,itemType,itemUrl,metroId,price,pricePerArea,pricePerAreaValue,priceValue,propertyType,publishDate,regionId,resultType,rooms,roomsOrdinal,sourceFinishTime,sourceId,sourceStartTime,sourceUpdateTime,station_distance,station_id,station_lineColors,station_name,title,updatedAt
"Новосибирск, Кировский район, Затулинский жилмассив, улица Зорге, 94, подъезд 2",124677124,Агент,Resale,3285,2020-11-24T06:45:32.795504Z,"Новый год, в новой квартире!<br>Просторная, с качественным ремонтом двухкомнатная квартира на втором этаже для вас.<br>Застекленная лоджия, комнаты изолированы.<br>Ванна сделана из мозаичной плитки.<br>В санузле раковина для умывания.<br>В качестве подарка к Новому году для новых хозяев остается кухонный гарнитур.<br>Во дворе детская площадка, волейбольная площадка.<br>Магазины, детские клубы, бассейн и стадион Фламинго, Ледовая арена, реконструированный Затулинский парк аттракционов и прогулочная аллея, кинотеатр Рассвет, кафе Кузина, школы, садики, детская и взрослая поликлиники – все в пешей доступности.<br>Так же хорошая транспортная развязка.<br>Любой вид расчета! Возможен обмен на вашу недвижимость.<br>Поможем бесплатно с оформлением ипотечного кредита!<br>ЗАПИШИТЕСЬ НА ПРОСМОТР!",67.6 м²,,,,,655.0,2/10,67.6 м²,67.6,2,22,3028366474,Sale,/2-komnatnaya-kvartira-na-prodazhu-novosibirsk-3028366474,,4 650 000 ₽,68 787 ₽ за м²,68787,4650000,Apartment,2020-11-24T06:45:32.795504Z,78,Listing,2,2.0,2020-12-24T09:36:55.387675+03:00,2018314214,2020-11-24T07:58:15.276389+03:00,2020-11-24T09:36:55.387675+03:00,,,,,"2-комн. квартира, 67.6 м², 2/10 эт.",2020-11-24T06:46:07.7351Z
"Новосибирск, Пролетарская улица, 271/5к1",189219913,CRYSTAL,Resale,3285,2020-09-18T10:25:55.649352Z,"В продаже светлая, просторная полноценная 1 ком квартира. В экологически чистом районе на высоком 1-ом этаже. В квартире выполнен ремонт с использованием качественных материалов Сдача дома в октябре. Вся инфраструктура в шаговой доступности . Хорошая транспортная развязка. Рядом находится сосновый бор, планетарий, колесо обозрение. Один взрослый собственник! Ждем на просмотр. Чистая продажа.",37 м²,,,,,650.0,1/10,37 м²,37.0,1,31,2872255117,Sale,/1-komnatnaya-kvartira-na-prodazhu-novosibirsk-2872255117,,2 470 000 ₽,66 757 ₽ за м²,66757,2470000,Apartment,2020-09-18T10:25:55.649352Z,78,Listing,1,1.0,2020-12-29T13:24:15.808683+03:00,1990995335,2020-09-18T13:16:24.440152+03:00,2020-11-29T13:24:15.808683+03:00,,,,,"1-комн. квартира, 37 м², 1/10 эт.",2020-11-29T10:33:18.219243Z
"Новосибирская область, Новосибирский район, посёлок Кудряшовский, Октябрьская улица, 15",13751477,Антон,Resale,3282,2020-11-25T03:48:03.791083Z,"ИДЕАЛЬНОЕ ПРЕДЛОЖЕНИЕ ДЛЯ ПОКУПКИ ПОД СЕЛЬСКУЮ ИПОТЕКУ.<br>УСПЕЙТЕ КУПИТЬ ДО КОНЦА ГОДА ПОД НАИМЕНЬШУЮ СТАВКУ НА РЫНКЕ.<br>Продается просторная 4ех комнатная квартира (с возможностью переделать в 4ех комнатную студию объединив гостиную с кухней), в экологически чистом районе, в Кудряшах. Во всех 3ех спальнях окна выходят на реку Обь - открывается прекрасный вид, гостиная и кухня во двор. Рядом школа, детский сад, оздоровительный комплекс, магазины, поликлиника, ледовый дворец Спорта, администрация, аптека. Весь поселок окружен сосновым бором, до пляжа всего 500 метров. До остановки 5 минут.<br>ТОРГ<br>ПРИХОДИТЕ НА ПРОСМОТР. ПОМОЩЬ В ПОЛУЧЕНИИ КРЕДИТНОГО РЕШЕНИЯ.",87 м²,,,,,,5/5,87 м²,87.0,5,24,3030491053,Sale,/3-komnatnaya-kvartira-na-prodazhu-kudryashovskiy-3030491053,,3 800 000 ₽,43 678 ₽ за м²,43678,3800000,Apartment,2020-11-25T03:48:03.791083Z,78,Listing,3,3.0,2020-12-25T06:40:38.859613+03:00,2035685592,2020-11-25T06:38:08.260803+03:00,2020-12-09T06:27:43.674336+03:00,,,,,"3-комн. квартира, 87 м², 5/5 эт.",2020-12-09T03:37:12.425775Z
"Новосибирская область, Бердск, улица Карла Маркса, 1/1",32787856,наталья,Resale,3279,2020-12-03T01:20:36.100002Z,"квартира -студия в новом доме, под самоотделку. В квартире два окна, мо<br>жно зонировать пространство на свое усмотрение. Возможны все виды расчета.",34 м²,,,,,,4/16,34 м²,34.0,4,0,3048687329,Sale,/kvartira-na-prodazhu-berdsk-3048687329,,1 930 000 ₽,56 765 ₽ за м²,56765,1930000,Apartment,2020-12-03T01:20:36.100002Z,78,Listing,Студия,,2021-01-02T04:11:56.475461+03:00,2062390877,2020-12-03T04:10:35.612817+03:00,2020-12-03T04:11:56.475461+03:00,,,,,"Квартира-студия, 34 м², 4/16 эт.",2020-12-03T01:21:01.949545Z
"Новосибирск, улица Тюленина, 21",170121642,VDOME недвижимость,Resale,3285,2020-11-16T12:43:59.362672Z,"Полноценная однокомнатная квартира с большой застекленной лоджией <br>1 собственник. В квартире сделан качественный ремонт под себя. Содержится все в чистоте и порядке<br>2 лифта, один из которых останавливается  сразу после тамбура, вам не придется нести коляску с малышом по лестнице или поднимать тяжелый груз.<br>Окна выходят в тихий, благоустроенный двор. Много парковочных  мест, за домом большой парк. <br>Рядом есть все необходимое :Лента, Ашан, Леруа Мерлен, все сетевые супермаркеты, аптеки, детская и взрослые поликлиники.<br>Несколько школ рядом и детских садов ( 2 минуты пешком  дет/сад Непоседа и новая школа № 218)<br>В общем город в городе<br>Все готово для выхода на сделку",31 м²,,,,,648.0,7/10,31 м²,31.0,7,20,3010265941,Sale,/1-komnatnaya-kvartira-na-prodazhu-novosibirsk-3010265941,,2 650 000 ₽,85 484 ₽ за м²,85484,2650000,Apartment,2020-11-16T12:43:59.362672Z,78,Listing,1,1.0,2020-12-16T15:34:57.726221+03:00,2024551135,2020-11-16T15:34:34.075033+03:00,2020-12-08T08:50:44.807291+03:00,,,,,"1-комн. квартира, 31 м², 7/10 эт.",2020-12-08T05:59:49.196374Z
"Новосибирск, улица Сибиряков-Гвардейцев, 82",170121642,VDOME недвижимость,Resale,3285,2020-11-16T12:44:00.488487Z,"В продаже квартира улучшенной планировки в ЖК Тихие Зори. Просторная и уютная квартира с ремонтом на 1 этаже с застекленной лоджией, линолеум, хорошие межкомнатные двери, новая входная дверь, место под гардеробную. Чистый подъезд, хорошие дружные соседи. Большой, тихий и уютный двор с детской площадкой, большое количество парковочных мест. Все необходимое для комфортной жизни в шаговой доступности. Гимназия №7, детский центр досуга Островок детства, поликлиника №22, ателье, парикмахерская, магазины. Обременений нет. Один взрослый собственник. Подходит под любой вид расчета.",37.2 м²,,,,,655.0,1/10,37.2 м²,37.2,1,19,3010266000,Sale,/1-komnatnaya-kvartira-na-prodazhu-novosibirsk-3010266000,,2 250 000 ₽,60 484 ₽ за м²,60484,2250000,Apartment,2020-11-16T12:44:00.488487Z,78,Listing,1,1.0,2020-12-16T15:34:57.620227+03:00,2024791572,2020-11-16T15:34:32.045891+03:00,2020-12-07T12:13:04.985694+03:00,,,,,"1-комн. квартира, 37.2 м², 1/10 эт.",2020-12-07T09:22:29.553198Z
"Новосибирск, Советский район, микрорайон Академгородок, улица Арбузова, 3",170121642,VDOME недвижимость,Resale,3285,2020-10-13T12:43:41.168907Z,"Предлагается к покупке уютная квартира с лучшей планировкой - на две стороны. Теплый кирпичный дом, расположенный в экологически чистом и престижном Академгородке (микрорайон Щ), рядом лес, 15 минут на авто до парка отдыха Звезда. Отлично развита инфраструктура микрорайона - в шаговой доступности школа, детские сады, спортивные и развлекательные комплексы, магазины, банки, медицинские учреждения и многое другое. Шикарно развитая транспортная составляющая жилого массива. В квартире тепло, свежие обои, хороший линолеум. Идеальное жилье для всех. Ждем Вас на просмотр!",50.2 м²,,,,,656.0,1/5,50.2 м²,50.2,1,20,2926848331,Sale,/2-komnatnaya-kvartira-na-prodazhu-novosibirsk-2926848331,,3 873 000 ₽,77 151 ₽ за м²,77151,3873000,Apartment,2020-10-13T12:43:41.168907Z,78,Listing,2,2.0,2020-12-13T15:30:47.801357+03:00,1992434721,2020-10-13T15:34:14.572336+03:00,2020-12-07T15:39:33.549017+03:00,,,,,"2-комн. квартира, 50.2 м², 1/5 эт.",2020-12-07T12:49:20.863417Z
"Новосибирск, Советская улица, 8",163831226,Компания Елка МФЦ Недвижимость,Resale,3285,2020-11-27T08:47:39.322161Z,"Арт. 43896451 Вашему вниманию предлагается   3-комнатная квартира - студия (перепланировка согласована): светлая просторная кухня-гостиная, детская, спальня с самостоятельной гардеробной. Ремонт сделан по дизайн-проекту в 2019 году. В рамках ремонта полностью заменена электропроводка, трубы и сантехника. В квартире останется вся мебель и бытовая техника с текстилем. Экономные коммунальные платежи. Все готово для комфортного проживания в центре Столицы Сибири. Приходите, смотрите, покупайте!!!",69 м²,,,,,649.0,2/10,69 м²,69.0,2,23,3035873969,Sale,/3-komnatnaya-kvartira-na-prodazhu-novosibirsk-3035873969,263.0,10 500 000 ₽,152 174 ₽ за м²,152174,10500000,Apartment,2020-11-27T08:47:39.322161Z,78,Listing,3,3.0,2020-12-27T11:38:38.396668+03:00,2072030041,2020-11-27T11:38:12.680813+03:00,2020-12-07T14:29:54.810976+03:00,0.72,263.0,#FF0000,Площадь Ленина,"3-комн. квартира, 69 м², 2/10 эт.",2020-12-07T11:48:46.865204Z
"Новосибирск, Кедровая улица, 59",16765573,Мария,Resale,3285,2020-11-24T07:09:49.832191Z,"Продается первоклассная двухкомнатная квартира площадью 70 м2 в уникальном месте Новосибирска - ЖК 'Кедровый', отличительной особенностью комплекса является высокое качество строительства, премиальная отделка мест общего пользования и высокий уровень комфорта жизни людей, живущих здесь. <br>Территория комплекса благоустроена - пейзажная парковая зона с домами в классическом кирпичном исполнении, окруженная зеленью. Ландшафтный парк комплекса представлен разнообразием фауны, прудами, ручьями и фонтанами, а также газонами, альпийскими горками и беседками для отдыха. <br>Абсолютная чистота и порядок круглый год! <br>На объекте выполнен современный ремонт, с использованием качественных отделочных материалов:<br>* паркетная доска - дуб натуральный брашированный, Par-ky (Бельгия)<br>* межкомнатные двери - tre-p шпон полиссандра (Италия)<br>* сантехника и скрытые элементы - hansgrohe.<br>* ванна - чугун (Roca), раковина IDO фарфор (Финляндия)<br>* двери встроенных шкофов - Raumplus (Германия)<br>* техника на кухне - Whirlpoor.<br>Квартира полностью готова к сделке: чистая продажа, один собственник, без обременений, большая часть мебели останется новому хозяину.",70 м²,,,,,653.0,4/5,70 м²,70.0,4,23,3028453527,Sale,/2-komnatnaya-kvartira-na-prodazhu-novosibirsk-3028453527,,8 500 000 ₽,121 429 ₽ за м²,121429,8500000,Apartment,2020-11-24T07:09:49.832191Z,78,Listing,2,2.0,2020-12-24T10:05:08.193849+03:00,2018924664,2020-11-24T09:57:45.967856+03:00,2020-11-24T10:05:08.193849+03:00,,,,,"2-комн. квартира, 70 м², 4/5 эт.",2020-11-24T07:14:11.174798Z
"Новосибирск, улица Станиславского, 44",71368327,Открытый Город,Resale,3285,2020-09-21T11:45:49.026131Z,"Светлая и уютная квартира в хорошем состоянии, поменяна эл. проводка, заменены радиаторы отопления. Также хочется отметить что непосредственно от дома находиться всё необходимое для повседневной жизни, школа, садики, поликлиника, остановка общественного транспорта, магазины и многое другое. Подойдёт любой расчёт.",44 м²,,,,,654.0,1/5,44 м²,44.0,1,14,2878796343,Sale,/2-komnatnaya-kvartira-na-prodazhu-novosibirsk-2878796343,267.0,2 750 000 ₽,62 500 ₽ за м²,62500,2750000,Apartment,2020-09-21T11:45:49.026131Z,78,Listing,2,2.0,2020-12-25T14:21:22.504484+03:00,1989711908,2020-09-21T14:36:23.672368+03:00,2020-11-25T14:21:22.504484+03:00,2.078,267.0,#FF0000,Площадь Маркса,"2-комн. квартира, 44 м², 1/5 эт.",2020-11-25T11:30:30.856921Z
