address,agencyId,agencyName,apartmentSaleType,cityId,createdAt,description,details,districtId,floor,floorArea,floorAreaCalculated,floorInt,galleryImagesCount,id,itemType,itemUrl,metroId,price,pricePerArea,pricePerAreaValue,priceValue,propertyType,publishDate,regionId,resultType,rooms,roomsOrdinal,sourceFinishTime,sourceId,sourceStartTime,sourceUpdateTime,station_distance,station_id,station_lineColors,station_name,title,updatedAt
"Новосибирск, улица Толстого, 5",152810530,Центральное агентство недвижимости,Resale,3285,2020-10-05T12:41:00.724647Z,"В продаже просторная, светлая квартира в элитном доме, настоящая качественная кирпичная кладка, толстые стены, современные дома уже так не строят.<br>Отличное расположение: до м. Октябрьская всего 5 минут пешком.<br>Прекрасная планировка, три просторные комнаты 28,1 кв. м., 20,2 кв.м., 19,6 кв.м.  большая кухня 16,2 кв. м. просторная ванная комната 7,2 кв.м. Высота потолков- 3 м.<br>Две лоджии на две стороны дома. В соседнем дворе детский сад, ясли школа. Очень много кружков и спортивных секций для детей. Рядом сквер около ГПНТБ- отличное место для прогулок и отдыха всей семьей, продуктовый супермаркет Бахетле, медицинские центры, салоны красоты и все, что нужно для комфортной жизни- все в шаговой доступности.<br>Дом расположен внутри квартала, тишина и чистота. Хорошие соседи.<br>Дом образцового содержания, огороженный, ухоженный двор, во дворе детская площадка. Видеонаблюдение.<br>В квартире выполнен качественный, дорогой ремонт. Можно заехать и жить, либо, при желании, обновить интерьер на свой вкус.<br>При звонке, пожалуйста, назовите номер объявления - 101 857<br>Консультируем подробно по телефону.",120 м²,650.0,4/10,120 м²,120.0,4,24,2909404487,Sale,/3-komnatnaya-kvartira-na-prodazhu-novosibirsk-2909404487,264.0,9 500 000 ₽,79 167 ₽ за м²,79167,9500000,Apartment,2020-10-05T12:41:00.724647Z,78,Listing,3,3,2021-01-05T15:37:36.877149+03:00,1984460603,2020-10-05T15:31:06.43955+03:00,2020-12-07T05:23:30.995993+03:00,0.375,264.0,#FF0000,Октябрьская,"3-комн. квартира, 120 м², 4/10 эт.",2020-12-07T02:33:39.519646Z
"Новосибирск, Советская улица, 101",152810530,Центральное агентство недвижимости,Resale,3285,2020-04-29T01:12:41.151397Z,"Предлагаем к продаже отличную, большую, однокомнатную квартиру в Центральной части нашего города. Очень удачное месторасположение дома. Большая кухня.Просторная прихожая. Остекленная лоджия. Пластиковые окна. Новая проводка. Заменены сантехнические трубы.Чистый подъезд. Спокойные соседи. Окна во двор. Прекрасная детская площадка. Много зелени. Тихо и спокойно.До метро несколько минут прогулочным шагом.  Один собственник. Подходит под любой вид расчета. Торг оговаривается. Поможем в получении положительного ипотечного решения. Полное юридическое сопровождение сделки. Приглашаем на просмотр.<br>При звонке, пожалуйста, назовите номер объявления - 171 618<br>Консультируем подробно по телефону.",39 м²,652.0,1/9,39 м²,39.0,1,27,2520784622,Sale,/1-komnatnaya-kvartira-na-prodazhu-novosibirsk-2520784622,261.0,3 850 000 ₽,98 718 ₽ за м²,98718,3850000,Apartment,2020-04-29T01:12:41.151397Z,78,Listing,1,1,2021-01-05T15:37:41.415449+03:00,1888742040,2020-04-28T12:34:37.986202+03:00,2020-12-06T15:37:41.415449+03:00,0.461,261.0,#FF0000,Гагаринская,"1-комн. квартира, 39 м², 1/9 эт.",2020-12-06T12:46:43.208674Z
"Новосибирск, Фасадная улица, 25",152810530,Центральное агентство недвижимости,Resale,3285,2020-10-05T12:40:55.043025Z,"В продаже замечательная 3-х  комнатная квартира в кирпичном доме. Окна выходят  на обе стороны дома, 2-а балкона. В квартире сделан ремонт : В комнатах нятяжной потолок с точечными светильниками.   В сан / узле и в ванной  выложен современный кафель. Установлены пластиковые окна, заменены все двери. Один балкон остеклен пластиком. <br>Все комнаты изолированы.<br>Приглашаем на просмотр в удобное для вас время.<br>При звонке, пожалуйста, назовите номер объявления - 35 910<br>Консультируем подробно по телефону.",60 м²,654.0,5/5,60 м²,60.0,5,20,2909404076,Sale,/3-komnatnaya-kvartira-na-prodazhu-novosibirsk-2909404076,267.0,3 170 000 ₽,52 833 ₽ за м²,52833,3170000,Apartment,2020-10-05T12:40:55.043025Z,78,Listing,3,3,2021-01-05T15:37:44.524038+03:00,1984502510,2020-10-05T15:31:05.881708+03:00,2020-12-07T05:23:40.41157+03:00,4.682,267.0,#FF0000,Площадь Маркса,"3-комн. квартира, 60 м², 5/5 эт.",2020-12-07T02:33:51.208574Z
"Новосибирск, Ленинский район, микрорайон Горский, 74",152810530,Центральное агентство недвижимости,Resale,3285,2020-05-29T00:17:31.972612Z,"О квартире, она после ремонта. Живи и радуйся.<br>Еще плюсы:<br>1) Высокий первый этаж, как в некоторых домах, на уровне второго. Под нами офис орифлэйм, пол очень тёплый.<br>2) Отличный ремонт. Ванная полностью новая. Лоджия остеклена и окна во двор<br>3) Квартира очень теплая и уютная. Закрытый тамбур от коридора на три квартиры<br>4)Прямо под окнами, практически всегда есть парковочное место<br>5)Много зелени летом, очень хорошее ТСЖ, постоянно чистят снег и следят за двором<br>6) В соседнем доме Сбербанк, кафе и много магазинов<br>7) По прописке новая Школа 212 и новый детский садик. В доме Лего клуб и куча развивашек рядом, включая бассейн<br> Помощь в получении ипотечного решения на выгодных условиях. Юридическое сопровождение на всех этапах сделки. Гарантийные обязательства ООО   Центральное агенство недвижимости  на весь срок владения квартирой. Консультируем по всем вопросам в свере недвижимости.<br>При звонке, пожалуйста, назовите номер объявления - 52 450<br>Консультируем подробно по телефону.",43 м²,654.0,1/10,43 м²,43.0,1,15,2594136044,Sale,/1-komnatnaya-kvartira-na-prodazhu-novosibirsk-2594136044,266.0,3 300 000 ₽,76 744 ₽ за м²,76744,3300000,Apartment,2020-05-29T00:17:31.972612Z,78,Listing,1,1,2021-01-05T15:37:46.559547+03:00,1920489525,2020-05-28T05:14:55.918193+03:00,2020-12-08T05:24:35.878674+03:00,0.985,266.0,#FF0000,Студенческая,"1-комн. квартира, 43 м², 1/10 эт.",2020-12-08T02:34:07.325273Z
"Новосибирская область, Бердск, улица Кутузова, 1",152810530,Центральное агентство недвижимости,Resale,3279,2020-09-03T11:39:53.561636Z,"Предлагаем тёплую и уютную квартиру в хорошем районе Беpдскa. С ухоженном двориком, на котором находится детская площадка, а вокруг асфальтированные дорожки для прогулок.<br>Проезд на общественном транспорте, вас приятно удивит: маршрутное такси в Академгородок, в Новосибирск ходит с коротким интервалом. Рядом с домом находятся магазины, школа, детский сад, поликлиника. Coлнeчная сторoнa. <br>В квартире, сделан ремонт: заменили электропроводку, вставили новые межкомнатные двери, установили входную дверь и пластиковые окна.<br>Спешите на просмотр и покупку.<br>Центральное Агентство Недвижимости подготовит Вам безопасную технологию по Вашей сделке, Свидетельство о материальной ответственности на приобретенный Вами объект недвижимости. (СМО). В банках-партнерах есть особые условия для наших Клиентов. <br>Индивидуальный подход к покупателю. <br>Ждем предложений на обмен альтернативной квартиры выше этажом.<br>Рассмотрим любую форму расчетов.<br>При звонке, пожалуйста, назовите номер объявления - 190 204<br>Консультируем подробно по телефону.",31 м²,,1/5,31 м²,31.0,1,14,2836358164,Sale,/1-komnatnaya-kvartira-na-prodazhu-berdsk-2836358164,,1 700 000 ₽,54 839 ₽ за м²,54839,1700000,Apartment,2020-09-03T11:39:53.561636Z,78,Listing,1,1,2021-01-05T15:37:50.210238+03:00,1984300158,2020-09-03T14:27:47.297211+03:00,2020-12-06T15:37:50.210238+03:00,,,,,"1-комн. квартира, 31 м², 1/5 эт.",2020-12-06T12:46:53.804664Z
"Новосибирская область, Новосибирский район, Мочищенский сельсовет, дачный посёлок Мочище, Нагорная улица, 30/3",152810530,Центральное агентство недвижимости,Resale,3285,2020-09-03T13:05:39.625728Z,"Жилой комплекс  Молодёжный  состоит из 4 трёхэтажных жилых домов. Комплекс расположен на территории д. п. Мочище в центральной его части.Территория огорожена и охраняема, установлено круглосуточное видеонаблюдение. Отличный вариант для молодой семьи. Уютная светлая квартира в новом кирпичном доме на комфортном этаже с современным ремонтом, не требует дополнительных вложений. В квартире две лоджии на две стороны. Прекрасные виды на реку Обь и лес. Рядом: школа, магазин, остановка. До станции метро Заельцовская 20 минут. Приглашаем на просмотр в удобное для Вас время. <br>При звонке, пожалуйста, назовите номер объявления - 87 656<br>Консультируем подробно по телефону.",47.7 м²,,3/3,47.7 м²,47.7,3,21,2836593116,Sale,/2-komnatnaya-kvartira-na-prodazhu-novosibirsk-2836593116,,2 800 000 ₽,58 700 ₽ за м²,58700,2800000,Apartment,2020-09-03T13:05:39.625728Z,78,Listing,2,2,2021-01-05T15:37:50.306901+03:00,1984179150,2020-09-03T15:56:11.445122+03:00,2020-12-08T05:24:36.585718+03:00,,,,,"2-комн. квартира, 47.7 м², 3/3 эт.",2020-12-08T02:34:07.754748Z
"Новосибирск, Ветлужская улица, 20",152810530,Центральное агентство недвижимости,Resale,3285,2020-06-26T00:50:50.927048Z,"Представляем Вашему вниманию 1 комнатную квартиру на среднем этаже в доме классической кирпичной кладки. Квартира светлая и теплая, балкон застеклен, в с/узле отделка кафелем, установленны пластиковые окна. Удачное местоположения дома, в шаговой доступности 3 детских сада, школа начальная и среднеобразовательная, рынок, магазины и остановки общественного транспорта во всех направлениях. Близость парка  У Моря Обского  и набережной обеспечат ваш досуг незабываемыми впечатлениями.<br>Без обременений. Документы готовы к сделке. Подходит под любые варианты расчетов.<br>Звоните. Организуем показ. Помощь в получении положительного ипотечного решения.<br>Преференции (скидки) в банках-партнерах.<br>Ждем Вас на просмотры. Аргументированный торг.<br>При звонке, пожалуйста, назовите номер объявления - 99 966<br>Консультируем подробно по телефону.",29.9 м²,656.0,3/5,29.9 м²,29.9,3,15,2668087447,Sale,/1-komnatnaya-kvartira-na-prodazhu-novosibirsk-2668087447,,1 950 000 ₽,65 217 ₽ за м²,65217,1950000,Apartment,2020-06-26T00:50:50.927048Z,78,Listing,1,1,2021-01-05T15:37:50.523282+03:00,1920403601,2020-06-25T05:18:07.368061+03:00,2020-12-06T15:37:50.523282+03:00,,,,,"1-комн. квартира, 29.9 м², 3/5 эт.",2020-12-06T12:46:53.393407Z
"Новосибирск, Советский район, микрорайон Академгородок, улица Мусы Джалиля, 12",152810530,Центральное агентство недвижимости,Resale,3285,2020-10-05T02:25:14.369369Z,"Продается уютная 3х-комнатная квартира в тихом районе Нижней зоны Академгородка. Квартира перепланирована в студию, все комнаты изолированы. Комнаты 11,6 и 11,8 кв.м., кухня-гостиная 15,3 кв.м. Перепланировка узаконена. <br>В шаговой доступности школы, дет.сады, продовольственные магазины «Магнит» и «Холлидей Классик», спортивный комплекс с бассейном «Ремикс», Сбербанк. Рядом остановки общественного транспорта, станция «Сеятель». <br>Просмотр в любое время, по предварительной договоренности.<br>Приобретая эту квартиру, Вы можете получить финансовые гарантии Центрального Агентства Недвижимости на полную стоимость объекта.<br>Возможен обмен на вашу недвижимость в любую сторону.<br>При звонке, пожалуйста, назовите номер объявления - 141 048<br>Консультируем подробно по телефону.",50 м²,656.0,3/5,50 м²,50.0,3,15,2908131676,Sale,/3-komnatnaya-kvartira-na-prodazhu-novosibirsk-2908131676,,4 400 000 ₽,88 000 ₽ за м²,88000,4400000,Apartment,2020-10-05T02:25:14.369369Z,78,Listing,3,3,2021-01-05T15:37:50.749436+03:00,1984372567,2020-10-05T05:15:43.382092+03:00,2020-12-09T05:19:41.157937+03:00,,,,,"3-комн. квартира, 50 м², 3/5 эт.",2020-12-09T02:29:10.321974Z
"Новосибирск, улица Олеко Дундича, 21/1",152810530,Центральное агентство недвижимости,Resale,3285,2020-06-26T01:29:30.93813Z,"Предлагается к продаже отличная квартира. Комнаты изолированы .Один собственник. Во дворе оборудованная детская площадка, а также всегда есть место для парковки . Дом расположен крайне удачно: в непосредственной близости школы, детские сады, аптеки, магазины, несколько спортивных комплексов и так далее. Остановки общественного транспорта в пяти минутах ходьбы. Кроме того, в шаговой доступности сосновый бор, который позволит Вам гулять  на свежем воздухе.<br>При звонке, пожалуйста, назовите номер объявления - 79 588<br>Консультируем подробно по телефону.",42 м²,648.0,3/5,42 м²,42.0,3,14,2668714437,Sale,/2-komnatnaya-kvartira-na-prodazhu-novosibirsk-2668714437,271.0,2 950 000 ₽,70 238 ₽ за м²,70238,2950000,Apartment,2020-06-26T01:29:30.93813Z,78,Listing,2,2,2021-01-05T15:37:51.081718+03:00,1920234713,2020-06-25T05:18:07.262404+03:00,2020-12-07T05:23:48.883815+03:00,3.784,271.0,#008000,Берёзовая роща,"2-комн. квартира, 42 м², 3/5 эт.",2020-12-07T02:34:03.474901Z
"Новосибирская область, Чановский район, курортный посёлок Озеро-Карачи, Школьная улица, 34",152810530,Центральное агентство недвижимости,Resale,3247,2020-09-04T11:31:12.661567Z,"Курорт «Озеро Карачи» — курорт федерального значения, расположенный в самом центре экологически чистой зоны Барабинской степи.   Главные богатства курорта – соленое лечебное озеро Карачи, содержащее сульфидно-иловую грязь и рапу (вода озера, насыщенная минеральными солями), а также минеральная вода, получаемая из глубинной скважины. Курорт «Озеро Карачи» благоустроен и оснащен центральными коммуникациями, асфальтированными дорогами и пешеходными дорожками для прогулок. Он постоянно растёт и развивается: строятся новые дома, коттеджи, а также места общественного назначения. В посёлке имеется развитая инфраструктура:  школа, 2 детских сада, больница, магазины, кафе, банк, почта, ж/д вокзал, детский лагерь, детский санаторий, 2 градообразующих предприятия: завод минеральных вод «Карачинский источник» и  санаторий «Озеро Карачи», который является сибирской здравницей и в котором 2016 году была  проведена полная реконструкция. <br>Ближайшие областные центры: г. Новосибирск — 429 км. и г. Омск — 262 км. <br>Ближайшие аэропорты расположены в городах Омск и Новосибирск. <br>Ближайшие ж/д станции: «Озеро Карачинское», «Чаны», «Татарск», «Барабинск». <br>Документы готовы. Подходит под сельскую ипотеку.<br>При звонке, пожалуйста, назовите номер объявления - 199 972<br>Консультируем подробно по телефону.",40 м²,,5/5,40 м²,40.0,5,13,2838657194,Sale,/2-komnatnaya-kvartira-na-prodazhu-chany-2838657194,,1 100 000 ₽,27 500 ₽ за м²,27500,1100000,Apartment,2020-09-04T11:31:12.661567Z,78,Listing,2,2,2021-01-05T15:37:51.196639+03:00,1984129950,2020-09-04T14:21:42.268464+03:00,2020-12-07T05:23:48.200408+03:00,,,,,"2-комн. квартира, 40 м², 5/5 эт.",2020-12-07T02:33:55.219699Z
