address,agencyId,agencyName,apartmentSaleType,cityId,createdAt,description,details,developmentId,developmentName,developmentParentId,developmentParentName,districtId,floor,floorArea,floorAreaCalculated,floorInt,galleryImagesCount,id,itemType,itemUrl,metroId,price,pricePerArea,pricePerAreaValue,priceValue,propertyType,publishDate,regionId,resultType,roadId,rooms,roomsOrdinal,sourceFinishTime,sourceId,sourceStartTime,sourceUpdateTime,station_distance,station_id,station_lineColors,station_name,title,updatedAt
"ул. Восточная/Центральная, д. 43",71368327,Открытый Город,New,3287,2020-03-26T01:14:42.06719Z,"Предлагаем двухкомнатную квартиру общей площадью 72,45 кв м в ЖК Бавария!!! Сдача 4 кв 2021 года! СЕЛЬСКАЯ ИПОТЕКА 2,7%!!! КОМИССИЯ АГЕНТСТВА 0%!!! Жилой комплекс «Бавария» — это комфорт и эстетика немецкого городка на фоне сибирской природы. Покой загородной жизни — в 15 минутах от мегаполиса. Жилой комплекс продолжает историю развития экологичного и безопасного пригорода Новосибирска — посёлка Краснообск. Четырёхэтажные кирпичные дома с полногабаритными квартирами располагаются на закрытой и охраняемой территории. С востока и северо-востока её обрамляет лес, за которым в 15 минутах ходьбы — река Обь, с юга — дендропарк. Залитые солнцем квартиры не потребуют много времени для ремонта: стены и пол уже выровнены, биметаллические радиаторы и противовзломные входные двери установлены. На расстоянии до одного километра от «Баварии» находятся: средние общеобразовательные школы №1 и №2, лицей №13; детские музыкальная и художественная школы; детские сады «Дельфин», «Теремок» и «Чебурашка»; лингвистический центр «СибТайм», отделения коммерческих банков «Акцепт» и «Сбербанк»; бассейн; нотариальная контора; супермаркеты; cоциальный медико-фармацевтический центр и аптека; администрация Краснообска. Помощь в получении ипотеки.",72.5 м²,23982.0,ЖК «Бавария»,23982.0,ЖК «Бавария»,,1/4,72.5 м²,72.5,1,17,2435688652,Sale,/2-komnatnaya-kvartira-na-prodazhu-krasnoobsk-2435688652,,5 915 035 ₽,81 587 ₽ за м²,81587,5915035,Apartment,2020-03-26T01:14:42.06719Z,78,Listing,,2,2.0,2020-12-30T08:53:37.385409+03:00,1893115627,2020-03-25T07:45:56.349948+03:00,2020-12-07T09:45:06.982346+03:00,,,,,"2-комн. квартира, 72.5 м², 1/4 эт.",2020-12-07T07:01:00.91696Z
"Новосибирск, улица Ключ-Камышенское Плато, 15, подъезд 1",188910262,Антон,Resale,3285,2020-12-04T12:53:41.840955Z,"Продам светлую уютную квартиру, ремонт выполнен из качественных материалов, хорошая шумоизоляционная дверь, балкон застеклен. Прекрасный спальный район. Рядом два д/с, школа, остановка общественного транспорта, горнолыжный комплекс, вокруг лес и свежий воздух. До станции метро 15 минут. Юридически чиста, право собственности получено, один собственник, подходит под ипотеку, мат. капитал и прочее. Показ по договоренности в удобное для вас время.",36 м²,,,,,650.0,1/10,36 м²,36.0,1,12,3052528623,Sale,/1-komnatnaya-kvartira-na-prodazhu-novosibirsk-3052528623,,2 790 000 ₽,77 500 ₽ за м²,77500,2790000,Apartment,2020-12-04T12:53:41.840955Z,78,Listing,,1,1.0,2021-01-03T15:44:40.39507+03:00,2068796983,2020-12-04T15:44:17.754609+03:00,2020-12-04T15:52:36.663838+03:00,,,,,"1-комн. квартира, 36 м², 1/10 эт.",2020-12-04T13:02:03.879725Z
"ул. Восточная/Центральная, д. 40",71368327,Открытый Город,New,3287,2020-03-26T02:07:26.429021Z,"Предлагаем двухкомнатную квартиру общей площадью 59,99 кв м в ЖК Бавария!!! Сдача 4 кв 2021 года! СЕЛЬСКАЯ ИПОТЕКА 2,7%!!! КОМИССИЯ АГЕНТСТВА 0%!!! Жилой комплекс «Бавария» — это комфорт и эстетика немецкого городка на фоне сибирской природы. Покой загородной жизни — в 15 минутах от мегаполиса. Жилой комплекс продолжает историю развития экологичного и безопасного пригорода Новосибирска — посёлка Краснообск. Четырёхэтажные кирпичные дома с полногабаритными квартирами располагаются на закрытой и охраняемой территории. С востока и северо-востока её обрамляет лес, за которым в 15 минутах ходьбы — река Обь, с юга — дендропарк. Залитые солнцем квартиры не потребуют много времени для ремонта: стены и пол уже выровнены, биметаллические радиаторы и противовзломные входные двери установлены. На расстоянии до одного километра от «Баварии» находятся: средние общеобразовательные школы №1 и №2, лицей №13; детские музыкальная и художественная школы; детские сады «Дельфин», «Теремок» и «Чебурашка»; лингвистический центр «СибТайм», отделения коммерческих банков «Акцепт» и «Сбербанк»; бассейн; нотариальная контора; супермаркеты; cоциальный медико-фармацевтический центр и аптека; администрация Краснообска. Помощь в получении ипотеки.",60 м²,23982.0,ЖК «Бавария»,23982.0,ЖК «Бавария»,,3/4,60 м²,60.0,3,11,2436499298,Sale,/2-komnatnaya-kvartira-na-prodazhu-krasnoobsk-2436499298,,4 419 463 ₽,73 658 ₽ за м²,73658,4419463,Apartment,2020-03-26T02:07:26.429021Z,78,Listing,,2,2.0,2020-12-30T08:53:42.3668+03:00,1893899506,2020-03-25T07:39:37.941909+03:00,2020-12-07T09:43:10.287221+03:00,,,,,"2-комн. квартира, 60 м², 3/4 эт.",2020-12-07T06:52:34.973495Z
"ул. Восточная/Центральная, д. 46",71368327,Открытый Город,New,3287,2019-09-20T00:51:17.538157Z,"Предлагаем двухкомнатную квартиру общей площадью 63,33 кв м в ЖК Бавария!!! Сдача 4 кв 2021 года! СЕЛЬСКАЯ ИПОТЕКА 2,7%!!! КОМИССИЯ АГЕНТСТВА 0%!!!<br>Жилой комплекс «Бавария» — это комфорт и эстетика немецкого городка на фоне сибирской природы. Покой загородной жизни — в 15 минутах от мегаполиса. Жилой комплекс продолжает историю развития экологичного и безопасного пригорода Новосибирска — посёлка Краснообск. Четырёхэтажные кирпичные дома с полногабаритными квартирами располагаются на закрытой и охраняемой территории. С востока и северо-востока её обрамляет лес, за которым в 15 минутах ходьбы — река Обь, с юга — дендропарк. Залитые солнцем квартиры не потребуют много времени для ремонта: стены и пол уже выровнены, биметаллические радиаторы и противовзломные входные двери установлены. На расстоянии до одного километра от «Баварии» находятся: средние общеобразовательные школы №1 и №2, лицей №13; детские музыкальная и художественная школы; детские сады «Дельфин», «Теремок» и «Чебурашка»; лингвистический центр «СибТайм», отделения коммерческих банков «Акцепт» и «Сбербанк»; бассейн; нотариальная контора; супермаркеты; cоциальный медико-фармацевтический центр и аптека; администрация Краснообска. Помощь в получении ипотеки.",63.3 м²,23982.0,ЖК «Бавария»,23982.0,ЖК «Бавария»,,2/4,63.3 м²,63.3,2,21,1828502082,Sale,/2-komnatnaya-kvartira-na-prodazhu-krasnoobsk-1828502082,,5 294 578 ₽,83 643 ₽ за м²,83643,5294578,Apartment,2019-09-20T00:51:17.538157Z,78,Listing,60.0,2,2.0,2020-12-30T08:53:54.345723+03:00,1797676302,2019-09-19T08:42:09.666364+03:00,2020-12-07T09:43:30.791975+03:00,,,,,"2-комн. квартира, 63.3 м², 2/4 эт.",2020-12-07T07:00:40.236098Z
"ул. Шевченко, корп. 1",71368327,Открытый Город,New,3285,2019-03-18T08:37:03.414814Z,"Предлагаем двухкомнатную квартиру в жилом комплексе класса комфорт плюс АКАДЕМИЯ!!!<br>ДОМ СДАН!!! Комиссия агентства 0%. <br>Жилой комплекс «Академия» расположен в современном центре Новосибирска вдоль улицы Ипподромская рядом с улицами Кирова и Шевченко.<br>Это место — формирующийся новый центр города за счет удобного расположения и близости к ключевым объектам Новосибирска. Жилой квартал состоит из 5 зданий переменной этажности, объединенных единым закрытым двором и подземным паркингом. Развитая инфраструктура, метро в шаговой доступности. Поможем с ипотекой! Звоните прямо сейчас! Шикарная возможность жить в центре города!",66.3 м²,1000723199.0,ЖК «Академия»,1000723199.0,ЖК «Академия»,650.0,20/24,66.3 м²,66.3,20,13,1143708403,Sale,/2-komnatnaya-kvartira-na-prodazhu-novosibirsk-1143708403,264.0,7 030 000 ₽,106 033 ₽ за м²,106033,7030000,Apartment,2019-03-18T08:37:03.414814Z,78,Listing,,2,2.0,2020-12-30T08:54:34.456672+03:00,989524363,2019-03-18T11:26:02.406455+03:00,2020-11-30T08:54:34.456672+03:00,0.425,264.0,#FF0000,Октябрьская,"2-комн. квартира, 66.3 м², 20/24 эт.",2020-11-30T06:03:38.284848Z
"Новосибирская область, Тогучин, Комсомольская улица",81871722,Инь-Ян,Resale,3275,2020-12-01T07:09:12.165626Z,Продам квартиру 2ух комн.!Квартира в центре города Тогучина!Требуется ремонт! Возможна покупка с использованием мат.капитала!,44 м²,,,,,,1/2,44 м²,44.0,1,19,3044250489,Sale,/2-komnatnaya-kvartira-na-prodazhu-toguchin-3044250489,,1 299 000 ₽,29 523 ₽ за м²,29523,1299000,Apartment,2020-12-01T07:09:12.165626Z,78,Listing,,2,2.0,2021-01-01T05:54:30.272025+03:00,2024086562,2020-12-01T09:57:11.788352+03:00,2020-12-07T07:57:42.525269+03:00,,,,,"2-комн. квартира, 44 м², 1/2 эт.",2020-12-07T05:07:07.2646Z
"Новосибирск, улица Урицкого, 6",43198238,Наталья,Resale,3285,2020-12-02T11:03:20.973801Z,"Продам просторную 4-х комнатную квартиру 197 кв.м. в элитном жилом комплексе клубного типа MilkHouse!<br>Квартира с современной планировкой, просторные комнаты, три сан/узла, большие деревянные окна, потолки 3,30м, вид на три улицы.<br>Вместе с квартирой продается парковка 100кв.м.<br>Просмотр по договоренности.",197 м²,,,,,652.0,5/8,197 м²,197.0,5,3,3047375620,Sale,/4-komnatnaya-kvartira-na-prodazhu-novosibirsk-3047375620,263.0,40 000 000 ₽,203 046 ₽ за м²,203046,40000000,Apartment,2020-12-02T11:03:20.973801Z,78,Listing,,4,4.0,2021-01-01T13:54:42.810213+03:00,2044759308,2020-12-02T13:52:33.1682+03:00,2020-12-02T13:54:42.810213+03:00,0.733,263.0,#FF0000,Площадь Ленина,"4-комн. квартира, 197 м², 5/8 эт.",2020-12-02T11:03:48.427395Z
"Новосибирск, Стартовая улица, 1",182684196,Перспектива 54,Resale,3285,2020-11-04T03:41:45.06209Z,"К продаже предлагается большая просторная квартира с отличной планировкой, 2 большие спальни, гостиная с кухней, 2 балкона, гардеробная, джакузи, 2 санузла, на этаже всего 3 квартиры, закрыты большим тамбуром,что дает дополнительное место для хранения колясок, велосипедов и пр. Ремонт частично выполнен, осталось установить кухонный гарнитур и наклеить обои на свой вкус Шикарные виды из окон! Увидеть восход и облака в озере, салюты, дирижабли, каноэ, лодки, услышать пение птиц не выходя из дома! На озере расположен ""Пикниковый рай"" с домиками, отрытым бассейном, водными лыжами и пр.Городской пляж совсем рядом, в шаговой доступности ( 10 мин пешком) метро ""Студенческая"". Идет стройка нового моста.<br>Во дворе дома расположился новый детский сад на 300 мест, в 5 минутах ходьбы школа. Первые этажи дома заняли магазины продовольственных товаров, салон красоты, пиццерия, пекарня, семейный клуб, танцевальная школа, аптека и мн.др. К осени этого года введут в эксплуатацию помещение площадью 4600 кв.м. где разместятся торговые площади, спортивные залы и все что необходимо для полноценного проживания внутри микрорайона не выезжая за его пределы.<br>В связи со строительством к 2022 году Ледового дворца, откроют станцию метро ""Спортивная"", в ближайшее время закончат строительство еще одного моста. После окончания строительства, цена, конечно же, существенно возрастет. Торопитесь воспользоваться прекрасной возможностью! спешите на просмотр!!!",98 м²,,,,,654.0,13/17,98 м²,98.0,13,11,2980437376,Sale,/3-komnatnaya-kvartira-na-prodazhu-novosibirsk-2980437376,266.0,8 300 000 ₽,84 694 ₽ за м²,84694,8300000,Apartment,2020-11-04T03:41:45.06209Z,78,Listing,,3,3.0,2021-01-03T07:22:32.617082+03:00,2018495396,2020-11-04T06:32:23.624535+03:00,2020-12-04T07:22:32.617082+03:00,1.063,266.0,#FF0000,Студенческая,"3-комн. квартира, 98 м², 13/17 эт.",2020-12-04T04:31:36.140678Z
"Новосибирская область, Бердск, Боровая улица, 4/7",155855745,Алексей АН СибГрад,Resale,3279,2020-06-23T01:20:32.831063Z,"Квартира в развивающемся комплексе Молодежный. В отличном состоянии, кухонный гарнитур остаётся.<br>Подходит под любые виды расчёта",36 м²,,,,,,1/9,36 м²,36.0,1,13,2660669833,Sale,/1-komnatnaya-kvartira-na-prodazhu-berdsk-2660669833,,2 400 000 ₽,66 667 ₽ за м²,66667,2400000,Apartment,2020-06-23T01:20:32.831063Z,78,Listing,,1,1.0,2021-01-02T06:07:32.479766+03:00,1951577241,2020-06-22T19:12:57.198722+03:00,2020-12-03T06:07:32.479766+03:00,,,,,"1-комн. квартира, 36 м², 1/9 эт.",2020-12-03T03:16:37.291005Z
"Новосибирск, улица Виктора Шевелёва, 24",190456538,Никита Васильев,Resale,3285,2020-12-08T03:56:19.21459Z,"!!! Право собственности зарегистрировано !!! Подходят все виды расчетов !!!<br>В продаже отличная просторная однакомнатная квартира. Сделан качественный ремонт из премиум материалов, всё выполнено в нейтральных, теплых тонах. На полу ламинат, натяжные потолки с зонированной подсветкой, дорогостоящий кафель в ванной комнате, установлены межкомнатные двери, заменена входная дверь с хорошей шумоизоляцией. Квартира полностью готова к проживанию, портьеры в подарок.<br>Дом находится в экологически чистом активно развивающемся микрорайоне нового жилого комплекса 'Просторный'. Большим преимуществом является близость реки Обь и лесной зоны. В выходные и праздники можно провести на природе, пожарить шашлыки и при этом не уезжать далеко от дома. Инфраструктура района быстро развивается, есть автобусные остановки, магазины, детские сады и современная школа №217 в шаговой доступности.<br>Звоните в любое время, показы в день обращения!",40 м²,,,,,655.0,10/10,40 м²,40.0,10,8,3060159386,Sale,/1-komnatnaya-kvartira-na-prodazhu-novosibirsk-3060159386,,2 160 000 ₽,54 000 ₽ за м²,54000,2160000,Apartment,2020-12-08T03:56:19.21459Z,78,Listing,,1,1.0,2021-01-07T06:47:17.56739+03:00,2072788962,2020-12-08T06:46:55.462747+03:00,2020-12-08T06:47:17.56739+03:00,,,,,"1-комн. квартира, 40 м², 10/10 эт.",2020-12-08T03:56:22.558613Z
